source,reference,groq_bleu,groq_meteor,groq_comet
"When an enterprise borrows funds specifically for the purpose of obtaining a particular qualifying asset, the borrowing costs that directly relate to that qualifying asset can be readily identified.","Wenn ein Unternehmen speziell für die Beschaffung eines bestimmten qualifizierten Vermögenswertes Mittel aufnimmt, können die Fremdkapitalkosten, die sich direkt auf diesen qualifizierten Vermögenswert beziehen, ohne weiteres bestimmt werden.",0.005376277753701598,0.14633878691141264,-1.5841877460479736
the product is a traditional herbal medicinal product for use in specified indication(s) exclusively based upon long-standing use; and,das Produkt ein traditionelles pflanzliches Arzneimittel zur Verwendung für ein spezifiziertes Anwendungsgebiet/spezifizierte Anwendungsgebiete ausschließlich aufgrund langjähriger Anwendung ist und,0.005722356050093397,0.15060728744939272,-1.6068065166473389
State the timing of physical inventory taking.,Angabe des vorgesehenen Zeitplans für die Aufnahme des realen Bestandes.,6.58603216956317e-156,0.025865946918578506,-1.7197532653808594
"nature and extent of the services to be provided, the general characteristics of the work or of the lots by reference to the work (nomenclature reference No(s)).","Art und Umfang der Leistungen, allgemeine Merkmale des Bauwerks oder der Baulose; Nomenklatur-Referenznummer/n.",0.0031672701970170305,0.08204319030906829,-1.609314203262329
"A non-Contracting Party vessel which has been sighted engaging in fishing activities in the Convention area or which has been denied port access, landing or transhipment in accordance with Article 27 shall be presumed to have carried out IUU activities that have undermined the effectiveness of the CCAMLR conservation measures.","Bei einem Schiff einer Nichtvertragspartei, das bei Fangtätigkeiten im Übereinkommensbereich gesichtet oder dem der Zugang zu einem Hafen, die Anlandung oder Umladung gemäß Artikel 27 verweigert wurde, wird davon ausgegangen, dass es IUU-Tätigkeiten ausgeübt hat, die die Wirksamkeit der CCAMLR-Erhaltungsmaßnahmen untergraben.",0.012858042088840132,0.20773948981255697,-1.8157984018325806
An authentic instrument which has been certified as a European Enforcement Order in the Member State of origin shall be enforced in the other Member States without the need for a declaration of enforceability and without any possibility of opposing its enforceability.,"Eine öffentliche Urkunde, die im Ursprungsmitgliedstaat als Europäischer Vollstreckungstitel bestätigt worden ist, wird in den anderen Mitgliedstaaten vollstreckt, ohne dass es einer Vollstreckbarerklärung bedarf und ohne dass ihre Vollstreckbarkeit angefochten werden kann.",0.003880575758583436,0.12101469731990049,-1.792081594467163
"No subdivision of the weight ranges referred to in paragraph 1 may be made using different pack colours, symbols, trademarks or other indications.","Es darf keine Unterteilung der Gewichtsspannen gemäß Absatz 1 mit Hilfe von Packungsfarben, Symbolen, Warenzeichen oder anderen Angaben erfolgen.",1.1842777465563878e-155,0.08796919940291988,-1.7044984102249146
"IAS 2.21 and 2.23 allow various cost formulas (FIFO, weighted average cost or LIFO) for inventories that are ordinarily interchangeable or are not produced and segregated for specific projects.","IAS 2.21 und 2.23 lassen verschiedene Verfahren (FIFO, Durchschnittskostenmethode oder LIFO) für die Zuordnung der Anschaffungs- oder Herstellungskosten von solchen Vorräten zu, die normalerweise austauschbar sind oder nicht für spezielle Projekte hergestellt und ausgesondert werden.",0.018468906028747102,0.2637987012987013,-1.6977910995483398
it is nevertheless necessary that the Board is chaired by a legally qualified member with recognised experience in Community and international law.,den Vorsitz der Beschwerdekammer muss jedoch ein juristisch qualifiziertes Mitglied mit anerkannter Erfahrung im Bereich des Gemeinschaftsrechts und des internationalen Rechts führen;,0.009448759281393798,0.1356729377713459,-1.7260363101959229
"For the purposes of this provision, circumstances arising from work done for another State or for an international organization shall not be taken into account;","Bei Anwendung dieser Vorschrift bleibt die Lage unberücksichtigt, die sich aus dem Dienst für einen anderen Staat oder eine internationale Organisation ergibt;",0.005200497116992556,0.09830207386598364,-1.7160959243774414
Applicants must certify that they are not in one of the situations listed in Article 93.,"Die Antragsteller müssen bestätigen, dass sie sich nicht in einer der in Artikel 93 genannten Situationen befinden.",0.03834084494063523,0.3025257158988655,-1.7144317626953125
Proficiency testing,Eignungsprüfung,0.0,0.0,-1.63589346408844
Article 116 shall be replaced by the following:,Artikel 116 erhält folgende Fassung:,6.942938811447025e-156,0.036958430913348946,-1.73056161403656
"exceededNumberOfAttempts: PIN not valid and number of PIN checks attempts exceeded,","exceededNumberOfAttempts: ungültige PIN und Zahl der zulässigen PIN-Prüfversuche überschritten,",9.588706607320481e-156,0.05696009747182456,-1.4225223064422607
"HAVING REGARD TO THE TREATY ESTABLISHING THE EUROPEAN ECONOMIC COMMUNITY , AND IN PARTICULAR ARTICLE 54 (3) (G) THEREOF ,","gestützt auf den Vertrag zur Gründung der Europäischen Wirtschaftsgemeinschaft und insbesondere auf Artikel 54 Absatz 3 Buchstabe g),",0.015376896979866734,0.18307678133548783,-1.9838780164718628
"Due to the fact that dairy premiums and additional payments will be included in the single payment scheme on the basis of a different reference period than the one referred to in Article 37 of Regulation (EC) No 1782/2003, it is appropriate, for the purpose of establishing the reference amount, to take into account of dairy farmers finding themselves in a situation referred to in Article 40 of Regulation (EC) No 1782/2003 who lease, because of that situation, their individual reference quantity or part of it according to Article 16 of Regulation (EC) No 1788/2003 during the twelve-month period ending on 31 March of the first year of application of the single payment scheme.","Da die Milchprämien und die Ergänzungszahlungen auf Basis anderer als der in Artikel 37 der Verordnung (EG) Nr. 1782/2003 vorgesehenen Referenzzeiträume in die Betriebsprämienregelung einbezogen werden, empfiehlt es sich, zur Festsetzung des Referenzbetrags die Milcherzeuger zu berücksichtigen, die sich in einer Lage gemäß Artikel 40 der Verordnung (EG) Nr. 1782/2003 befinden und die wegen dieser Lage ihre einzelbetriebliche Referenzmenge gemäß Artikel 16 der Verordnung (EG) Nr. 1788/2003 in den zwölf Monaten bis zum 31. März des ersten Anwendungsjahrs der Betriebsprämienregelung ganz oder teilweise verpachten.",0.05487825004442879,0.37398066536864355,-1.8644979000091553
"In the case of WEEE other than WEEE from private households, and without prejudice to Article 9, Member States shall ensure that producers or third parties acting on their behalf provide for the collection of such waste.","Bei nicht aus privaten Haushalten stammenden Elektro- und Elektronik-Altgeräten stellen die Mitgliedstaaten unbeschadet des Artikels 9 sicher, dass die Hersteller oder in ihrem Namen tätige Dritte für die Sammlung dieser Altgeräte sorgen.",0.00515696213053119,0.11281280403196227,-1.6924021244049072
"Subject to the provisions of Article 15 (2), Article 20 (1) and (3) and Article 22 (1) last subparagraph, Member States shall not restrain the free disposal of the assets, whether movable or immovable property, forming part of the assets of authorized businesses.","Vorbehaltlich des Artikels 15 Absatz 2, des Artikels 20 Absätze 1 und 3 sowie des Artikels 22 Absatz 1 Unterabsatz 2 sehen die Mitgliedstaaten davon ab, die freie Verfügung über die beweglichen und nicht beweglichen Vermögenswerte der zugelassenen Unternehmen zu beschränken.",0.0058009425357176195,0.15382096848153173,-1.5921483039855957
"rates of employee turnover, disability and early retirement;","Fluktuationsraten, Invalidisierungsraten und Frühpensionierungsverhalten;",3.408154516602501e-232,0.0059276822762299956,-1.809780240058899
The Agency should act in support of the Community mechanism in the field of civil protection.,Die Agentur sollte das Gemeinschaftsverfahren im Bereich des Katastrophenschutzes unterstützen.,2.2120293885250683e-79,0.09749521928587106,-1.6823525428771973
Warning of a power supply interruption event may be delayed until the power supply is reconnected.,Die Warnung für das Ereignis Unterbrechung der Stromversorgung kann bis zur Wiederherstellung der Stromversorgung aufgeschoben werden.,0.007055640689972492,0.12349843518674691,-1.389101266860962
Retrocesión al titular el...,Retrocesión al titular el...,0.004451586633138727,0.03164556962025317,-1.673880696296692
