source,reference,category,retrieved_examples,translation,BLEU,METEOR,COMET
Member States shall transmit to the Commission a succinct yearly report on the implementation of this Regulation.,Die Mitgliedstaaten übermitteln der Kommission jährlich einen Kurzbericht über die Anwendung dieser Verordnung.,Administrative Law,3,Die Mitgliedstaaten übermitteln der Kommission einen kurzen Jahresbericht über die Umsetzung dieser Verordnung.,0.4001601601922499,0.7668240850059032,0.8351837992668152
"All the abovementioned methods, taken from Council Directive 67/548/EEC, can also be found in the publication ""Classification, Packaging and Labelling of Dangerous Substances in the European Union"", Part 2: ""Testing Methods"".","Alle vorstehend aufgeführten Methoden aus der Richtlinie 67/548/EWG des Rates sind ebenfalls zu finden in der Veröffentlichung ""Einstufung, Verpackung und Kennzeichnung gefährlicher Stoffe in der Europäischen Union"", Teil 2: ""Prüfmethoden"".",Administrative Law,3,"Alle vorerwähnten Methoden, die der Richtlinie 67/548/EWG des Rates entnommen wurden, finden sich auch in der Veröffentlichung ""Einstufung, Verpackung und Kennzeichnung gefährlicher Stoffe in der Europäischen Union"", Teil 2: ""Prüfmethoden"".",0.6898710445918304,0.83609855611911,0.8053846955299377
"Done at Brussels, 27 August 2002.","Brüssel, den 27. August 2002",Administrative Law,3,"Brüssel, den 27. August 2002",1.0,0.9985422740524781,1.158987045288086
"Member States shall notify to the producers each new allocation or modification of their individual reference quantity by the means they consider the most appropriate, provided that it ensures that the producers have an effective knowledge of the reference quantity allocated.","Die Mitgliedstaaten teilen den Erzeugern jede neue Zuteilung oder Änderung ihrer einzelbetrieblichen Referenzmenge auf die Art und Weise mit, die ihnen am besten geeignet erscheint, sofern sie gewährleistet, dass der Erzeuger tatsächlich über die zugeteilte Referenzmenge unterrichtet wird.",Administrative Law,3,"Die Mitgliedstaaten teilen den Erzeugern jede neue Zuweisung oder Änderung ihrer individuellen Referenzmenge auf eine Weise mit, die sie für am geeignetsten halten, vorausgesetzt, dass sichergestellt ist, dass die Erzeuger eine wirksame Kenntnis von der zugeteilten Referenzmenge haben.",0.25992842448726966,0.545615539220509,0.6987987160682678
The group shall adopt its own rules of procedure on the basis of proposals made by the Commission.,Die Gruppe gibt sich auf Vorschlag der Kommission eine Geschäftsordnung.,Administrative Law,3,"Die Gruppe gibt sich ihre eigene Geschäftsordnung auf der Grundlage von Vorschlägen, die von der Kommission unterbreitet werden.",0.1577454598068419,0.6442577030812325,0.4359283745288849
cardSlotNumber is the slot in which the card is inserted.,"cardSlotNumber - Steckplatz, in dem die Karte eingesteckt ist.",Administrative Law,3,"cardSlotNumber ist der Steckplatz, in dem die Karte eingesetzt wird.",0.4617366309441026,0.775219664108553,0.7847577929496765
"""This permit is issued pursuant to Regulation (EEC) No 1612/68 of the Council of the European Communities of 15 October 1968 and to the measures taken in implementation of the Council Directive of 15 October 1968.","""Diese Aufenthaltserlaubnis wird auf Grund der Verordnung (EWG) Nr. 1612/68 des Rates der Europäischen Gemeinschaften vom 15. Oktober 1968 und der zur Durchführung der Richtlinie des Rates vom 15. Oktober 1968 erlassenen Vorschriften ausgestellt.",Administrative Law,3,Diese Erlaubnis wird gemäß der Verordnung (EWG) Nr. 1612/68 des Rates der Europäischen Gemeinschaften vom 15. Oktober 1968 und den zur Durchführung der Richtlinie des Rates vom 15. Oktober 1968 ergriffenen Maßnahmen erteilt.,0.6984004671867206,0.8030618124201013,0.7492201328277588
WF Wallis and Futuna,WF Wallis und Futuna,Administrative Law,0,WF Wallis und Futuna,1.0,0.9921875,1.2285723686218262
"Having regard to Regulation (EC) No 999/2001 of the European Parliament and of the Council of 22 May 2001 laying down rules for the prevention, control and eradication of certain transmissible spongiform encephalopathies(1), and in particular the first paragraph of Article 23 thereof,","gestützt auf die Verordnung (EG) Nr. 999/2001 des Europäischen Parlaments und des Rates vom 22. Mai 2001 mit Vorschriften zur Verhütung, Kontrolle und Tilgung bestimmter transmissibler spongiformer Enzephalopathien(1), insbesondere auf Artikel 23 Absatz 1,",Administrative Law,3,"gestützt auf die Verordnung (EG) Nr. 999/2001 des Europäischen Parlaments und des Rates vom 22. Mai 2001 mit Vorschriften zur Verhütung, Kontrolle und Tilgung bestimmter transmissibler spongiformer Enzephalopathien(1), und insbesondere den ersten Absatz von Artikel 23,",0.8289467336011994,0.9361372754229897,0.7991765141487122
Adaptation of the framework,Anpassung des Rahmens,Administrative Law,0,Anpassung des Rahmens,0.5623413251903491,0.9814814814814815,1.1196656227111816
