source,target,language_pair,legal_category,translation,reference,bleu,meteor,comet
«lease» shall mean lease or similar types of temporary transactions;,"""Pacht"": Pacht oder ähnliche Arten von befristeten Geschäften.",en-de,Legal Theory & Latin Terms,"Hier ist die Übersetzung ins Deutsche:

""«lease»"" bedeutet Mietvertrag oder ähnliche Arten von zeitlich befristeten Transaktionen;

Alternativ könnte man auch übersetzen:

""«lease»"" umfasst Mietverhältnisse oder andere ähnliche Arten von vorübergehenden Rechtsgeschäften;

Oder:

""«lease»"" bezeichnet ein Miet- oder Pachtverhältnis sowie ähnliche Arten von zeitlich begrenzten Transaktionen;","""Pacht"": Pacht oder ähnliche Arten von befristeten Geschäften.",0.04140082462432975,0.33476548514142496,[-0.2599922716617584]
the grouping of single consignments;,"die Zusammenfassung von Einzelladungen,",en-de,Legal Theory & Latin Terms,"Die Gruppierung von Einzelsendungen; 

Alternatively, it can also be translated as:

Die Zusammenfassung von Einzelladungen; 

or 

Die Konsolidierung von Einzelsendungen; 

The most suitable translation would depend on the context in which the phrase is used. However, ""Die Gruppierung von Einzelsendungen"" is a common and neutral translation that can be used in many situations.","die Zusammenfassung von Einzelladungen,",9.297005462057298e-79,0.2314814814814815,[-1.685718297958374]
"Reinforcement and extension of the scope of the RAPEX alert system, taking developments in market surveillance information exchange into account",Ausbau und Erweiterung des Anwendungsbereichs des RAPEX-Warnsystems unter Berücksichtigung der Entwicklung des Informationsaustauschs im Rahmen der Marktüberwachung,en-de,Legal Theory & Latin Terms,Verstärkung und Erweiterung des Anwendungsbereichs des RAPEX-Warnsystems unter Berücksichtigung der Entwicklungen im Informationsaustausch der Marktaufsicht.,Ausbau und Erweiterung des Anwendungsbereichs des RAPEX-Warnsystems unter Berücksichtigung der Entwicklung des Informationsaustauschs im Rahmen der Marktüberwachung,0.5066626941093553,0.6048652202498356,[0.7181657552719116]
A third party who may avail himself of the provisions of paragraph 6 may bring third party proceedings against the decision re-establishing the rights of the applicant for or holder of the registered Community design within a period of two months as from the date of publication of the mention of re-establishment of those rights.,"Dritte, die sich auf Absatz 6 berufen können, können gegen die Entscheidung über die Wiedereinsetzung des Anmelders oder des Inhabers des eingetragenen Gemeinschaftsgeschmacksmusters in den vorigen Stand binnen zwei Monaten nach dem Zeitpunkt der Bekanntmachung des Hinweises auf die Wiedereinsetzung in den vorigen Stand Drittwiderspruch einlegen.",en-de,Legal Theory & Latin Terms,"Eine dritte Partei, die sich auf die Bestimmungen des Absatzes 6 berufen kann, kann innerhalb einer Frist von zwei Monaten ab dem Datum der Veröffentlichung der Erwähnung der Wiederherstellung dieser Rechte gegen die Entscheidung über die Wiederherstellung der Rechte des Anmelders oder Inhabers des eingetragenen Gemeinschaftsgeschmacksmusters Drittwiderspruch einlegen.

Alternatively, a more formal translation could be:
Eine dritte Partei, die sich auf die Bestimmungen des Absatzes 6 berufen kann, kann innerhalb einer Frist von zwei Monaten ab dem Datum der Veröffentlichung der Erwähnung der Wiederherstellung dieser Rechte einen Drittwiderspruch gegen die Entscheidung über die Wiederherstellung der Rechte des Antragstellers oder des Inhabers des eingetragenen Gemeinschaftsgeschmacksmusters einlegen. 

Note: The translation is based on the language and terminology used in the context of European Union law, particularly in the field of intellectual property. 

Here is the breakdown:

- ""A third party"" is translated to ""eine dritte Partei""
- ""Who may avail himself of the provisions"" is translated to ""die sich auf die Bestimmungen berufen kann""
- ""May bring third party proceedings"" is translated to ""kann...Drittwiderspruch einlegen""
- ""Against the decision re-establishing the rights"" is translated to ""gegen die Entscheidung über die Wiederherstellung der Rechte""
- ""Within a period of two months"" is translated to ""innerhalb einer Frist von zwei Monaten""
- ""As from the date of publication"" is translated to ""ab dem Datum der Veröffentlichung""
- ""Of the mention of re-establishment of those rights"" is translated to ""der Erwähnung der Wiederherstellung dieser Rechte""","Dritte, die sich auf Absatz 6 berufen können, können gegen die Entscheidung über die Wiedereinsetzung des Anmelders oder des Inhabers des eingetragenen Gemeinschaftsgeschmacksmusters in den vorigen Stand binnen zwei Monaten nach dem Zeitpunkt der Bekanntmachung des Hinweises auf die Wiedereinsetzung in den vorigen Stand Drittwiderspruch einlegen.",0.050458282393629,0.34640810681118916,[-1.4241050481796265]
"For bluefin tuna this tolerance limit is set at 10 % of the number of fish per landing of the total bluefin tuna catches or their equivalent in percentage in weight.""","Im Fall von Rotem Thun wird diese Obergrenze auf einen zahlenmäßigen Anteil von 10 % der angelandeten Gesamtmengen an Rotem Thun oder einen äquivalenten Anteil in Gewicht festgesetzt.""",en-de,Legal Theory & Latin Terms,Für den Blauen Thunfisch liegt diese Toleranzgrenze bei 10 % der Anzahl der Fische pro Landung der gesamten Blauen-Thunfisch-Fänge oder ihrem entsprechenden Prozentsatz im Gewicht.,"Im Fall von Rotem Thun wird diese Obergrenze auf einen zahlenmäßigen Anteil von 10 % der angelandeten Gesamtmengen an Rotem Thun oder einen äquivalenten Anteil in Gewicht festgesetzt.""",1.812476696784949e-78,0.17974028716216214,[-0.24980050325393677]
These provide a basis for selecting and applying accounting policies in the absence of explicit guidance.,"Diese bilden eine Basis zur Auswahl und Anwendung von Bilanzierungs- und Bewertungsmethoden, falls keine expliziten Anwendungsleitlinien vorhanden sind.",en-de,Legal Theory & Latin Terms,"Diese bilden eine Grundlage für die Auswahl und Anwendung von Rechnungslegungsgrundsätzen in Ermangelung einer ausdrücklichen Regelung.

Alternatively, a more formal translation could be:

Sie bieten eine Grundlage für die Auswahl und Anwendung der Rechnungslegungsrichtlinien in Fällen, in denen keine expliziten Vorgaben vorliegen.","Diese bilden eine Basis zur Auswahl und Anwendung von Bilanzierungs- und Bewertungsmethoden, falls keine expliziten Anwendungsleitlinien vorhanden sind.",0.0842816865856957,0.3756730298580518,[-0.4283927083015442]
"harmonised provisions for the implementation of Article 57."";","die harmonisierten Durchführungsbestimmungen zu Artikel 57.""",en-de,Legal Theory & Latin Terms,"Harmonisierte Vorschriften für die Umsetzung des Artikels 57""; 

Alternatively, a more formal translation would be:
""Harmonisierte Bestimmungen zur Durchführung von Artikel 57""","die harmonisierten Durchführungsbestimmungen zu Artikel 57.""",4.023062361861117e-155,0.31562500000000004,[-0.7029551267623901]
synergies with education at all levels;,"Synergien mit dem Bildungswesen auf allen Ebenen,",en-de,Legal Theory & Latin Terms,"Synergien mit der Bildung auf allen Ebenen; 

Alternatively, a more formal translation could be:

 Synergien mit der Bildung auf sämtlichen Bildungsebenen; 

Note: The term ""sämtlichen"" is used to emphasize that all levels of education are included.","Synergien mit dem Bildungswesen auf allen Ebenen,",1.4983443292139593e-78,0.4406130268199234,[-1.602369785308838]
The period laid down in Article 5(6) of Decision 1999/468/EC shall be set at two months.,Der Zeitraum nach Artikel 5 Absatz 6 des Beschlusses 1999/468/EG wird auf zwei Monate festgelegt.,en-de,Legal Theory & Latin Terms,Die in Artikel 5 Absatz 6 der Entscheidung 1999/468/EG festgelegte Frist wird auf zwei Monate festgesetzt.,Der Zeitraum nach Artikel 5 Absatz 6 des Beschlusses 1999/468/EG wird auf zwei Monate festgelegt.,0.30277029197532096,0.6987577639751552,[0.7813100218772888]
Article 2(1) shall be amended as follows:,2. Artikel 2 Absatz 1 wird wie folgt geändert:,en-de,Legal Theory & Latin Terms,Artikel 2 Absatz 1 wird wie folgt geändert:,2. Artikel 2 Absatz 1 wird wie folgt geändert:,0.800737402916808,0.8327617741197989,[0.9488275051116943]
"an agricultural land of the holding, including the parcels on set aside.",landwirtschaftliche Flächen des Betriebs einschließlich stillgelegter Parzellen.,en-de,Legal Theory & Latin Terms,"Eine landwirtschaftliche Fläche des Betriebs, einschließlich der stillgelegten Parzellen.

Alternatively, a more formal translation could be:

Eine landwirtschaftlich genutzte Fläche des landwirtschaftlichen Betriebs, einschließlich der Flächen, die vom Anbau ausgespart sind (Stilllegungsflächen). 

Note: ""Set aside"" is a term commonly used in EU agricultural policy to refer to land that is taken out of agricultural production, often as part of environmental or conservation efforts. In German, this concept is often translated as ""Stilllegung"" or ""Ausnahme von der Produktion"".",landwirtschaftliche Flächen des Betriebs einschließlich stillgelegter Parzellen.,2.937267383843976e-155,0.2071005917159764,[-1.4955966472625732]
ARTICLE 24,ARTIKEL 24,en-de,Legal Theory & Latin Terms,ARTIKEL 24,ARTIKEL 24,1.491668146240062e-154,0.9375,[1.3303205966949463]
"Category M3 : Vehicles used for the carriage of passengers, comprising more than eight seats in addition to the driver's seat, and having a maximum weight exceeding 5 metric tons.",Klasse M3 : Fahrzeuge für Personenbeförderung mit mehr als 8 Sitzplätzen außer dem Fahrersitz und einem Höchstgewicht üb t.,en-de,Legal Theory & Latin Terms,"Kategorie M3: Fahrzeuge, die für den Personentransport benutzt werden, mit mehr als acht Sitzplätzen zusätzlich zum Fahrersitz und mit einem zulässigen Maximalgewicht von über 5 metrischen Tonnen.",Klasse M3 : Fahrzeuge für Personenbeförderung mit mehr als 8 Sitzplätzen außer dem Fahrersitz und einem Höchstgewicht üb t.,3.1543594616476083e-78,0.48446550816219064,[0.3289012312889099]
"Under the method, the ""actuarial value"" of the pension rights earned before the calculation date represents a past service liability, while the actuarial value of the pension rights that will be earned in the year of service beginning on the calculation date represents the ""service cost"".","Nach dieser Methode stellt der ""versicherungsmathematische Gegenwert"" der bis zum Zeitpunkt der Berechnung erworbenen Versorgungsansprüche Verpflichtungen aus vergangener Dienstzeit dar; der versicherungsmathematische Gegenwert der Versorgungsansprüche, die in dem zum Zeitpunkt der Berechnung beginnenden Dienstjahr erworben werden, wird als ""Dienstzeitaufwand"" bezeichnet.",en-de,Legal Theory & Latin Terms,"Unter dieser Methode stellen die ""barwertigen"" Ansprüche aus den vor dem Berechnungsstichtag erzielten Anwartschaften eine Vergangenheitsverpflichtung dar, während der Barwert der Anwartschaften, die im Dienstjahr, das am Berechnungsstichtag beginnt, erzielt werden, den ""Dienstekostenaufwand"" darstellt.

Alternativ kann es auch wie folgt übersetzt werden:

 Nach dieser Methode entspricht der Barwert der vor dem Berechnungsstichtag erworbenen Anwartschaftsrechte einer Vergangenheitsverpflichtung, während der Barwert der im Dienstjahr, das mit dem Berechnungsstichtag beginnt, erworbenen Anwartschaftsrechte den ""Dienstekostenaufwand"" repräsentiert.","Nach dieser Methode stellt der ""versicherungsmathematische Gegenwert"" der bis zum Zeitpunkt der Berechnung erworbenen Versorgungsansprüche Verpflichtungen aus vergangener Dienstzeit dar; der versicherungsmathematische Gegenwert der Versorgungsansprüche, die in dem zum Zeitpunkt der Berechnung beginnenden Dienstjahr erworben werden, wird als ""Dienstzeitaufwand"" bezeichnet.",1.3165431016798252e-78,0.2734489802582645,[0.19054636359214783]
"""consignment"" means a quantity of sugar on a specified vessel which is actually unloaded at a European port determined by the Community;","""Partie"" eine Zuckermenge, die sich auf einem bestimmten Schiff befindet und die tatsächlich in einem bestimmten europäischen Hafen der Gemeinschaft entladen wird;",en-de,Legal Theory & Latin Terms,"""Konsignment"" bedeutet eine Menge Zucker auf einem bestimmten Schiff, die tatsächlich in einem von der Gemeinschaft bestimmten europäischen Hafen entladen wird; 

Alternativ könnte man auch ""Ladung"" oder ""Lieferung"" verwenden, um den Begriff ""consignment"" zu übersetzen, je nachdem, welchen Kontext man hervorheben möchte. 

Beispielsweise:
- ""Ladung"" könnte den Fokus auf die tatsächliche Menge Zucker legen, die transportiert wird.
- ""Lieferung"" könnte den Fokus auf den Vorgang des Entladens und der Übergabe der Zuckerlieferung an den Empfänger legen.

In diesem spezifischen Kontext scheint jedoch ""Konsignment"" die präziseste Übersetzung zu sein.","""Partie"" eine Zuckermenge, die sich auf einem bestimmten Schiff befindet und die tatsächlich in einem bestimmten europäischen Hafen der Gemeinschaft entladen wird;",0.0672888739608943,0.4877402529354324,[-1.1581764221191406]
'full trainload' means any consignment comprising one or more wagonloads transported at the same time by the same sender at the same station and forwarded with no change in train composition to the address of the same consignee at the same destination station;,"'vollständige Zugladung' eine aus einer oder mehreren Wagenladungen bestehende Sendung, die gleichzeitig von demselben Absender von demselben Bahnhof befördert wird und ohne Veränderung der Zugzusammensetzung an die Adresse desselben Empfängers an denselben Zielbahnhof verschickt wird;",en-de,Legal Theory & Latin Terms,"""'Vollzug' bedeutet jede Sendung, die aus einem oder mehreren Wagenladungen besteht, die zur gleichen Zeit von demselben Absender am selben Bahnhof transportiert werden und ohne Änderung der Zugeinsatzkonfiguration an die Adresse des selben Empfängers am selben Zielbahnhof weitergeleitet wird;""

Alternatively, a more common translation for ""full trainload"" in this context would be ""Vollzug"" or ""Ganzzugladung"". 

So the translation would be:
""'Ganzzugladung' bedeutet jede Sendung, die aus einem oder mehreren Wagenladungen besteht, die zur gleichen Zeit von demselben Absender am selben Bahnhof transportiert werden und ohne Änderung der Zugeinsatzkonfiguration an die Adresse des selben Empfängers am selben Zielbahnhof weitergeleitet wird;""","'vollständige Zugladung' eine aus einer oder mehreren Wagenladungen bestehende Sendung, die gleichzeitig von demselben Absender von demselben Bahnhof befördert wird und ohne Veränderung der Zugzusammensetzung an die Adresse desselben Empfängers an denselben Zielbahnhof verschickt wird;",1.9714694893594872e-78,0.4694023924793156,[-0.20628803968429565]
