source,translation,target,legal_entity,BLEU,METEOR,COMET,term
Commission Regulation (EC) No 2132/2003 of 4 December 2003 amending Regulation (EC) No 2799/1999 laying down detailed rules for applying Regulation (EC) No 1255/1999 as regards the grant of aid for skimmed milk and skimmed-milk powder intended for animal feed and the sale of such skimmed-milk powder,Verordnung (EG) Nr. 2132/2003 der Kommission vom 4. Dezember 2003 zur Änderung der Verordnung (EG) Nr. 2799/1999 mit Durchführungsvorschriften zur Verordnung (EG) Nr. 1255/1999 des Rates hinsichtlich der Gewährung einer Beihilfe für Magermilch und Magermilchpulver für Futterzwecke und des Verkaufs dieses Magermilchpulvers.,Verordnung (EG) Nr. 2132/2003 der Kommission vom 4. Dezember 2003 zur Änderung der Verordnung (EG) Nr. 2799/1999 mit Durchführungsvorschriften zur Verordnung (EG) Nr. 1255/1999 des Rates hinsichtlich der Gewährung einer Beihilfe für Magermilch und Magermilchpulver für Futterzwecke und des Verkaufs dieses Magermilchpulvers,"regulation, grant, sale, rules, commission",0.9826020581357531,0.9954932764710559,0.9266998767852783,regulation
"supply immediately any information which would facilitate compliance with this Regulation, such as accounts and amounts frozen in accordance with Article 2, to the competent authorities of the Member States listed in Annex II where they are resident or located, and shall transmit such information, directly or through these competent authorities, to the Commission;","den in Anhang II aufgeführten zuständigen Behörden der Mitgliedstaaten, in denen sie ihren Sitz oder eine Niederlassung haben, sowie der Kommission - direkt oder über diese zuständigen Behörden - unverzüglich alle Informationen zu übermitteln, die die Einhaltung dieser Verordnung erleichtern würden, z. B. Informationen über gemäß Artikel 2 eingefrorene Konten und Guthaben;","den in Anhang II aufgeführten zuständigen Behörden der Mitgliedstaaten, in denen sie ihren Sitz oder eine Niederlassung haben, sowie der Kommission - direkt oder über diese zuständigen Behörden - unverzüglich alle Informationen zu übermitteln, die die Einhaltung dieser Verordnung erleichtern würden, z. B. Informationen über gemäß Artikel 2 eingefrorene Konten und Guthaben;","regulation, listed, member, article, resident, commission, competent, information",1.0000000000000004,0.9999974373693058,0.9274613857269287,regulation
"The Agency may cooperate with the aeronautical authorities of third countries and the international organisations competent in matters covered by this Regulation in the framework of working arrangements concluded with those bodies, in accordance with the relevant provisions of the Treaty.","Die Agentur kann mit den Luftfahrtbehörden von Drittländern und den internationalen Organisationen, die für von dieser Verordnung erfasste Bereiche zuständig sind, im Rahmen von Arbeitsvereinbarungen mit diesen Stellen im Einklang mit den einschlägigen Bestimmungen des Vertrags zusammenarbeiten.","Die Agentur kann mit den Luftfahrtbehörden von Drittländern und den internationalen Organisationen, die für von dieser Verordnung erfasste Bereiche zuständig sind, im Rahmen von Arbeitsvereinbarungen mit diesen Stellen im Einklang mit den einschlägigen Bestimmungen des Vertrags zusammenarbeiten.","treaty, regulation, agency, competent, relevant",1.0000000000000004,0.9999921875,0.9357160925865173,regulation
"the complete dossier is submitted within the time period specified in Annex V to this Regulation for the product type concerned, together with the summary dossier referred to in Article 11(1)(b) of Directive 98/8/EC and defined in Annex IV to this Regulation.","die vollständigen Unterlagen innerhalb der in Anhang V der vorliegenden Verordnung für die betreffende Produktart gesetzten Frist, einschließlich der in Artikel 11 Absatz 1 Buchstabe b) der Richtlinie 98/8/EG genannten und in Anhang IV der vorliegenden Verordnung definierten Zusammenfassung der Unterlagen, übermittelt werden.","die vollständigen Unterlagen innerhalb der in Anhang V der vorliegenden Verordnung für die betreffende Produktart gesetzten Frist, einschließlich der in Artikel 11 Absatz 1 Buchstabe b) der Richtlinie 98/8/EG genannten und in Anhang IV der vorliegenden Verordnung definierten Zusammenfassung der Unterlagen, übermittelt werden.","article, regulation",1.0000000000000004,0.9999951841114204,0.9291460514068604,regulation
Commission Regulation (EC) No 47/2003 of 10 January 2003 amending Annex I to Council Regulation (EC) No 2200/96,Verordnung (EG) Nr. 47/2003 der Kommission vom 10. Januar 2003 zur Änderung von Anhang I der Verordnung (EG) Nr. 2200/96 des Rates,Verordnung (EG) Nr. 47/2003 der Kommission vom 10. Januar 2003 zur Änderung von Anhang I der Verordnung (EG) Nr. 2200/96 des Rates,"commission, regulation",1.0000000000000004,0.9999794989544467,0.9674302935600281,regulation
Commission Regulation (EC) No 2132/2003 of 4 December 2003 amending Regulation (EC) No 2799/1999 laying down detailed rules for applying Regulation (EC) No 1255/1999 as regards the grant of aid for skimmed milk and skimmed-milk powder intended for animal feed and the sale of such skimmed-milk powder,Verordnung (EG) Nr. 2132/2003 der Kommission vom 4. Dezember 2003 zur Änderung der Verordnung (EG) Nr. 2799/1999 mit Durchführungsvorschriften zur Verordnung (EG) Nr. 1255/1999 des Rates hinsichtlich der Gewährung einer Beihilfe für Magermilch und Magermilchpulver für Futterzwecke und des Verkaufs dieses Magermilchpulvers.,Verordnung (EG) Nr. 2132/2003 der Kommission vom 4. Dezember 2003 zur Änderung der Verordnung (EG) Nr. 2799/1999 mit Durchführungsvorschriften zur Verordnung (EG) Nr. 1255/1999 des Rates hinsichtlich der Gewährung einer Beihilfe für Magermilch und Magermilchpulver für Futterzwecke und des Verkaufs dieses Magermilchpulvers,"regulation, grant, sale, rules, commission",0.9826020581357531,0.9954932764710559,0.9266998767852783,rules
Rules common to several measures,Allgemeine Vorschriften für verschiedene Maßnahmen,Allgemeine Vorschriften für verschiedene Maßnahmen,rules,1.0000000000000004,0.996,0.9817439913749695,rules
Whereas the detailed rules for application of the basic principles of this Regulation must be so drawn that they not only ensure effective supervision while simplifying administration as far as possible but also meet the needs of undertakings for certainty in the law;,"Die Einzelheiten der Anwendung der grundlegenden Prinzipien dieser Verordnung müssen so festgelegt werden, dass sie nicht nur eine wirksame Überwachung gewährleisten und die Verwaltung so weit wie möglich vereinfachen, sondern auch den Bedürfnissen der Unternehmen nach Rechtssicherheit Rechnung tragen.","Die Einzelheiten der Anwendung der materiellrechtlichen Vorschriften dieser Verordnung müssen so festgelegt werden, daß sie dem Erfordernis einer wirksamen Überwachung bei möglichst einfacher Verwaltungskontrolle entsprechen. Andererseits ist das Erfordernis der rechtlichen Sicherheit der Unternehmen zu berücksichtigen.","law, rules, regulation",0.24042591338025204,0.33585144879685147,0.8504985570907593,rules
"Having regard to Regulation (EC) No 999/2001 of the European Parliament and of the Council of 22 May 2001 laying down rules for the prevention, control and eradication of certain transmissible spongiform encephalopathies(1), as last amended by Commission Regulation (EC) No 1326/2001(2), and in particular Article 23 thereof,","gestützt auf die Verordnung (EG) Nr. 999/2001 des Europäischen Parlaments und des Rates vom 22. Mai 2001 mit Vorschriften zur Verhütung, Kontrolle und Tilgung bestimmter transmissibler spongiformer Enzephalopathien(1), zuletzt geändert durch die Verordnung (EG) Nr. 1326/2001 der Kommission(2), und insbesondere Artikel 23,","gestützt auf die Verordnung (EG) Nr. 999/2001 des Europäischen Parlaments und des Rates vom 22. Mai 2001 mit Vorschriften zur Verhütung, Kontrolle und Tilgung bestimmter transmissibler spongiformer Enzephalopathien(1), zuletzt geändert durch die Verordnung (EG) Nr. 1326/2001 der Kommission(2), und insbesondere Artikel 23,","regulation, article, control, rules, commission",1.0000000000000004,0.9999975654765093,0.9311033487319946,rules
"Without prejudice to the implementing measures already adopted, on the expiry of a four-year period following the entry into force of this Directive, the application of the provisions thereof requiring the adoption of technical rules and decisions in accordance with the procedure referred to in paragraph 2 shall be suspended.","Unbeschadet der bereits erlassenen Durchführungsmaßnahmen wird nach Ablauf eines Zeitraums von vier Jahren ab Inkrafttreten dieser Richtlinie die Anwendung der Bestimmungen, nach denen die Annahme von technischen Vorschriften und Entscheidungen gemäß dem Verfahren des Absatzes 2 erforderlich ist, ausgesetzt.","Unbeschadet der bereits erlassenen Durchführungsmaßnahmen wird nach Ablauf eines Zeitraums von vier Jahren ab Inkrafttreten dieser Richtlinie die Anwendung der Bestimmungen, nach denen die Annahme von technischen Vorschriften und Entscheidungen gemäß dem Verfahren des Absatzes 2 erforderlich ist, ausgesetzt.","adoption, rules, entry, prejudice, procedure",1.0000000000000004,0.9999932512687615,0.9376339912414551,rules
"4.Paragraph 1 shall not apply in cases where the farmer proves, to the satisfaction of the Member State, that the price of sale or lease corresponds to the value of the holding or, in case of partial transfer of part of the holding without payment entitlements.","Absatz 1 kommt nicht zur Anwendung, wenn der Betriebsinhaber gegenüber dem Mitgliedstaat nachweist, dass der Erlös aus dem Verkauf oder der Verpachtung dem Wert des Betriebs oder, im Falle einer teilweisen Übertragung, des betreffenden Betriebsteils ohne Zahlungsansprüche entspricht.","Absatz 1 kommt nicht zur Anwendung, wenn der Betriebsinhaber gegenüber dem Mitgliedstaat nachweist, dass der Erlös aus dem Verkauf oder der Verpachtung dem Wert des Betriebs oder, im Falle einer teilweisen Übertragung, des betreffenden Betriebsteils ohne Zahlungsansprüche entspricht.","transfer, satisfaction, state, member, holding, sale, value, lease, case",1.0000000000000004,0.9999937112455507,0.9378532767295837,sale
"«transfer or sale or lease of payment entitlement with land» shall mean the sale or lease of payment entitlements with, respectively, the sale or lease of a corresponding number of hectares of eligible land within the meaning of Article 44(2) held by the transferor.","„Übertragung, Verkauf oder Verpachtung von Zahlungsansprüchen mit Flächen“ bedeutet den Verkauf oder die Verpachtung von Zahlungsansprüchen sowie den Verkauf oder die Verpachtung einer entsprechenden Hektarzahl eligible Flächen im Sinne von Artikel 44 Absatz 2, die im Besitz des Übertragenden sind.","""Übertragung, Verkauf oder Verpachtung von Zahlungsansprüchen mit Flächen"": Verkauf oder Verpachtung von dem Übertragenden gehörenden Zahlungsansprüchenmit dem Verkauf bzw. der Verpachtung einer entsprechenden Hektarzahl im Sinne von Artikel 44 Absatz 2 der Verordnung (EG) Nr. 1782/2003.","transfer, article, land, sale, held, lease",0.32465464506549124,0.5251181222374638,0.812483012676239,sale
"If a Member State finds that energy products other than those referred to in paragraph 1 are intended for use, offered for sale or used as heating fuel, motor fuel or are otherwise giving rise to evasion, avoidance or abuse, it shall advise the Commission forthwith.","Ist ein Mitgliedstaat der Ansicht, dass andere als die in Absatz 1 genannten Energieerzeugnisse zum Verbrauch als Heizstoff oder Kraftstoff bestimmt sind oder als solche zum Verkauf angeboten bzw. verwendet werden oder anderweitig Anlass zu Steuerhinterziehung, -vermeidung oder Missbrauch geben, so setzt er die Kommission unverzüglich davon in Kenntnis.","Ist ein Mitgliedstaat der Ansicht, dass andere als die in Absatz 1 genannten Energieerzeugnisse zum Verbrauch als Heizstoff oder Kraftstoff bestimmt sind oder als solche zum Verkauf angeboten bzw. verwendet werden oder anderweitig Anlass zu Steuerhinterziehung, -vermeidung oder Missbrauch geben, so setzt er die Kommission unverzüglich davon in Kenntnis.","use, forthwith, state, member, energy, sale, abuse, commission",1.0000000000000004,0.9999968246710359,0.9429325461387634,sale
DEPRECIATION,DE: PLANMÄSSIGE ABSCHREIBUNG,Planmäßige Abschreibung,depreciation,0.0,0.22727272727272727,0.47252291440963745,sale
SECTION 8,ABSCHNITT 8,ABSCHNITT 8,,0.0,0.9375,0.9919543862342834,sale
"WHEN THE MOST FAVOURABLE PURCHASING OPPORTUNITIES ON THE WORLD MARKET ARE BEING ESTABLISHED , ACCOUNT SHALL BE TAKEN OF ALL INFORMATION RELATING TO :",BEI DER FESTSTELLUNG DER GÜNSTIGSTEN EINKAUFSMÖGLICHKEITEN AUF DEM WELTMARKT WERDEN ALLE INFORMATIONEN ÜBER,BEI DER FESTSTELLUNG DER GÜNSTIGSTEN EINKAUFSMÖGLICHKEITEN AUF DEM WELTMARKT WERDEN ALLE INFORMATIONEN ÜBER,"information, account",1.0000000000000004,0.9997724169321802,0.937417209148407,account
"livestock density shall be defined taking into account all grazing livestock kept on the farm or, in the case of a commitment to limit nutrient leaching, all animals kept on the farm which are relevant to the commitment in question.","Es wird eine Besatzdichte festgesetzt, wobei sämtliches Weidevieh, das auf dem landwirtschaftlichen Betrieb gehalten wird, oder - im Fall einer Verpflichtung zur Verringerung der Nährstoffauswaschung - der gesamte auf dem landwirtschaftlichen Betrieb gehaltene Viehbestand, der für die jeweilige Verpflichtung von Bedeutung ist, zu berücksichtigen ist.","es wird eine Besatzdichte festgesetzt, wobei sämtliches Weidevieh, das auf dem landwirtschaftlichen Betrieb gehalten wird, oder - im Fall einer Verpflichtung zur Verringerung der Nährstoffauswaschung - der gesamte auf dem landwirtschaftlichen Betrieb gehaltene Viehbestand, der für die jeweilige Verpflichtung von Bedeutung ist, zu berücksichtigen ist.","account, taking, commitment, case, relevant",0.9797875586021992,0.9999962307106618,0.9158685803413391,account
"For the purposes of this provision, circumstances arising from work done for another State or for an international organization shall not be taken into account;","Bei Anwendung dieser Vorschrift bleiben die Umstände unberücksichtigt, die sich aus der Arbeit für einen anderen Staat oder für eine internationale Organisation ergeben;","Bei Anwendung dieser Vorschrift bleibt die Lage unberücksichtigt, die sich aus dem Dienst für einen anderen Staat oder eine internationale Organisation ergibt;","account, state",0.43742331238485327,0.7686693256399352,0.9118363261222839,account
"In the case of selection on the basis of a risk analysis the Member States shall take account of appropriate risk factors, and in particular:","Im Fall der Auswahl anhand einer Risikoanalyse berücksichtigen die Mitgliedstaaten geeignete Risikofaktoren, und hier insbesondere:","Im Fall der Auswahl anhand einer Risikoanalyse berücksichtigen die Mitgliedstaaten geeignete Risikokriterien, und hier insbesondere:","member, risk, case, account",0.8282477531331043,0.9402573529411764,0.9467312097549438,account
"Member States shall ensure the availability and accessibility of the necessary collection facilities, taking into account in particular the population density;","Die Mitgliedstaaten stellen sicher, dass die insbesondere unter Berücksichtigung der Bevölkerungsdichte erforderlichen Rücknahmestellen zur Verfügung stehen und zugänglich sind;","Die Mitgliedstaaten stellen sicher, dass die insbesondere unter Berücksichtigung der jeweiligen Bevölkerungsdichte nötigen Rücknahmestellen zur Verfügung stehen und zugänglich sind;","member, account, taking",0.7859209095008705,0.911700913242009,0.9361406564712524,account
"Two Member States or their competent authorities may, by mutual agreement and having received the Opinion of the Administrative Commission, adopt simplified forms for use between them.",ZWEI MITGLIEDSTAATEN ODER DEREN ZUSTÄNDIGE BEHÖRDEN KÖNNEN NACH EINVERNEHMEN UND NACH ERHALT DER STELLUNGNAHME DER VERWALTUNGSKOMMISSION VEREINFACHTE FORMBLÄTTER FÜR IHRE GEGENSEITIGEN BEZIEHUNGEN ADOPTIEREN.,ZWEI MITGLIEDSTAATEN ODER DEREN ZUSTÄNDIGE BEHÖRDEN KÖNNEN NACH STELLUNGNAHME DER VERWALTUNGSKOMMISSION VEREINFACHTE FORMBLÄTTER FÜR IHRE GEGENSEITIGEN BEZIEHUNGEN VEREINBAREN.,"opinion, use, mutual, member, adopt, agreement, commission, competent",0.6237774736059613,0.9180120291231402,0.8949611783027649,agreement
Member States shall allow the investment firm to obtain this confirmation either in the form of a general agreement or in respect of each individual transaction.,"Die Mitgliedstaaten gestatten der Wertpapierfirma, diese Bestätigung entweder in Form einer allgemeinen Vereinbarung oder für jedes einzelne Geschäft einzuholen.","Die Mitgliedstaaten gestatten der Wertpapierfirma, diese Zustimmung entweder in Form einer allgemeinen Vereinbarung oder für jedes einzelne Geschäft einzuholen.","member, transaction, agreement, investment",0.8656030552541704,0.9519047619047619,0.9415971636772156,agreement
"This Agreement was signed, on behalf of the Community, on 23 September 2002 in Brussels, subject to a possible conclusion at a later date.",Dieses Abkommen wurde im Namen der Gemeinschaft am 23. September 2002 in Brüssel vorbehaltlich seines Abschlusses zu einem späteren Zeitpunkt unterzeichnet.,Dieses Abkommen wurde im Namen der Gemeinschaft am 23. September 2002 in Brüssel vorbehaltlich seines Abschlusses zu einem späteren Zeitpunkt unterzeichnet.,"conclusion, agreement",1.0000000000000004,0.999958905235473,0.956515908241272,agreement
"However, by agreement between the competent institution and the institution of the place of stay or residence, those benefits may be provided by the latter institution on behalf of the former institution, in accordance with the legislation of the competent State.",Im Einvernehmen zwischen dem zuständigen Träger und dem Träger des Aufenthalts- oder Wohnorts können diese Leistungen jedoch auch von diesem Träger nach den Rechtsvorschriften des zuständigen Staates für Rechnung des zuständigen Trägers gewährt werden.,Im Einvernehmen zwischen dem zuständigen Trägers und dem Träger des Aufenthalts- oder Wohnorts können diese Leistungen jedoch auch von diesem Träger nach den Rechtsvorschriften des zuständigen Staates für Rechnung des zuständigen Träger gewährt werden.,"state, residence, stay, agreement, competent, legislation",0.8717571884747202,0.9914985422740524,0.916481077671051,agreement
"Indication of the particular safeguard obligation assumed by the Community under an Agreement concluded with a third non-member State or an international organization, to which the nuclear material is subject (Article 20).",Angabe der von der Gemeinschaft für das Kernmaterial übernommenen besonderen Kontrollverpflichtung im Rahmen eines Abkommens mit einem dritten Nichtmitgliedstaat oder einer internationalen Organisation (Artikel 20).,Angabe der von der Gemeinschaft für das Kernmaterial übernommenen besonderen Kontrollverpflichtung im Rahmen eines Abkommens mit einem dritten Staat oder einer zwischenstaatlichen Einrichtung (Artikel 20).,"material, state, member, article, agreement, obligation",0.775411995019244,0.8920857142857144,0.9429430365562439,agreement
Whether there has been resort to judicial review proceedings either by liable parties or qualified entities.,"Eine Angabe, ob von den haftenden Parteien oder qualifizierten Stellen eine gerichtliche Überprüfung eingeleitet wurde.","Eine Angabe, ob von den haftenden Parteien oder qualifizierten Stellen eine gerichtliche Überprüfung eingeleitet wurde.","review, judicial, liable",1.0000000000000004,0.999898229187869,0.9485682845115662,liable
"instruments and working equipment such as cutting tables, tables with detachable cutting surfaces, containers, conveyor belts and saws of non-corrodible material not liable to taint meat and easy to clean and disinfect.","Einrichtungsgegenstände und Arbeitsgeräte, wie z.B. Schneidetische, Tische mit abnehmbaren Schneideflächen, Behälter, Förderbänder und Sägen aus korrosionsfestem Material, die die Qualität des Fleisches nicht beeinträchtigen und leicht zu reinigen und zu desinfizieren sind.","Einrichtungsgegenstände und Arbeitsgeräte, wie z.B. Tische, auswechselbare Schneideunterlagen, Behältnisse, Transportbänder und Sägen aus korrosionsfestem, die Qualität des frischen Fleisches nicht beeinträchtigendem, leicht zu reinigendem und zu desinfizierendem Material.","material, conveyor, liable",0.34519399085465,0.6336088154269972,0.8485377430915833,liable
"is by trade a butcher, manages a poultry slaughterhouse or works there in any capacity, trades in poultry or poultry feed, is a consultant on poultry feeding, is a professional poultry farmer, is employed in an agricultural undertaking or has a family tie or close involvement liable to affect the impartiality of his judgement.","das Fleischergewerbe oder einen Geflügelschlachtbetrieb betreiben, in einem Geflügelschlachtbetrieb in anderer Eigenschaft tätig sind, sich mit Geflügelhandel oder dem Handel mit Geflügelfutter, der Beratung für Geflügelfütterung oder der gewerblichen Geflügelzucht und -haltung befassen oder in landwirtschaftlichen Betrieben beschäftigt sind und zu diesen in einem engen verwandtschaftlichen oder Interessenverhältnis stehen, durch das die Unparteilichkeit ihres Urteils beeinträchtigt werden könnte.","das Fleischergewerbe oder einen Geflügelschlachtbetrieb betreiben, in einem Geflügelschlachtbetrieb in anderer Eigenschaft tätig sind, sich mit Geflügelhandel oder dem Handel mit Geflügelfutter, der Beratung für Geflügelfütterung oder der gewerblichen Geflügelzucht und -haltung befassen oder in landwirtschaftlichen Betrieben beschäftigt sind und zu diesen in einem engen verwandtschaftlichen oder Interessenverhältnis stehen, durch das die Unparteilichkeit ihres Urteils beeinträchtigt werden könnte.","capacity, family, liable",1.0000000000000004,0.9999980003759293,0.9095153212547302,liable
Trade deflections liable to disrupt the market organisations often involve products moved artificially with a view to enlargement and do not form part of the normal stocks of the State concerned.,"Die Verkehrsverlagerungen, die die Marktorganisationen stören könnten, werden oft dadurch verursacht, dass Erzeugnisse, die nicht zu den normalen Beständen des betreffenden Landes gehören, mit Blick auf die Erweiterung künstlich gehandelt und verbracht werden.","Die Verkehrsverlagerungen, die die Marktorganisationen stören könnten, werden oft dadurch verursacht, dass Erzeugnisse, die nicht zu den normalen Beständen des betreffenden Landes gehören, mit Blick auf die Erweiterung künstlich gehandelt und verbracht werden.","liable, state",1.0000000000000004,0.9999915709974881,0.9339395761489868,liable
"paid for directly by liable parties, when this information is available;",durch die haftenden Parteien direkt getragene Kosten (sofern diese Information vorliegt);,durch die haftenden Parteien direkt getragene Kosten (sofern diese Information vorliegt);,"information, liable",1.0000000000000004,0.9998177842565598,0.9648198485374451,liable
"exceptional expenditure necessarily incurred by the staff member for the purposes of the mission, either on receipt of special instructions or on account of force majeure and in the interests of the Foundation, and resulting in disbursement out of reasonable proportion to the allowance provided.","außergewöhnliche Auslagen, die dem Bediensteten bei Erledigung eines dienstlichen Auftrags entweder auf Grund besonderer Weisungen oder durch höhere Gewalt und im Interesse der Stiftung entstehen, und die zu einer Auszahlung führen, die in einem unangemessenen Verhältnis zu der gewährten Zulage steht.","außergewöhnliche Auslagen, die dem Bediensteten bei Erledigung eines dienstlichen Auftrags entweder auf Grund besonderer Weisungen oder durch höhere Gewalt und im Interesse des Organs entstehen, sofern die gewährten Tagegelder für diese Auslagen offensichtlich nicht ausreichen.","foundation, member, receipt, account, reasonable",0.5244306374030974,0.6950377050044824,0.8239535689353943,member
ICES division/NAFO sub-area and non-member country fishing zone (reference No in log-book : (22)),ICES / NAFO-GEBIET UND DRITTLAND-FISCHEREIZONE (LOGBUCH-BEZUGSNUMMER : (22)),_ ICES / NAFO-GEBIET UND DRITTLAND-FISCHEREIZONE (LOGBUCH-BEZUGSNUMMER : (22)) :,member,0.8464817248906144,0.8627717391304347,0.923003077507019,member
"A staff member who receives instructions which he considers to be irregular or likely to give rise to serious difficulties shall inform his immediate superior thereof, if necessary in writing.","Hält ein Bediensteter eine ihm erteilte Anordnung für fehlerhaft oder ist er der Meinung, dass ihre Ausführung schwerwiegende Nachteile zur Folge haben kann, so hat er seinem Vorgesetzten seine Auffassung, erforderlichenfalls schriftlich, mitzuteilen.","Hält ein Bediensteter eine ihm erteilte Anordnung für fehlerhaft oder ist er der Meinung, daß ihre Ausführung schwerwiegende Nachteile zur Folge haben kann, so hat er seinem Vorgesetzten seine Auffassung, erforderlichenfalls schriftlich, mitzuteilen.",member,0.929923845210929,0.9736073199800084,0.9337299466133118,member
"a loan taken up by a capital company with a member or a member's spouse or child, or a loan taken up with a third party, if it is guaranteed by a member, on condition that such loans have the same function as an increase in the company's capital.","die Darlehensaufnahme durch eine Kapitalgesellschaft bei einem Gesellschafter, beim Ehegatten oder bei einem Kind eines Gesellschafters sowie die Aufnahme von Darlehen bei Dritten, wenn ein Gesellschafter für ein solches Darlehen Sicherheit leistet; Voraussetzung ist, daß diese Darlehen die gleiche Funktion haben wie eine Erhöhung des Kapitals.","die Darlehensaufnahme durch eine Kapitalgesellschaft bei einem Gesellschafter, beim Ehegatten oder bei einem Kind eines Gesellschafters sowie die Aufnahme von Darlehen bei Dritten, wenn ein Gesellschafter für ein solches Darlehen Sicherheit leistet; Voraussetzung ist, daß diese Darlehen die gleiche Funktion haben wie eine Erhöhung des Kapitals.","child, party, member, company, capital, loan, condition",1.0000000000000004,0.9999962307106618,0.9282602071762085,member
