source,target,language_pair,legal_category,legal_entity
The implementation of the.eu TLD may take into consideration best practices in this regard and could be supported by voluntary guidelines or codes of conduct where appropriate.,"Bei der Verwaltung der TLD "".eu"" könnten einschlägige bewährte Praktiken berücksichtigt und gegebenenfalls auf freiwilliger Basis Leitlinien oder Verhaltensregeln aufgestellt werden.",en-de,Contract Law,consideration
Article 3a of and Annex 4 to Guideline ECB/2000/1 shall be repealed.,Artikel 3a und Anhang 4 der Leitlinie EZB/2000/1 werden aufgehoben.,en-de,Administrative Law,article
"Passiflora L., originating in non-European countries","Passiflora L., mit Ursprung in außereuropäischen Ländern",en-de,Administrative Law,
L is the percent torque specified for the test mode.,L für die Prüfphase vorgegebenes Teildrehmoment.,en-de,Administrative Law,
"a government or regional body or other public organisation makes payments to a funding mechanism or entrusts or directs a private body to carry out one or more of the type of functions illustrated under (i), (ii) and (iii) which would normally be vested in the government and, in practice, in no real sense differs from practices normally followed by governments;","die Regierung, eine regionale Stelle oder eine andere öffentliche Einrichtung Zahlungen an einen Fördermechanismus leistet oder eine private Einrichtung mit der Wahrnehmung von Aufgaben der unter den Ziffern i), ii), und iii) genannten Art, die normalerweise der Regierung obliegen, betraut oder dazu anweist und sich diese Praktik in keiner Weise von den Praktiken unterscheidet, die normalerweise von den Regierungen ausgeübt werden,",en-de,Tax & Financial Regulation,"government, public, practice, vested"
develop technical solutions and provide technical assistance related to the implementation of Community legislation;,im Zusammenhang mit der Anwendung von Gemeinschaftsvorschriften technische Lösungen zu entwickeln und technische Unterstützung zu leisten;,en-de,Legal Theory & Latin Terms,legislation
"To this end, each Member State may draw up a national programme for a period of three years, hereinafter referred to as the ""apiculture programme"".","Hierfür können die Mitgliedstaaten nationale Dreijahresprogramme, im Folgenden ""Imkereiprogramme"", auflegen.",en-de,Administrative Law,"member, draw, state"
A supplementary premium shall be paid to farmers in areas where sheep and goat production constitutes a traditional activity or contributes significantly to the rural economy.,"In Gebieten, in denen die Schaf- und Ziegenhaltung eine traditionelle Wirtschaftstätigkeit darstellt oder einen erheblichen Beitrag zur ländlichen Wirtschaft leistet, wird den Betriebsinhabern eine Zusatzprämie gewährt.",en-de,Legal Theory & Latin Terms,premium
CXL CONCESSIONS SUGAR,ZUCKER ZUGESTÄNDNISSE CXL,en-de,Administrative Law,
"Where milk or milk products leave the holding for the purpose of destruction in application of sanitary measures pursuant to a decision of the competent authority of the Member State, the quantities concerned shall not be taken into account as deliveries or direct sales.","Verlassen Milch oder Milcherzeugnisse den Betrieb zum Zweck der unschädlichen Beseitigung in Anwendung gesundheitlicher Maßnahmen infolge eines Beschlusses der zuständigen Behörde des Mitgliedstaats, so werden die betreffenden Mengen nicht als Lieferung oder Direktverkauf berücksichtigt.",en-de,Administrative Law,"authority, state, holding, member, sales, decision, competent, account"
Administrative appropriations may be implemented without a prior financing decision.,Die Verwaltungsmittel können ohne vorherigen Finanzierungsbeschluss verwendet werden.,en-de,Torts,decision
"The Agency may cooperate with the aeronautical authorities of third countries and the international organisations competent in matters covered by this Regulation in the framework of working arrangements concluded with those bodies, in accordance with the relevant provisions of the Treaty.","Die Agentur kann mit den Luftfahrtbehörden von Drittländern und den internationalen Organisationen, die für von dieser Verordnung erfasste Bereiche zuständig sind, im Rahmen von Arbeitsvereinbarungen mit diesen Stellen im Einklang mit den einschlägigen Bestimmungen des Vertrags zusammenarbeiten.",en-de,Administrative Law,"treaty, regulation, agency, competent, relevant"
"action taken by the management authority and the Monitoring Committee, if provision has been made for such a committee, to ensure high quality and effective implementation, and in particular:",die von der Verwaltungsbehörde und dem gegebenenfalls vorgesehenen Begleitausschuss getroffenen Vorkehrungen zur Sicherung der Qualität und der Effizienz der Durchführung; hierzu gehören insbesondere,en-de,Intellectual Property (IP),authority
"Systems shall be designed, built and maintained on the grounds of sound engineering principles, in particular those relating to modularity, enabling interchangeability of constituents, high availability, and redundancy and fault tolerance of critical constituents.","Systeme sind unter Anwendung sachgerechter technischer Grundsätze - insbesondere in Bezug auf Modularität, Austauschbarkeit von Komponenten, hohe Verfügbarkeit sowie Redundanz und Fehlertoleranz kritischer Komponenten - auszulegen, herzustellen und instand zu halten.",en-de,Administrative Law,
"For the purposes of this Directive, ""special or exclusive rights"" mean rights granted by a competent authority of a Member State by way of any legislative, regulatory or administrative provision the effect of which is to limit the exercise of activities defined in Articles 3 to 7 to one or more entities, and which substantially affects the ability of other entities to carry out such activity.","""Besondere oder ausschließliche Rechte"" im Sinne dieser Richtlinie sind Rechte, die von einer zuständigen Behörde eines Mitgliedstaats mittels Rechts- oder Verwaltungsvorschriften gewährt wurden und dazu führen, dass die Ausübung einer der in den Artikeln 3 bis 7 genannten Tätigkeiten einem oder mehreren Unternehmen vorbehalten wird und dass die Möglichkeit anderer Unternehmen, diese Tätigkeit auszuüben, erheblich beeinträchtigt wird.",en-de,Constitutional Law,"authority, state, member, rights, competent"
a statement of the grounds on which the application for a declaration of invalidity is based;,"die Angabe der Nichtigkeitsgründe, auf die sich der Antrag stützt;",en-de,Legal Theory & Latin Terms,declaration
The parameter dataRecord (DREC_) is used by the ReadDataByIdentifier positive response message to provide the data record value identified by the recordDataIdentifier to the client (tester).,"Der Parameter dataRecord (DREC_) dient der Nachricht Positive Response auf ReadDataByIdentifier dazu, dem Client (Prüfgerät) den durch die recordDataIdentifier gekennzeichneten Datensatz bereitzustellen.",en-de,Healthcare Law,"response, record, value"
"Member States shall ensure that public authorities inform the public adequately of the rights they enjoy as a result of this Directive and to an appropriate extent provide information, guidance and advice to this end.","Die Mitgliedstaaten stellen sicher, dass die Behörden die Öffentlichkeit angemessen über die ihr aus dieser Richtlinie erwachsenden Rechte unterrichten und hierzu in angemessenem Umfang Informationen, Orientierung und Beratung bieten.",en-de,Intellectual Property (IP),"member, rights, public, information"
GOODS LISTED IN ARTICLE 30 WHICH ARE CONTAINED IN A SMALL CONSIGNMENT OF A NON-COMMERCIAL NATURE IN AMOUNTS EXCEEDING THOSE LAID DOWN IN THAT ARTICLE SHALL BE ENTIRELY EXCLUDED FROM DUTY-FREE ADMISSION.,"IN ARTIKEL 30 GENANNTE WAREN , DIE IN EINER KLEINSENDUNG NICHTKOMMERZIELLER ART IN GRÖßEREN ALS DEN IN ARTIKEL 30 FESTGELEGTEN MENGEN ENTHALTEN SIND , SIND VON DER BEFREIUNG VOLLSTÄNDIG AUSGESCHLOSSEN.",en-de,Legal Theory & Latin Terms,"admission, listed, article, consignment, goods, duty"
"The Company shall ensure that the master has available on board, at all times, information through which officers duly authorised by a Contracting Government can establish:.","Das Unternehmen muss sicherstellen, dass der Kapitän zu jeder Zeit an Bord über Angaben verfügt, mit deren Hilfe von einer Regierung ordnungsgemäß ermächtigte Bedienstete feststellen können,.",en-de,Contract Law,"information, master, company, government"
Ships using port facilities may be subject to the port State control inspections and additional control measures outlined in regulation XI-2/9.,"Schiffe, die Hafenanlagen nutzen, können Kontrollbesichtigungen durch den Hafenstaat und zusätzlichen Kontrollmaßnahmen nach Regel XI-2/9 unterliegen.",en-de,Environmental Law,"control, regulation, state"
six days shall be equivalent to one week and vice versa;,SO ENTSPRECHEN EINANDER SECHS TAGE UND EINE WOCHE;,en-de,Legal Theory & Latin Terms,equivalent
"This shall also apply to injury caused by the Contracting Party which issued the alert, where the latter entered factually inaccurate data or stored data unlawfully.","Dies gilt auch, wenn der Schaden durch die ausschreibende Vertragspartei verursacht worden ist, weil diese die Daten unrichtig eingegeben hat oder die Speicherung unrechtmäßig war.",en-de,Contract Law,"injury, party"
Appropriations corresponding to assigned revenue may be transferred only if such revenue is used for the purpose to which it is assigned.,"Mittel, die zweckgebundenen Einnahmen entsprechen, können nur insoweit übertragen werden, als diese Einnahmen ihre Zweckgebundenheit behalten.",en-de,Torts,
"the amount to be recovered, expressed in euro;","den einzuziehenden Betrag, ausgedrückt in Euro;",en-de,Administrative Law,
The feed additive shall not:,Der Futtermittelzusatzstoff darf,en-de,Administrative Law,
'PV' País Vasco.,'PV' País Vasco,en-de,Administrative Law,
A card consecutive index (definition h)).,Fortlaufender Kartenindex (Begriffsbestimmung h)).,en-de,Administrative Law,
Interested parties were informed of the essential facts and considerations on the basis of which the Council intended to extend the definitive anti-dumping duty in force and were given the opportunity to comment and to be heard.,"Die interessierten Parteien wurden über die wesentlichen Tatsachen und Erwägungen unterrichtet, auf deren Grundlage der Rat den endgültigen Antidumpingzoll auszuweiten beabsichtigte, und erhielten Gelegenheit, Stellung zu nehmen und gehört zu werden.",en-de,Administrative Law,"comment, duty"
"The payment period referred to in paragraph 1 shall be thirty calendar days for payments relating to service or supply contracts, save where the contract provides otherwise.","Bei öffentlichen Waren- und Dienstleistungsverträgen beträgt die Zahlungsfrist 30 Kalendertage, es sei denn, der betreffende Vertrag sieht etwas anderes vor.",en-de,Contract Law,"calendar, service, contract"
"Provided that they respect the minimum levels of taxation prescribed by this Directive and that they are compatible with Community law, differentiated rates of taxation may be applied by Member States, under fiscal control, in the following cases:","Die Mitgliedstaaten können unter Steueraufsicht gestaffelte Steuersätze anwenden, soweit diese die in dieser Richtlinie vorgesehenen Mindeststeuerbeträge nicht unterschreiten und mit dem Gemeinschaftsrecht vereinbar sind, und zwar in den folgenden Fällen:",en-de,Environmental Law,"law, member, control"
"It shall not permit the parent company to give instructions regarding day-to-day operations, nor with respect to individual decisions concerning the construction or upgrading of transmission and distribution lines, that do not exceed the terms of the approved financial plan, or any equivalent instrument;","Dies erlaubt es dem Mutterunternehmen nicht, Weisungen bezüglich des laufenden Betriebs oder einzelne Entscheidungen über den Bau oder die Modernisierung von Fernleitungen und Verteilerleitungen zu erteilen, die über den Rahmen des genehmigten Finanzplans oder eines gleichwertigen Instruments nicht hinausgehen;",en-de,Legal Theory & Latin Terms,"construction, equivalent, permit, instrument, company, parent, distribution"
This period may be extended by two months where additional information is sought by the regulatory authority.,"Diese Frist kann um zwei Monate verlängert werden, wenn die Regulierungsbehörde zusätzliche Informationen anfordert.",en-de,Intellectual Property (IP),"information, authority"
The product under investigation is certain ring binder mechanisms consigned from Thailand (the product under investigation) normally declared under the same codes as the product concerned originating in China.,"Bei der von der Untersuchung betroffenen Ware handelt es sich um bestimmte aus Thailand versandte Ringbuchmechaniken (nachstehend ""untersuchte Ware"" genannt), die normalerweise denselben KN-Codes zugewiesen werden wie die betroffene Ware mit Ursprung in der VR China.",en-de,Legal Theory & Latin Terms,"binder, investigation"
"The Commission has negotiated, on behalf of the Community, an Agreement on scientific and technological cooperation with the Kingdom of Morocco.",Die Kommission hat im Namen der Gemeinschaft mit dem Königreich Marokko ein Abkommen über wissenschaftlich-technische Zusammenarbeit ausgehandelt.,en-de,Administrative Law,"commission, agreement"
"the date of embarkation of the goods and the delivery period concerned, the period shown having no impact on the validity, upon import, of the certificate of origin;",das Datum der Verschiffung der Waren und den betreffenden Lieferzeitraum; der angegebene Zeitraum hat keine Auswirkung auf die Gültigkeitsdauer der Ursprungsbescheinigung bei der Einfuhr;,en-de,Legal Theory & Latin Terms,"delivery, goods"
A MEMBER STATE MAY REQUIRE THAT EMOLUMENTS GRANTED BY REASON OF RESPONSIBILITIES ASSUMED IN UNDERTAKINGS LINKED AS DESCRIBED IN ARTICLE 32 OR 33 SHALL ALSO BE INCLUDED WITH THE INFORMATION SPECIFIED IN THE FIRST SENTENCE.,"Die Mitgliedstaaten können verlangen, daß in die Angaben nach Satz 1 auch Vergütungen für die Wahrnehmung von Aufgaben in Unternehmen einbezogen werden, zu denen Beziehungen im Sinne von Artikel 32 oder von Artikel 33 bestehen;",en-de,Criminal Law & Procedure,"state, member, article, sentence, information"
CHAPTER 9,KAPITEL 9,en-de,Administrative Law,
"If data collected through routine monitoring in accordance with Article 4 are not sufficient, coordinated monitoring programmes concerning one or more zoonoses and/or zoonotic agents may be established in accordance with the procedure referred to in Article 12(2).","Sind die bei der Routineueberwachung nach Artikel 4 erfassten Daten nicht ausreichend, so können nach dem Verfahren gemäß Artikel 12 Absatz 2 für eine oder mehrere Zoonosen und/oder einen oder mehrere Zoonoseerreger koordinierte Überwachungsprogramme aufgestellt werden.",en-de,Civil Procedure & Litigation,"article, procedure"
Rules common to several measures,Allgemeine Vorschriften für verschiedene Maßnahmen,en-de,Administrative Law,rules
The Council shall act by a qualified majority.,Der Rat beschließt mit qualifizierter Mehrheit .,en-de,Administrative Law,"majority, act"
"At the end of 20X5, the production process is recognised as an intangible asset at a cost of 100 (expenditure incurred since the date when the recognition criteria were met, that is, 1 December 20X5).","Ende 20X5 wird der Produktionsprozess als immaterieller Vermögenswert mit Herstellungskosten in Höhe von 100 angesetzt (Ausgaben, die seit dem Zeitpunkt der Erfuellung der Ansatzkriterien, dem 1. Dezember 20X5, angefallen sind).",en-de,Constitutional Law,"process, asset"
"Interest-bearing liabilities that provide the financing for working capital on a long-term basis, and are not due for settlement within 12 months, are non-current liabilities.","Verzinsliche Schulden, die langfristig der Finanzierung des Umlaufvermögens zur Verfügung stehen und deren Tilgung nicht innerhalb von zwölf Monaten fällig ist, sind langfristige Schulden.",en-de,Criminal Law & Procedure,"interest, settlement, capital, term, due"
The ultimate cost of the plan is uncertain and this uncertainty is likely to persist over a long period of time.,Die tatsächlichen Kosten des Planes sind ungewiss und diese Ungewissheit besteht in der Regel über einen langen Zeitraum.,en-de,Administrative Law,
Opinion delivered on 22 April 2004 (not yet published in the Official Journal).,Stellungnahme vom 22. April 2004 (noch nicht im Amtsblatt veröffentlicht).,en-de,Legal Theory & Latin Terms,"official, journal, opinion"
To increase liquid milk consumption.,Steigerung des Flüssigmilchverbrauchs;,en-de,Administrative Law,
"In the event of a polygamous marriage, where the sponsor already has a spouse living with him in the territory of a Member State, the Member State concerned shall not authorise the family reunification of a further spouse.","Lebt im Falle einer Mehrehe bereits ein Ehegatte gemeinsam mit dem Zusammenführenden im Hoheitsgebiet eines Mitgliedstaats, so gestattet der betreffende Mitgliedstaat nicht die Familienzusammenführung eines weiteren Ehegatten.",en-de,Family Law & Estates/Trusts,"state, member, marriage, sponsor, family"
"exceededNumberOfAttempts: PIN not valid and number of PIN checks attempts exceeded,","exceededNumberOfAttempts: ungültige PIN und Zahl der zulässigen PIN-Prüfversuche überschritten,",en-de,Administrative Law,
"If a segment is identified as a reportable segment in the current period because it satisfies the relevant 10 % thresholds, prior period segment data that is presented for comparative purposes should be restated to reflect the newly reportable segment as a separate segment, even if that segment did not satisfy the 10 % thresholds in the prior period, unless it is impracticable to do so.","Wenn ein Segment in der aktuellen Berichtsperiode erstmals als berichtspflichtiges Segment bestimmt wurde, da es die relevanten 10 % Schwellenwerte erreicht, sind die zu Vergleichszwecken dargestellten Segmentdaten der vorangegangenen Berichtsperiode anzupassen, auch wenn dieses Segment in der vorangegangenen Berichtsperiode die 10 % Schwellenwerte nicht erreicht hat, es sei denn, dies ist nicht durchführbar oder wirtschaftlich nicht vertretbar.",en-de,Family Law & Estates/Trusts,relevant
The return of a child referred to in Article 40(1)(b) entailed by an enforceable judgment given in a Member State shall be recognised and enforceable in another Member State without the need for a declaration of enforceability and without any possibility of opposing its recognition if the judgment has been certified in the Member State of origin in accordance with paragraph 2.,"Eine in einem Mitgliedstaat ergangene vollstreckbare Entscheidung über die Rückgabe des Kindes im Sinne des Artikels 40 Absatz 1 Buchstabe b), für die eine Bescheinigung nach Absatz 2 im Ursprungsmitgliedstaat ausgestellt wurde, wird in einem anderen Mitgliedstaat anerkannt und kann dort vollstreckt werden, ohne dass es einer Vollstreckbarerklärung bedarf und ohne dass die Anerkennung angefochten werden kann.",en-de,Civil Procedure & Litigation,"child, state, member, article, declaration, judgment"
"The TACs shall not exceed a level of catches which a scientific evaluation, carried out by the STECF in the light of the most recent report of the ICES, has indicated will result in an increase of 30 % in the quantities of mature fish in the sea at the end of the year of their application, compared to the quantities estimated to have been in the sea at the start of that year.","Die TAC werden maximal in einer Höhe festgesetzt, bei der nach wissenschaftlicher Einschätzung des STECF unter Berücksichtigung des jüngsten ICES-Berichts gewährleistet ist, dass die Mengen geschlechtsreifer Fische im Meer am Ende des Jahres, für das die TAC gelten, im Vergleich zu den Mengen, die sich Schätzungen zufolge am Anfang dieses Jahres im Meer befanden, um 30 % zugenommen haben.",en-de,Family Law & Estates/Trusts,will
"the complete dossier is submitted within the time period specified in Annex V to this Regulation for the product type concerned, together with the summary dossier referred to in Article 11(1)(b) of Directive 98/8/EC and defined in Annex IV to this Regulation.","die vollständigen Unterlagen innerhalb der in Anhang V der vorliegenden Verordnung für die betreffende Produktart gesetzten Frist, einschließlich der in Artikel 11 Absatz 1 Buchstabe b) der Richtlinie 98/8/EG genannten und in Anhang IV der vorliegenden Verordnung definierten Zusammenfassung der Unterlagen, übermittelt werden.",en-de,Administrative Law,"article, regulation"
"Alentego e Algarve,","Alentejo e Algarve,",en-de,Administrative Law,
This Directive shall enter into force on the 20th day following its publication in the Official Journal of the European Union.,Diese Richtlinie tritt am zwanzigsten Tag nach ihrer Veröffentlichung im Amtsblatt der Europäischen Union in Kraft.,en-de,Administrative Law,"official, journal, publication"
Delete one of these as appropriate.,"Nichtzutreffendes bitte streichen. (6) Nichtzutreffendes bitte streichen.""",en-de,Administrative Law,
"If the product is suitable, only a representative part of the final sample need be kept.","Sofern das Erzeugnis sich dazu eignet, darf man lediglich einen repräsentativen Teil der Endprobe aufbewahren.",en-de,Contract Law,representative
The inspections shall determine whether:,"Diese Kontrollen dienen der Feststellung, ob",en-de,Administrative Law,
"Asturias,","Austrias,",en-de,Administrative Law,
They shall be amended in accordance with the same procedure.,Die Änderung dieser Entscheidungen erfolgt nach dem gleichen Verfahren.,en-de,Civil Procedure & Litigation,procedure
to contribute to their environmentally sound use.,zu einer umweltverträglichen Verwendung dieser Chemikalien beizutragen.,en-de,Environmental Law,use
"Each competent authority shall ensure that appropriate mechanisms are in place for a register of natural persons and SMEs considered as qualified investors, taking into account the need to ensure an adequate level of data protection.","Jede zuständige Behörde stellt sicher, dass angemessene Mechanismen bestehen, um natürliche Personen sowie KMU, die als qualifizierte Anleger angesehen werden, zu registrieren, wobei ein angemessenes Niveau des Datenschutzes sichergestellt wird.",en-de,Intellectual Property (IP),"authority, register, taking, competent, account"
Commission Regulation (EC) No 47/2003 of 10 January 2003 amending Annex I to Council Regulation (EC) No 2200/96,Verordnung (EG) Nr. 47/2003 der Kommission vom 10. Januar 2003 zur Änderung von Anhang I der Verordnung (EG) Nr. 2200/96 des Rates,en-de,Administrative Law,"commission, regulation"
"The Community will select European postgraduate courses which, for the purposes of the programme, will be called ""Erasmus Mundus masters courses"" and will be selected on the basis of the quality of the courses offered and hosting of students, as provided for under ""Selection procedures"" in this Annex.","Die Gemeinschaft wählt gemäß den im Teil ""Auswahlverfahren"" dieses Anhangs dargelegten Verfahren europäische Postgraduiertenstudiengänge aus, die für die Zwecke dieses Programms als ""Erasmus-Mundus-Masterstudiengang"" bezeichnet und entsprechend der Qualität der angebotenen Kurse und der Betreuung der Studierenden ausgewählt werden.",en-de,Family Law & Estates/Trusts,will
Fuel tanks (capacity and position),"Kraftstoffbehälter (Fassungsraum, Lage)",en-de,Administrative Law,capacity
"Member States shall require that investment firms and market operators operating an MTF establish and maintain effective arrangements and procedures, relevant to the MTF, for the regular monitoring of the compliance by its users with its rules.","Die Mitgliedstaaten schreiben vor, dass Wertpapierfirmen und Marktbetreiber, die ein MTF betreiben, für das MTF auf Dauer wirksame Vorkehrungen und Verfahren für die regelmäßige Überwachung der Einhaltung der Regeln des MTF durch dessen Nutzer festlegen.",en-de,Civil Procedure & Litigation,"member, rules, relevant, investment"
"The definitive value and number shall be established, by 31 December of the first year of application of the single payment scheme at the latest, after the checks made pursuant to Commission Regulation (EC) No 795/2004 are carried out.",Die endgültige Feststellung des Werts und der Zahl erfolgt bis spätestens 31. Dezember des ersten Anwendungsjahrs der Betriebsprämienregelung nach den Prüfungen gemäß der Verordnung (EG) Nr. 795/2004 der Kommission.,en-de,Administrative Law,"commission, value, regulation"
Issue of licences,Erteilung der Lizenzen,en-de,Administrative Law,issue
N-[3-(dodecylamino)propyl]glycine,N-[3-(Dodecylamino)propyl]glycin,en-de,Administrative Law,
Member States may make authorisations to construct a direct line subject either to the refusal of system access on the basis of Article 21 or to the opening of a dispute settlement procedure under Article 25.,Die Mitgliedstaaten können die Genehmigung zur Errichtung einer Direktleitung entweder von der Verweigerung des Netzzugangs auf der Grundlage des Artikels 21 oder von der Einleitung eines Streitbeilegungsverfahrens gemäß Artikel 25 abhängig machen.,en-de,Administrative Law,"settlement, member, article, make, access, dispute, procedure"
selecting and applying accounting policies in accordance with paragraph 20;,die Auswahl und die Anwendung von Bilanzierungs- und Bewertungsmethoden in Übereinstimmung mit Paragraph 20;,en-de,Legal Theory & Latin Terms,accounting
call for tenders); (b) Reference of publication of the notice in the Official Journal of the European Union;,Hinweis auf die Veröffentlichung der Bekanntmachung im Amtsblatt der Europäischen Gemeinschaften,en-de,Immigration & Naturalization Law,"notice, official, journal, publication"
Whereas the detailed rules for application of the basic principles of this Regulation must be so drawn that they not only ensure effective supervision while simplifying administration as far as possible but also meet the needs of undertakings for certainty in the law;,"Die Einzelheiten der Anwendung der materiellrechtlichen Vorschriften dieser Verordnung müssen so festgelegt werden, daß sie dem Erfordernis einer wirksamen Überwachung bei möglichst einfacher Verwaltungskontrolle entsprechen. Andererseits ist das Erfordernis der rechtlichen Sicherheit der Unternehmen zu berücksichtigen.",en-de,Administrative Law,"law, rules, regulation"
"Failure, significant malfunction or unavailability of airfield lighting.","Ausfall, erhebliche Fehlfunktion oder Nichtverfügbarkeit der Flugplatzbefeuerung.",en-de,Administrative Law,
"If both length bytes (Lc and Le) are requested, the described command has to be split in two parts if the IFD is using protocol T=0: the IFD sends the command as described with P3=Lc + data and then sends a GET_RESPONSE (see point 3.6.6) command with P3=Le.","Werden beide Längenbytes (Lc und Le) angefordert, ist der Befehl in zwei Teile aufzuspalten, wenn das IFD das Protokoll T=0 verwendet: Das IFD sendet den Befehl wie beschrieben mit P3=Lc + Daten und sendet dann einen GET RESPONSE-Befehl (siehe Abschnitt 3.6.6) bei P3=Le.",en-de,Legal Theory & Latin Terms,protocol
the application of any quantitative restriction or measure having equivalent effect.,die Anwendung von mengenmäßigen Beschränkungen oder Maßnahmen gleicher Wirkung.,en-de,Property & Real Estate Law,"restriction, equivalent"
