source,reference,category,detected_terms,definitions_used,examples_retrieved,translation,BLEU,METEOR,COMET
a regulated entity within the meaning of Article 1 is at the head of the group or at least one of the subsidiaries in the group is a regulated entity within the meaning of Article 1;,"An der Spitze der Gruppe steht ein beaufsichtigtes Unternehmen im Sinne des Artikels 1 oder mindestens eines der Tochterunternehmen in der Gruppe ist ein beaufsichtigtes Unternehmen im Sinne des Artikels 1,",Legal Theory & Latin Terms,"['article', 'entity']","{'article': ""An article is a legal rule that can be set out under a statute , a code , or a paragraph in a legal document. Articles usually refer to matters that have been agreed upon by the supervising authority. For example, in contracts , an article under the UCC can set out a list of contractual obligations between parties. It can regulate the parties' conduct, duties, expectations, measure of damages in breach cases, and how to resolve conflicts. Under the Constitution of the United States , there are seven articles which describe the way the government is structured and how it operates. These articles establish the relationship of the states in rapport to the Federal Government and hold that the Constitution is the supreme law of the land."", 'entity': 'An entity refers to a person or organization possessing separate and distinct legal rights, such as an individual, partnership , or corporation . An entity can, among other things, own property , engage in business, enter into contracts , pay taxes , sue and be sued. An entity is capable of operating legally, suing and making decisions through agents, e.g. a corporation, a state , or an association .'}",3,ein beaufsichtigtes Unternehmen im Sinne des Artikels 1 an der Spitze der Gruppe steht oder mindestens eine der Tochtergesellschaften in der Gruppe ein beaufsichtigtes Unternehmen im Sinne des Artikels 1 ist;,0.6357633770595823,0.93375,0.9169743061065674
QUALIFICATION FOR SUBSIDIARY PROTECTION,VORAUSSETZUNGEN FÜR DEN ANSPRUCH AUF SUBSIDIÄREN SCHUTZ,Legal Theory & Latin Terms,['subsidiary'],"{'subsidiary': 'A subsidiary is an entity (e.g., a corporation ) in which another entity (known as the parent or holding company )\xa0 has a controlling share . Although the subsidiary operates as a separate legal entity, the parent company can influence its policies , management, and operations. Subsidiaries are often established to manage specific business operations, enter new markets, or mitigate risks associated with different lines of business.'}",3,VORAUSSETZUNGEN FÜR SUBSIDIÄREN SCHUTZ,0.11350077445815965,0.5597014925373134,0.900475025177002
Article 4 is replaced by the following:,2. Artikel 4 erhält folgende Fassung:,Legal Theory & Latin Terms,['article'],"{'article': ""An article is a legal rule that can be set out under a statute , a code , or a paragraph in a legal document. Articles usually refer to matters that have been agreed upon by the supervising authority. For example, in contracts , an article under the UCC can set out a list of contractual obligations between parties. It can regulate the parties' conduct, duties, expectations, measure of damages in breach cases, and how to resolve conflicts. Under the Constitution of the United States , there are seven articles which describe the way the government is structured and how it operates. These articles establish the relationship of the states in rapport to the Federal Government and hold that the Constitution is the supreme law of the land.""}",3,Artikel 4 erhält folgende Fassung:,0.846481724890614,0.8675523349436391,0.9819490909576416
"A bank is exposed to liquidity risk and to risks arising from currency fluctuations, interest rate movements, changes in market prices and from counterparty failure.","Eine Bank ist einem Liquiditätsrisiko und anderen Risiken ausgesetzt, die sich aus Währungsschwankungen, Zinsänderungen, Veränderungen der Marktpreise oder aus Adressenausfällen ergeben.",Legal Theory & Latin Terms,"['currency', 'interest', 'bank', 'risk']","{'currency': 'Currency can be defined as a system of money issued by a State on a national territory, used by people in that nation, allowing to carry out monetary exchanges .', 'interest': 'Interest is a payment associated with borrowing or lending money. Generally, one party will lend another party a sum of money, called a loan . The receiving party is expected to repay that initial sum - called the principal amount - as well as an additional sum. This additional sum is the interest. Generally, the amount of interest a person must pay is determined by an interest rate, which is a percentage of the principal amount. As stated by the U.S. Securities and Exchange Commission , interest rates may be fixed, which means the rate is set and does not change. For example, if the principal amount of a loan was $100,000, and the interest rate was 10%, the borrowing party would be expected to repay the initial $100,000 plus an additional $10,000. Interest rates may also be variable or “floating,” in which case it may change over time.', 'bank': 'According to the U.S. Code , a bank or trust company is incorporated and engaged in the business of financial transactions under the laws of the United States or of any State. A bank is a substantial part of the financial establishment and a quasi public institution licensed to\xa0receive deposits, make loans and currency exchange, issue money, transmit funds, or exercise fiduciary powers similar to those permitted to national\xa0banks\xa0under the authority of the Comptroller of the Currency . There are several types of banks including retail banks, commercial or corporate banks, and investment banks. In Pue v.\xa0Hood,\xa0Comr. of Banks a bank is defined as “wholly a creature of statute doing business by legislative grace and the right to carry on a banking business through the agency of a corporation is a ‘ franchise ’ which is dependent on a grant of corporate powers by the state.”', 'risk': 'Risk is the possibility of an adverse event or outcome that may result in loss , harm, or damage. In law , business , and finance , risk refers to the likelihood that an investment , action, or decision will lead to unfavorable consequences.'}",3,"Eine Bank ist dem Liquiditätsrisiko und den Risiken aus Währungsschwankungen, Zinsänderungen, Veränderungen der Marktpreise und aus Kontrahentenausfällen ausgesetzt.",0.37289592193982696,0.65504824598419,0.8853009343147278
«lease» shall mean lease or similar types of temporary transactions;,"""Pacht"": Pacht oder ähnliche Arten von befristeten Geschäften.",Legal Theory & Latin Terms,['lease'],"{'lease': 'A lease refers to a contract in which one party , the lessor , grants another party, the lessee , the right to possess and use property for a specified period of time in exchange for consideration , typically rent . Leases may involve real property , such as residential or commercial premises, or personal property , such as equipment or vehicles.'}",3,«Lease» bedeutet Leasingverhältnis oder ähnliche Arten von vorübergehenden Transaktionen;,0.21200626759025185,0.33072916666666663,0.7580739855766296
the grouping of single consignments;,"die Zusammenfassung von Einzelladungen,",Legal Theory & Latin Terms,[],{},3,die Gruppierung von Einzelsendungen;,0.06389431042462725,0.20000000000000004,0.6549162864685059
"Reinforcement and extension of the scope of the RAPEX alert system, taking developments in market surveillance information exchange into account",Ausbau und Erweiterung des Anwendungsbereichs des RAPEX-Warnsystems unter Berücksichtigung der Entwicklung des Informationsaustauschs im Rahmen der Marktüberwachung,Legal Theory & Latin Terms,"['surveillance', 'information', 'extension', 'exchange', 'taking']","{'surveillance': 'Surveillance is the act of observing another in order to gather evidence. Surveillance is one of the most common methods law enforcement officials use to investigate suspects and gather evidence. It can be accomplished with the knowledge of the person being surveilled (overt surveillance) or without (covert surveillance).', 'information': 'Information is factual data given context and meaning, then communicated as knowledge .', 'extension': 'Extension is a grant to increase the time originally specified in a written contract , a verbal agreement, or an obligation . It may be an additional time granted to make a payment of debt or a bill ; it can be time granted to file a legal document after the expiration of a due date, such as income tax return; or it can be prolongation of an existing lease of a real estate property.', 'exchange': 'Exchange refers both to the action of transferring goods and chattels for other goods and chattels of like value and to the transfer itself.', 'taking': 'The power of the government through the use of eminent domain , to take private property and convert it into public use, is referred to as a taking . The Fifth Amendment provides that the government may only exercise this power if they provide just compensation to the property owners. A taking may be the actual seizure of property by the government, or the taking may be in the form of a regulatory taking, which occurs when the government restricts a person’s use of their property to the point of it constituting a taking.'}",1,Verstärkung und Erweiterung des Anwendungsbereichs des RAPEX-Warnsystems unter Berücksichtigung der Entwicklungen im Bereich der Marktüberwachungsinformation und des Informationsaustauschs,0.5085991394194219,0.738606872210111,0.9108643531799316
A third party who may avail himself of the provisions of paragraph 6 may bring third party proceedings against the decision re-establishing the rights of the applicant for or holder of the registered Community design within a period of two months as from the date of publication of the mention of re-establishment of those rights.,"Dritte, die sich auf Absatz 6 berufen können, können gegen die Entscheidung über die Wiedereinsetzung des Anmelders oder des Inhabers des eingetragenen Gemeinschaftsgeschmacksmusters in den vorigen Stand binnen zwei Monaten nach dem Zeitpunkt der Bekanntmachung des Hinweises auf die Wiedereinsetzung in den vorigen Stand Drittwiderspruch einlegen.",Legal Theory & Latin Terms,"['publication', 'third party', 'decision', 'holder', 'rights', 'may']","{'publication': 'A publication\xa0is\xa0the act of\xa0making something known to the public at large to inspect or scrutinize. This is done to\xa0convey knowledge or\xa0give notice .', 'third party': 'A third party is someone who is not directly involved in a transaction, dispute, or agreement between two principal parties . The term often refers to an outside person or entity with a secondary or indirect role.', 'decision': 'In the legal context, a decision is a judicial determination of parties’ rights and obligations reached by a court based on facts and law. A decision can mean either the act of delivering a court’s order or the text of the court’s opinion on the case and the accompanying court order. The text of a decision usually includes a summary of the facts, a discussion of relevant laws, the court’s reasoning of how the law applies to the issues at hand, the court’s holding (or determination on the legal issues of the case) and the court’s orders. The order, usually at the end of the decision, tells the parties to a case or cases something that they should do.\xa0 Orders can deal with housekeeping matters, such as scheduling, or with something substantive and important, such as whether the case will be dismissed or not.\xa0 Decision is often used interchangeably with “ judgment ”, “ ruling ”, “ opinion ” and “ order ”.', 'holder': 'A holder is a general term for the individual who has lawfully received possession of property . For example, anyone holding a promissory note , check , bond or other paper.', 'rights': 'Rights are the privileges or protections one is entitled to by law . In the United States, the many individual and group rights are protected by the U.S. Constitution , with the most well-known rights provided by the Bill of Rights . For example, the first amendment protects freedom of speech , freedom of press , freedom of religion , freedom of assembly , and freedom of expression . The two types of rights are enumerated rights , or those explicitly granted in the Constitution or another instrument , and unenumerated rights, which are implied in an instrument. Rights may also be inherently prescribed by legal documents, such as transactions or contracts ; these rights are then enforced by the justice system , or the courts .', 'may': 'The word “may” is an expression of possibility, a permissive choice to act or not, and ordinarily implies some degree of discretion . This contrasts with the word “ shall ,” which is generally used to indicate a mandatory provision. As explained in this case from Texas , the word “may” in a written instrument is generally construed as permissive, but it can be interpreted as mandatory depending on the context in which it is used. Usually, only where it is necessary to give effect to the clear intention of the legislature that it can be construed in a mandatory sense.'}",3,"Ein Dritter, der die Bestimmungen des Absatzes 6 in Anspruch nehmen darf, kann innerhalb einer Frist von zwei Monaten ab dem Datum der Veröffentlichung der Erwähnung der Wiederherstellung dieser Rechte Drittwiderspruch gegen die Entscheidung einlegen, mit der die Rechte des Anmelders oder des Rechtsinhabers des eingetragenen Gemeinschaftsgeschmacksmusters wiederhergestellt werden.",0.10224344084984452,0.3560971659919029,0.8198840618133545
"For bluefin tuna this tolerance limit is set at 10 % of the number of fish per landing of the total bluefin tuna catches or their equivalent in percentage in weight.""","Im Fall von Rotem Thun wird diese Obergrenze auf einen zahlenmäßigen Anteil von 10 % der angelandeten Gesamtmengen an Rotem Thun oder einen äquivalenten Anteil in Gewicht festgesetzt.""",Legal Theory & Latin Terms,"['equivalent', 'per', 'set']","{'equivalent': 'Equivalent means anything which is comparable in content, substance, material, denomination, number, quality etc., but not identical. Under patent law, an invention against an equivalent may be challenged for infringement by a patent holder (patentee). Doctrine of equivalents means similarity or resemblance among the elements of an existing infringed patent and alleged invention. Under the doctrine, the product or process may not literally infringe the express terms of a patent claim .', 'per': 'Per is synonymous with through, by, or according to ( p er the terms of the lease , the tenant paid the landlord every month). Per may also mean for each/every (the speed limit is 30 miles per hour).', 'set': 'Set, when used as a verb, means to schedule. For example, to “set a case for trial .”'}",1,Für Roten Thun ist diese Toleranzgrenze auf 10 % der Anzahl der Fische pro Landung der gesamten Roten-Thun-Fänge oder ihrem Äquivalent in Prozenten des Gewichts festgelegt.,0.040685634493114464,0.21397306397306398,0.7085052132606506
These provide a basis for selecting and applying accounting policies in the absence of explicit guidance.,"Diese bilden eine Basis zur Auswahl und Anwendung von Bilanzierungs- und Bewertungsmethoden, falls keine expliziten Anwendungsleitlinien vorhanden sind.",Legal Theory & Latin Terms,"['accounting', 'basis']","{'accounting': 'Accounting is the practice of accurately and timely recording , analyzing, summarizing, and classifying financial transactions of a business . Commonly, those financial transactions are recorded in a set of financial records called financial statements .', 'basis': ""Basis is the value assigned to an asset , usually its purchase cost, and reflects the owner's investment. It generally includes the amount paid in cash, debt , services, or property, along with related costs such as commissions , taxes , transportation, and legal or transfer fees. This value may increase due to improvements or decrease through deductions like depreciation , resulting in an adjusted basis over time.""}",3,Diese bieten eine Grundlage für die Auswahl und Anwendung von Bilanzierungs- und Bewertungsmethoden in Ermangelung ausdrücklicher Richtlinien.,0.319931647204462,0.48888888888888893,0.8839243650436401
