source,target,legal_entity,BLEU,METEOR,COMET,term
"If only the non-family labour force and no other resources of the holding are used, the workers are seen as working for two different set-ups, and these activities are thus not seen as being directly related to the holding.","Wenn nur die familienfremden Arbeitskräfte und keine sonstigen Betriebsmittel eingesetzt werden, so werden die Arbeitskräfte als für zwei verschiedene Einrichtungen tätig betrachtet, und die entsprechenden Tätigkeiten gelten nicht als direkt mit dem Betrieb in Verbindung stehend.","holding, family, set",0.00578083904183164,0.03816793893129772,0.9352455735206604,family
The second Member State may require the family members concerned to present with their application for a residence permit:,"Der zweite Mitgliedstaat kann von den Familienangehörigen des langfristig Aufenthaltsberechtigten verlangen, ihrem Antrag auf Erteilung eines Aufenthaltstitels Folgendes beizufügen:","state, member, residence, permit, family",0.009160285722098505,0.023923444976076555,0.9564482569694519,family
Entry and residence of family members,Einreise und Aufenthalt der Familienangehörigen,"residence, family, entry",0.0,0.0,0.9801684021949768,family
The Member State concerned shall grant the family members a first residence permit of at least one year's duration.,Der betreffende Mitgliedstaat erteilt den Familienangehörigen einen ersten Aufenthaltstitel mit mindestens einjähriger Gültigkeitsdauer.,"state, member, grant, residence, permit, family",0.009134423666564471,0.03401360544217687,0.9717233180999756,family
"In the event of a polygamous marriage, where the sponsor already has a spouse living with him in the territory of a Member State, the Member State concerned shall not authorise the family reunification of a further spouse.","Lebt im Falle einer Mehrehe bereits ein Ehegatte gemeinsam mit dem Zusammenführenden im Hoheitsgebiet eines Mitgliedstaats, so gestattet der betreffende Mitgliedstaat nicht die Familienzusammenführung eines weiteren Ehegatten.","state, member, marriage, sponsor, family",0.005355924989097696,0.033112582781456956,0.9450660347938538,marriage
"Finland and Sweden shall have the option of declaring that the Convention of 6 February 1931 between Denmark, Finland, Iceland, Norway and Sweden comprising international private law provisions on marriage, adoption and guardianship, together with the Final Protocol thereto, will apply, in whole or in part, in their mutual relations, in place of the rules of this Regulation.","Finnland und Schweden können erklären, dass das Übereinkommen vom 6. Februar 1931 zwischen Dänemark, Finnland, Island, Norwegen und Schweden mit Bestimmungen des internationalen Verfahrensrechts über Ehe, Adoption und Vormundschaft einschließlich des Schlussprotokolls anstelle dieser Verordnung ganz oder teilweise auf ihre gegenseitigen Beziehungen anwendbar ist.","protocol, adoption, regulation, guardianship, mutual, marriage, option, rules, will, law",0.004497925365292407,0.08538899430740038,0.9326626062393188,marriage
"Pursuant to Article 59(2)(a) of the Council Regulation concerning jurisdiction and the recognition and enforcement of judgments in matrimonial matters and matters of parental responsibility, repealing Regulation (EC) No 1347/2000, Finland hereby declares that the Convention of 6 February 1931 between Finland, Denmark, Iceland, Norway and Sweden comprising international private law provisions on marriage, adoption and guardianship, together with the Final Protocol thereto, will apply in full in relations between Finland and Sweden, in place of the rules of the Regulation.","Gemäß Artikel 59 Absatz 2 Buchstabe a) der Verordnung des Rates über die Zuständigkeit und Anerkennung und Vollstreckung von Entscheidungen in Ehesachen und in Verfahren betreffend die elterliche Verantwortung und zur Änderung der Verordnung (EG) Nr. 1347/2000 erklärt Finnland, dass das Übereinkommen vom 6. Februar 1931 zwischen Finnland, Dänemark, Island, Norwegen und Schweden mit Bestimmungen des internationalen Verfahrensrechts über Ehe, Adoption und Vormundschaft einschließlich des Schlussprotokolls anstelle dieser Verordnung in den gegenseitigen Beziehungen zwischen Finnland und Schweden in vollem Umfang zur Anwendung kommt.","protocol, adoption, regulation, guardianship, article, marriage, rules, jurisdiction, will, law",0.006771928138028394,0.126240266829836,0.9234561324119568,marriage
"SUBJECT TO ARTICLES 12 TO 15 , TROUSSEAUX AND HOUSEHOLD EFFECTS , WHETHER OR NOT NEW , BELONGING TO A PERSON TRANSFERRING HIS OR HER NORMAL PLACE OF RESIDENCE FROM A THIRD COUNTRY TO THE CUSTOMS TERRITORY OF THE COMMUNITY ON THE OCCASION OF HIS OR HER MARRIAGE , SHALL BE ADMITTED FREE OF IMPORT DUTIES.","VON DEN EINGANGSABGABEN BEFREIT SIND VORBEHALTLICH DER ARTIKEL 12 BIS 15 AUSSTEUER UND HAUSRAT , AUCH NEU , EINER PERSON , DIE IHREN GEWÖHNLICHEN WOHNSITZ AUS ANLASS IHRER EHESCHLIESSUNG AUS EINEM DRITTLAND IN DAS ZOLLGEBIET DER GEMEINSCHAFT VERLEGT.","marriage, residence, person, household",0.005212783368500717,0.0857843137254902,0.8853805065155029,marriage
"In particular, in the following cases special leave shall be granted as shown: - marriage of the staff member : four days,","Anspruch auf Dienstbefreiung besteht insbesondere in nachstehenden Fällen und in folgenden Grenzen: - Eheschließung des Bediensteten : vier Tage,","member, marriage",0.020144990145560468,0.19924714434060226,0.9533711075782776,marriage
"exceptional expenditure necessarily incurred by the staff member for the purposes of the mission, either on receipt of special instructions or on account of force majeure and in the interests of the Foundation, and resulting in disbursement out of reasonable proportion to the allowance provided.","außergewöhnliche Auslagen, die dem Bediensteten bei Erledigung eines dienstlichen Auftrags entweder auf Grund besonderer Weisungen oder durch höhere Gewalt und im Interesse des Organs entstehen, sofern die gewährten Tagegelder für diese Auslagen offensichtlich nicht ausreichen.","foundation, member, receipt, account, reasonable",0.005034460682273033,0.03846153846153846,0.9279300570487976,member
ICES division/NAFO sub-area and non-member country fishing zone (reference No in log-book : (22)),_ ICES / NAFO-GEBIET UND DRITTLAND-FISCHEREIZONE (LOGBUCH-BEZUGSNUMMER : (22)) :,member,0.21869766863251183,0.4407596371882086,0.9450245499610901,member
"A staff member who receives instructions which he considers to be irregular or likely to give rise to serious difficulties shall inform his immediate superior thereof, if necessary in writing.","Hält ein Bediensteter eine ihm erteilte Anordnung für fehlerhaft oder ist er der Meinung, daß ihre Ausführung schwerwiegende Nachteile zur Folge haben kann, so hat er seinem Vorgesetzten seine Auffassung, erforderlichenfalls schriftlich, mitzuteilen.",member,0.00575200893990609,0.026737967914438502,0.9440177083015442,member
"a loan taken up by a capital company with a member or a member's spouse or child, or a loan taken up with a third party, if it is guaranteed by a member, on condition that such loans have the same function as an increase in the company's capital.","die Darlehensaufnahme durch eine Kapitalgesellschaft bei einem Gesellschafter, beim Ehegatten oder bei einem Kind eines Gesellschafters sowie die Aufnahme von Darlehen bei Dritten, wenn ein Gesellschafter für ein solches Darlehen Sicherheit leistet; Voraussetzung ist, daß diese Darlehen die gleiche Funktion haben wie eine Erhöhung des Kapitals.","child, party, member, company, capital, loan, condition",0.004701712638603976,0.03891050583657587,0.9282602071762085,member
A staff member employed in a place where transport is recognized as being particularly difficult and expensive because of the remoteness of housing from the place of work may be paid a transport allowance.,"Einem Bediensteten, an dessen Ort der dienstlichen Verwendung die Beförderungsbedingungen wegen der Entfernung zwischen Wohnung und Arbeitsstätte als besonders schwierig und kostspielig anerkannt worden sind, kann eine Fahrkostenzulage gewährt werden.",member,0.005311256555131655,0.015060240963855423,0.9474712014198303,member
"It may also finance studies and organise meetings of experts likely to facilitate the implementation of the programme, and undertake information, publication and dissemination actions directly linked to the achievement of the programme's objective.","Ferner kann sie Studien finanzieren und Expertensitzungen ausrichten, sofern dies der Umsetzung des Programms förderlich ist, und sie kann direkt mit der Verwirklichung der Programmziele verbundene Maßnahmen zur Weitergabe, Verbreitung und Veröffentlichung von Informationen durchführen.","information, publication",0.006248309666760603,0.05141388174807198,0.9342328906059265,sponsor
ACTION 2: SCHOLARSHIPS,AKTION 2: STIPENDIENPROGRAMME,,0.16990442448471224,0.46875,0.9869194626808167,sponsor
Deceased donors,Verstorbene Spender,deceased,0.0,0.0,0.9867540001869202,sponsor
GOVERNMENT ASSISTANCE,BEIHILFEN DER ÖFFENTLICHEN HAND,government,0.0,0.0,0.9639477729797363,sponsor
interest.,Zinserträgen.,interest,0.1495348781221221,0.25,0.9759930968284607,sponsor
"In the event of a polygamous marriage, where the sponsor already has a spouse living with him in the territory of a Member State, the Member State concerned shall not authorise the family reunification of a further spouse.","Lebt im Falle einer Mehrehe bereits ein Ehegatte gemeinsam mit dem Zusammenführenden im Hoheitsgebiet eines Mitgliedstaats, so gestattet der betreffende Mitgliedstaat nicht die Familienzusammenführung eines weiteren Ehegatten.","state, member, marriage, sponsor, family",0.005355924989097696,0.033112582781456956,0.9450660347938538,state
The second Member State may require the family members concerned to present with their application for a residence permit:,"Der zweite Mitgliedstaat kann von den Familienangehörigen des langfristig Aufenthaltsberechtigten verlangen, ihrem Antrag auf Erteilung eines Aufenthaltstitels Folgendes beizufügen:","state, member, residence, permit, family",0.009160285722098505,0.023923444976076555,0.9564482569694519,state
The Member State concerned shall grant the family members a first residence permit of at least one year's duration.,Der betreffende Mitgliedstaat erteilt den Familienangehörigen einen ersten Aufenthaltstitel mit mindestens einjähriger Gültigkeitsdauer.,"state, member, grant, residence, permit, family",0.009134423666564471,0.03401360544217687,0.9717233180999756,state
"By way of derogation, where the legislation of a Member State relating to family reunification in force on the date of adoption of this Directive takes into account its reception capacity, the Member State may provide for a waiting period of no more than three years between submission of the application for family reunification and the issue of a residence permit to the family members.","Abweichend davon kann ein Mitgliedstaat, dessen bei Annahme der Richtlinie geltendes nationales Recht im Bereich der Familienzusammenführung die Aufnahmefähigkeit dieses Mitgliedstaats berücksichtigt, eine Wartefrist von höchstens drei Jahren, zwischen der Stellung eines Antrags auf Familienzusammenführung und der Ausstellung eines Aufenthaltstitels an Familienangehörige, vorsehen.","adoption, state, member, residence, permit, issue, legislation, family, capacity, account",0.003519816815769827,0.03,0.928630530834198,state
"In the case of a measure in the form of a grant or loan, it is normally obvious which enterprise is potentially the beneficiary for the purpose of assessing whether State aid is involved.","Bei der Vergabe eines Zuschusses oder eines Kredites ist bei der Prüfung, ob es sich um eine staatliche Beihilfe handelt, in der Regel klar, welches Unternehmen durch die betreffende Maßnahme begünstigt würde.","beneficiary, state, grant, case, loan",0.006787181501568368,0.041666666666666664,0.9518918991088867,state
"For products other than those of standard quality, buying-in prices shall be derived from those in force for the relevant standard qualities, by reference to differences in quality in relation to the standard quality.","Die Kaufpreise für andere Erzeugnisse als Erzeugnisse der Standardqualität werden von den für die betreffenden Standardqualitäten geltenden Kaufpreisen abgeleitet, und zwar unter Berücksichtigung der gegenüber den Standardqualitäten bestehenden Qualitätsunterschiede.",relevant,0.005959978627465526,0.03164556962025317,0.9400437474250793,relevant
2.The members of the Board shall be appointed in such a way as to secure the highest standards of competence and a broad range of relevant expertise.,"(2)Die Ernennung der Mitglieder des Verwaltungsrats erfolgt so, dass die höchste fachliche Qualifikation und ein breites Spektrum an einschlägigem Fachwissen gewährleistet sind.","competence, relevant",0.006716472052354862,0.01845018450184502,0.9614406824111938,relevant
"The coordinator, after consultation with the other relevant competent authorities, shall identify the type of transactions and risks regulated entities in a particular financial conglomerate shall report in accordance with the provisions of Article 7(2) and Article 8(2) on the reporting of intra-group transactions and risk concentration.","Der Koordinator legt nach Konsultation der anderen jeweils zuständigen Behörden fest, welche Arten von Transaktionen und Risiken von den beaufsichtigten Unternehmen eines bestimmten Finanzkonglomerats gemäß Artikel 7 Absatz 2 und Artikel 8 Absatz 2 über die Mitteilung von gruppeninternen Transaktionen und Risikokonzentrationen zu melden sind.","competent, article, risk, relevant",0.005107786384598448,0.06263048016701461,0.9056058526039124,relevant
"The information in (2) to (6), (8), (10) and (11) of the entry line, to which the concise note refers, must be repeated in the relevant columns of this entry line.","Die Angaben unter (2) bis (6), (8), (10) und (11) der Buchungszeile, auf die sich die kurzgefasste Bemerkung bezieht, ist in den betreffenden Spalten dieser Buchungszeile zu wiederholen.","note, information, relevant, entry",0.28509173779340496,0.4760071850141135,0.9452667832374573,relevant
"In addition, other relevant guidance is provided under sections 8, 9 and 13.","Zusätzliche einschlägige Hinweise finden sich in den Abschnitten 8, 9 und 13.",relevant,0.07655122720591222,0.39612676056338025,0.9807149767875671,relevant
GOODS LISTED IN ARTICLE 30 WHICH ARE CONTAINED IN A SMALL CONSIGNMENT OF A NON-COMMERCIAL NATURE IN AMOUNTS EXCEEDING THOSE LAID DOWN IN THAT ARTICLE SHALL BE ENTIRELY EXCLUDED FROM DUTY-FREE ADMISSION.,"IN ARTIKEL 30 GENANNTE WAREN , DIE IN EINER KLEINSENDUNG NICHTKOMMERZIELLER ART IN GRÖßEREN ALS DEN IN ARTIKEL 30 FESTGELEGTEN MENGEN ENTHALTEN SIND , SIND VON DER BEFREIUNG VOLLSTÄNDIG AUSGESCHLOSSEN.","admission, listed, article, consignment, goods, duty",0.008840994001530048,0.09615384615384617,0.9249600768089294,article
Article 22b,Artikel 22b,article,0.1495348781221221,0.25,0.991875946521759,article
The provisions governing the financing of the common agricultural policy shall apply to the products mentioned in Article 1.,Die Bestimmungen über die Finanzierung der gemeinsamen Agrarpolitik gelten auch für die in Artikel 1 genannten Erzeugnisse.,"policy, article",0.012673718536830811,0.0824175824175824,0.9682288765907288,article
Article 116 shall be replaced by the following:,Artikel 116 erhält folgende Fassung:,article,0.028517539529041507,0.15873015873015875,0.9923231601715088,article
Applicants must certify that they are not in one of the situations listed in Article 93.,"Die Antragsteller müssen bestätigen, dass sie sich nicht in einer der in Artikel 93 genannten Situationen befinden.","listed, article",0.014461870879312647,0.10638297872340426,0.9677249193191528,article
"the minor children of the couple referred to in the first indent or of the beneficiary of refugee or subsidiary protection status, on condition that they are unmarried and dependent and regardless of whether they were born in or out of wedlock or adopted as defined under the national law;","die minderjährigen Kinder des Paares nach dem ersten Gedankenstrich oder der Person, der die Flüchtlingseigenschaft oder der subsidiäre Schutzstatus gewährt worden ist, sofern diese ledig und unterhaltsberechtigt sind, unabhängig davon, ob es sich dabei um eheliche, nicht eheliche oder im Sinne des nationalen Rechts adoptierte Kinder handelt;","beneficiary, status, dependent, refugee, subsidiary, minor, law, condition",0.004108854673540809,0.01890359168241966,0.9056219458580017,child
"Central authorities should cooperate both in general matter and in specific cases, including for purposes of promoting the amicable resolution of family disputes, in matters of parental responsibility.","Die Zentralen Behörden sollten sowohl allgemein als auch in besonderen Fällen, einschließlich zur Förderung der gütlichen Beilegung von die elterliche Verantwortung betreffenden Familienstreitigkeiten, zusammenarbeiten.","family, resolution",0.008531104334876973,0.072992700729927,0.9371328949928284,child
MUFA key family,Schlüsselindizierte Zeitreihenfamilie MUFA,family,0.11362193664674995,0.16666666666666666,0.9393694996833801,child
"the nature and liquidity of assets and their materiality, leading, in most cases, to the separate presentation of, goodwill and assets arising from development expenditure, monetary and non-monetary assets and current and non-current assets;","der Art und Liquidität von Vermögenswerten und deren Wesentlichkeit, was in den meisten Fällen zu der getrennten Darstellung von Geschäfts- oder Firmenwerten und Vermögenswerten, die durch Entwicklungsausgaben entstehen, von monetären und nicht monetären Vermögenswerten sowie kurzfristigen und langfristigen Vermögenswerten führt;","goodwill, materiality",0.006252239028734648,0.0573394495412844,0.9302233457565308,child
Family: Stichopodidae (Sea Cucumbers),Familie Stichopodidae (Seegurken),family,0.07730551756939454,0.6069711538461539,0.9827864766120911,child
a statement of the grounds on which the application for a declaration of invalidity is based;,"die Angabe der Nichtigkeitsgründe, auf die sich der Antrag stützt;",declaration,0.011502783619900045,0.04,0.9640036821365356,declaration
Constituents shall be accompanied by an EC declaration of conformity or suitability for use.,Den Komponenten ist eine EG-Konformitätserklärung oder EG-Gebrauchstauglichkeitserklärung beizufügen.,"use, declaration",0.013217947626377298,0.05208333333333333,0.9699772000312805,declaration
The technical file must be attached to the EC declaration of verification which the air navigation service provider submits to the national supervisory authority.,"Die technischen Unterlagen sind der EG-Prüferklärung, die die Flugsicherungsorganisation der nationalen Aufsichtsbehörde übermittelt, beizufügen.","verification, authority, attached, file, declaration, service",0.007575731225158965,0.028089887640449437,0.9454874396324158,declaration
Application for a declaration of invalidity,Antrag auf Nichtigerklärung,declaration,0.0,0.0,0.9893434047698975,declaration
The notification must conclude with the following declaration which is to be signed by or on behalf of all the notifying parties:,"Die Anmeldung muss mit der folgenden Erklärung schließen, die von allen oder im Namen aller anmeldenden Unternehmen zu unterzeichnen ist:",declaration,0.008282282660969604,0.022624434389140267,0.9480576515197754,declaration
The return of a child referred to in Article 40(1)(b) entailed by an enforceable judgment given in a Member State shall be recognised and enforceable in another Member State without the need for a declaration of enforceability and without any possibility of opposing its recognition if the judgment has been certified in the Member State of origin in accordance with paragraph 2.,"Eine in einem Mitgliedstaat ergangene vollstreckbare Entscheidung über die Rückgabe des Kindes im Sinne des Artikels 40 Absatz 1 Buchstabe b), für die eine Bescheinigung nach Absatz 2 im Ursprungsmitgliedstaat ausgestellt wurde, wird in einem anderen Mitgliedstaat anerkannt und kann dort vollstreckt werden, ohne dass es einer Vollstreckbarerklärung bedarf und ohne dass die Anerkennung angefochten werden kann.","child, state, member, article, declaration, judgment",0.007880037991443838,0.08485346889952153,0.9273079037666321,judgment
"A judgment on the exercise of parental responsibility in respect of a child given in a Member State which is enforceable in that Member State and has been served shall be enforced in another Member State when, on the application of any interested party, it has been declared enforceable there.","Die in einem Mitgliedstaat ergangenen Entscheidungen über die elterliche Verantwortung für ein Kind, die in diesem Mitgliedstaat vollstreckbar sind und die zugestellt worden sind, werden in einem anderen Mitgliedstaat vollstreckt, wenn sie dort auf Antrag einer berechtigten Partei für vollstreckbar erklärt wurden.","child, party, state, member, judgment",0.005405463811495536,0.06423982869379015,0.9328853487968445,judgment
Children who are covered by the judgment(3),"Kinder, für die die Entscheidung gilt(3)",judgment,0.10445522730720382,0.29444444444444445,0.9775480031967163,judgment
they have been convicted of an offence concerning their professional conduct by a judgment which has the force of res judicata;,"die aufgrund eines rechtskräftigen Urteils aus Gründen bestraft worden sind, welche ihre berufliche Zuverlässigkeit infrage stellen;","judgment, res",0.008687475782716616,0.027173913043478257,0.9579199552536011,judgment
"Where the Court of Justice and the Court of First Instance are seised of cases in which the same relief is sought, the same issue of interpretation is raised or the validity of the same act is called in question, the Court of First Instance may, after hearing the parties, stay the proceedings before it until such time as the Court of Justice has delivered judgment.","Sind bei dem Gerichtshof und dem Gericht Rechtssachen anhängig, die den gleichen Gegenstand haben, die gleiche Auslegungsfrage aufwerfen oder die Gültigkeit desselben Rechtsaktes betreffen, so kann das Gericht nach Anhörung der Parteien das Verfahren bis zum Erlass des Urteils des Gerichtshofs aussetzen.","relief, hearing, stay, court, issue, judgment, seised, act, justice",0.0036189818063156495,0.041237113402061855,0.9221233129501343,judgment
"exceptional expenditure necessarily incurred by the staff member for the purposes of the mission, either on receipt of special instructions or on account of force majeure and in the interests of the Foundation, and resulting in disbursement out of reasonable proportion to the allowance provided.","außergewöhnliche Auslagen, die dem Bediensteten bei Erledigung eines dienstlichen Auftrags entweder auf Grund besonderer Weisungen oder durch höhere Gewalt und im Interesse des Organs entstehen, sofern die gewährten Tagegelder für diese Auslagen offensichtlich nicht ausreichen.","foundation, member, receipt, account, reasonable",0.005034460682273033,0.03846153846153846,0.9279300570487976,member
ICES division/NAFO sub-area and non-member country fishing zone (reference No in log-book : (22)),_ ICES / NAFO-GEBIET UND DRITTLAND-FISCHEREIZONE (LOGBUCH-BEZUGSNUMMER : (22)) :,member,0.21869766863251183,0.4407596371882086,0.9450245499610901,member
"A staff member who receives instructions which he considers to be irregular or likely to give rise to serious difficulties shall inform his immediate superior thereof, if necessary in writing.","Hält ein Bediensteter eine ihm erteilte Anordnung für fehlerhaft oder ist er der Meinung, daß ihre Ausführung schwerwiegende Nachteile zur Folge haben kann, so hat er seinem Vorgesetzten seine Auffassung, erforderlichenfalls schriftlich, mitzuteilen.",member,0.00575200893990609,0.026737967914438502,0.9440177083015442,member
"a loan taken up by a capital company with a member or a member's spouse or child, or a loan taken up with a third party, if it is guaranteed by a member, on condition that such loans have the same function as an increase in the company's capital.","die Darlehensaufnahme durch eine Kapitalgesellschaft bei einem Gesellschafter, beim Ehegatten oder bei einem Kind eines Gesellschafters sowie die Aufnahme von Darlehen bei Dritten, wenn ein Gesellschafter für ein solches Darlehen Sicherheit leistet; Voraussetzung ist, daß diese Darlehen die gleiche Funktion haben wie eine Erhöhung des Kapitals.","child, party, member, company, capital, loan, condition",0.004701712638603976,0.03891050583657587,0.9282602071762085,member
A staff member employed in a place where transport is recognized as being particularly difficult and expensive because of the remoteness of housing from the place of work may be paid a transport allowance.,"Einem Bediensteten, an dessen Ort der dienstlichen Verwendung die Beförderungsbedingungen wegen der Entfernung zwischen Wohnung und Arbeitsstätte als besonders schwierig und kostspielig anerkannt worden sind, kann eine Fahrkostenzulage gewährt werden.",member,0.005311256555131655,0.015060240963855423,0.9474712014198303,member
"In the event of a polygamous marriage, where the sponsor already has a spouse living with him in the territory of a Member State, the Member State concerned shall not authorise the family reunification of a further spouse.","Lebt im Falle einer Mehrehe bereits ein Ehegatte gemeinsam mit dem Zusammenführenden im Hoheitsgebiet eines Mitgliedstaats, so gestattet der betreffende Mitgliedstaat nicht die Familienzusammenführung eines weiteren Ehegatten.","state, member, marriage, sponsor, family",0.005355924989097696,0.033112582781456956,0.9450660347938538,state
The second Member State may require the family members concerned to present with their application for a residence permit:,"Der zweite Mitgliedstaat kann von den Familienangehörigen des langfristig Aufenthaltsberechtigten verlangen, ihrem Antrag auf Erteilung eines Aufenthaltstitels Folgendes beizufügen:","state, member, residence, permit, family",0.009160285722098505,0.023923444976076555,0.9564482569694519,state
The Member State concerned shall grant the family members a first residence permit of at least one year's duration.,Der betreffende Mitgliedstaat erteilt den Familienangehörigen einen ersten Aufenthaltstitel mit mindestens einjähriger Gültigkeitsdauer.,"state, member, grant, residence, permit, family",0.009134423666564471,0.03401360544217687,0.9717233180999756,state
"By way of derogation, where the legislation of a Member State relating to family reunification in force on the date of adoption of this Directive takes into account its reception capacity, the Member State may provide for a waiting period of no more than three years between submission of the application for family reunification and the issue of a residence permit to the family members.","Abweichend davon kann ein Mitgliedstaat, dessen bei Annahme der Richtlinie geltendes nationales Recht im Bereich der Familienzusammenführung die Aufnahmefähigkeit dieses Mitgliedstaats berücksichtigt, eine Wartefrist von höchstens drei Jahren, zwischen der Stellung eines Antrags auf Familienzusammenführung und der Ausstellung eines Aufenthaltstitels an Familienangehörige, vorsehen.","adoption, state, member, residence, permit, issue, legislation, family, capacity, account",0.003519816815769827,0.03,0.928630530834198,state
"In the case of a measure in the form of a grant or loan, it is normally obvious which enterprise is potentially the beneficiary for the purpose of assessing whether State aid is involved.","Bei der Vergabe eines Zuschusses oder eines Kredites ist bei der Prüfung, ob es sich um eine staatliche Beihilfe handelt, in der Regel klar, welches Unternehmen durch die betreffende Maßnahme begünstigt würde.","beneficiary, state, grant, case, loan",0.006787181501568368,0.041666666666666664,0.9518918991088867,state
"The TACs shall not exceed a level of catches which a scientific evaluation, carried out by the STECF in the light of the most recent report of the ICES, has indicated will result in an increase of 30 % in the quantities of mature fish in the sea at the end of the year of their application, compared to the quantities estimated to have been in the sea at the start of that year.","Die TAC werden maximal in einer Höhe festgesetzt, bei der nach wissenschaftlicher Einschätzung des STECF unter Berücksichtigung des jüngsten ICES-Berichts gewährleistet ist, dass die Mengen geschlechtsreifer Fische im Meer am Ende des Jahres, für das die TAC gelten, im Vergleich zu den Mengen, die sich Schätzungen zufolge am Anfang dieses Jahres im Meer befanden, um 30 % zugenommen haben.",will,0.006952763401756345,0.09456845238095238,0.914156436920166,will
"The Community will select European postgraduate courses which, for the purposes of the programme, will be called ""Erasmus Mundus masters courses"" and will be selected on the basis of the quality of the courses offered and hosting of students, as provided for under ""Selection procedures"" in this Annex.","Die Gemeinschaft wählt gemäß den im Teil ""Auswahlverfahren"" dieses Anhangs dargelegten Verfahren europäische Postgraduiertenstudiengänge aus, die für die Zwecke dieses Programms als ""Erasmus-Mundus-Masterstudiengang"" bezeichnet und entsprechend der Qualität der angebotenen Kurse und der Betreuung der Studierenden ausgewählt werden.",will,0.005107786384598448,0.07743362831858407,0.9183598160743713,will
