source,translation,target,legal_entity,BLEU,METEOR,COMET,term
"The coordinator shall set up a pool, which shall contain all the slots not allocated on the basis of Article 8(2) and 8(4).","Der Koordinator richtet einen Pool ein, der alle nicht nach Artikel 8 Absätze 2 und 4 zugewiesenen Zeitnischen umfasst.","Der Koordinator richtet einen Pool ein, der alle nicht nach Artikel 8 Absätze 2 und 4 zugewiesenen Zeitnischen umfasst.","article, set",1.0000000000000004,0.9999460101500918,0.938571035861969,set
This set always includes the activityChangeInfo coding the driver status at 00.00.,Dieser Datensatz enthält stets auch den ActivityChangeInfo-Wert für den Fahrerstatus um 0.00 Uhr.,Dieser Datensatz enthält stets auch den ActivityChangeInfo-Wert für den Fahrerstatus um 0.00 Uhr.,"status, set",1.0000000000000004,0.9998177842565598,0.9538083672523499,set
That amount shall be off-set against aid payments under the bovine aid schemes to which the farmer is entitled in the context of applications he lodges in the course of the three calendar years following the calendar year of the finding.,"Dieser Betrag wird mit den Beihilfezahlungen im Rahmen der Beihilferegelungen für Rinder verrechnet, auf die der Betriebsinhaber während der auf das Kalenderjahr der Feststellung folgenden drei Kalenderjahre Anspruch hat.","Dieser Betrag wird mit den Beihilfezahlungen im Rahmen der Beihilferegelungen für Rinder verrechnet, auf die der Betriebsinhaber während der auf das Kalenderjahr der Feststellung folgenden drei Kalenderjahre Anspruch hat.","calendar, finding, set",1.0000000000000004,0.9999832164076399,0.9423606991767883,set
"it is also necessary to set out the rules and procedures to be followed during the investigation, in particular the rules whereby interested parties are to make themselves known, present their views and submit information within specified time limits, if such views and information are to be taken into account;","Es ist ebenfalls angezeigt, die Regeln und Verfahren festzulegen, die bei einer Untersuchung zu befolgen sind, insbesondere die Regeln, nach denen sich Betroffene innerhalb bestimmter Fristen melden, ihre Auffassungen darlegen und Informationen vorlegen sollen, damit diese Auffassungen und Informationen berücksichtigt werden können.","Es ist ebenfalls angezeigt, die Regeln und Verfahren festzulegen, die bei einer Untersuchung zu befolgen sind, insbesondere die Regeln, nach denen sich Betroffene innerhalb bestimmter Fristen melden, ihre Auffassungen darlegen und Informationen vorlegen sollen, damit diese Auffassungen und Informationen berücksichtigt werden können.","make, submit, investigation, rules, set, information, account",1.0000000000000004,0.9999957500701239,0.9284231066703796,set
"For bluefin tuna this tolerance limit is set at 10 % of the number of fish per landing of the total bluefin tuna catches or their equivalent in percentage in weight.""",Im Fall von Rotem Thun wird diese Toleranzgrenze auf einen zahlenmäßigen Anteil von 10 % der angelandeten Fische der gesamten Roten Thunfänge oder einen äquivalenten Anteil in Gewicht festgesetzt.,"Im Fall von Rotem Thun wird diese Obergrenze auf einen zahlenmäßigen Anteil von 10 % der angelandeten Gesamtmengen an Rotem Thun oder einen äquivalenten Anteil in Gewicht festgesetzt.""","equivalent, set",0.6744322250214192,0.7900752314814816,0.8000624775886536,set
"In the event of a polygamous marriage, where the sponsor already has a spouse living with him in the territory of a Member State, the Member State concerned shall not authorise the family reunification of a further spouse.","Lebt im Falle einer Mehrehe bereits ein Ehegatte gemeinsam mit dem Zusammenführenden im Hoheitsgebiet eines Mitgliedstaats, so gestattet der betreffende Mitgliedstaat nicht die Familienzusammenführung eines weiteren Ehegatten.","Lebt im Falle einer Mehrehe bereits ein Ehegatte gemeinsam mit dem Zusammenführenden im Hoheitsgebiet eines Mitgliedstaats, so gestattet der betreffende Mitgliedstaat nicht die Familienzusammenführung eines weiteren Ehegatten.","state, member, marriage, sponsor, family",1.0000000000000004,0.9999794989544467,0.9450660347938538,state
The second Member State may require the family members concerned to present with their application for a residence permit:,"Der zweite Mitgliedstaat kann von den betroffenen Familienangehörigen verlangen, ihrem Antrag auf Erteilung eines Aufenthaltstitels Folgendes beizufügen:","Der zweite Mitgliedstaat kann von den Familienangehörigen des langfristig Aufenthaltsberechtigten verlangen, ihrem Antrag auf Erteilung eines Aufenthaltstitels Folgendes beizufügen:","state, member, residence, permit, family",0.7224553130054804,0.8633814102564104,0.9199780821800232,state
The Member State concerned shall grant the family members a first residence permit of at least one year's duration.,Der betreffende Mitgliedstaat erteilt den Familienangehörigen einen ersten Aufenthaltstitel mit mindestens einjähriger Gültigkeitsdauer.,Der betreffende Mitgliedstaat erteilt den Familienangehörigen einen ersten Aufenthaltstitel mit mindestens einjähriger Gültigkeitsdauer.,"state, member, grant, residence, permit, family",1.0000000000000004,0.9998177842565598,0.9717233180999756,state
"By way of derogation, where the legislation of a Member State relating to family reunification in force on the date of adoption of this Directive takes into account its reception capacity, the Member State may provide for a waiting period of no more than three years between submission of the application for family reunification and the issue of a residence permit to the family members.","Abweichend davon kann ein Mitgliedstaat, dessen bei Annahme der Richtlinie geltendes nationales Recht im Bereich der Familienzusammenführung die Aufnahmefähigkeit dieses Mitgliedstaats berücksichtigt, eine Wartefrist von höchstens drei Jahren zwischen der Stellung eines Antrags auf Familienzusammenführung und der Ausstellung eines Aufenthaltstitels an Familienangehörige vorsehen.","Abweichend davon kann ein Mitgliedstaat, dessen bei Annahme der Richtlinie geltendes nationales Recht im Bereich der Familienzusammenführung die Aufnahmefähigkeit dieses Mitgliedstaats berücksichtigt, eine Wartefrist von höchstens drei Jahren, zwischen der Stellung eines Antrags auf Familienzusammenführung und der Ausstellung eines Aufenthaltstitels an Familienangehörige, vorsehen.","adoption, state, member, residence, permit, issue, legislation, family, capacity, account",0.8962150457993799,0.9606475073360173,0.9201298952102661,state
"In the case of a measure in the form of a grant or loan, it is normally obvious which enterprise is potentially the beneficiary for the purpose of assessing whether State aid is involved.","Bei der Vergabe eines Zuschusses oder eines Kredites ist bei der Prüfung, ob es sich um eine staatliche Beihilfe handelt, in der Regel klar, welches Unternehmen durch die betreffende Maßnahme begünstigt würde.","Bei der Vergabe eines Zuschusses oder eines Kredites ist bei der Prüfung, ob es sich um eine staatliche Beihilfe handelt, in der Regel klar, welches Unternehmen durch die betreffende Maßnahme begünstigt würde.","beneficiary, state, grant, case, loan",1.0000000000000004,0.9999892832647462,0.9518918991088867,state
Measures decided on by the Commission may be referred to the Council by any Member State within a week from the date on which they were notified.,"Die von der Kommission beschlossenen Maßnahmen können von jedem Mitgliedstaat innerhalb einer Woche ab dem Datum, an dem sie ihm mitgeteilt wurden, an den Rat verwiesen werden.","Jeder Mitgliedstaat kann den Rat innerhalb einer Woche ab dem Zeitpunkt, zu dem ihm der Beschluss der Kommission mitgeteilt worden ist, mit diesem Beschluss befassen.","member, commission, state",0.17202650214787163,0.49811613475177297,0.8595609068870544,commission
New Zealand has sent the Commission information relating to the new issuing body.,Neuseeland hat der Kommission die Angaben über die neue lizenzerteilende Stelle übermittelt.,Neuseeland hat der Kommission die Angaben über die neue lizenzerteilende Stelle übermittelt.,"commission, information",1.0000000000000004,0.9997724169321802,0.9647675156593323,commission
"After consulting the Commission,",nach Anhörung der Kommission,nach Anhörung der Kommission -,commission,0.7788007830714052,0.8099489795918368,0.9228280186653137,commission
"France and each of the other Member States or the competent authorities of France and each of the other Member States may, having received the Opinion of the Administrative Commission, agree to introduce other methods of determining the lump-sum.",FRANKREICH UND JEDER DER ANDEREN MITGLIEDSTAATEN ODER DIE ZUSTÄNDIGEN BEHÖRDEN FRANKREICHS UND JEDER DER ANDEREN MITGLIEDSTAATEN KÖNNEN NACH STELLUNGNAHME DER VERWALTUNGSKOMMISSION ANDERE VERFAHREN FÜR DIE FESTSETZUNG DIESES PAUSCHBETRAGS VEREINBAREN.,FRANKREICH UND JEDER DER ANDEREN MITGLIEDSTAATEN ODER DIE ZUSTÄNDIGEN BEHÖRDEN FRANKREICHS UND JEDER DER ANDEREN MITGLIEDSTAATEN KÖNNEN NACH STELLUNGNAHME DER VERWALTUNGSKOMMISSION ANDERE VERFAHREN FÜR DIE FESTSETZUNG DIESES PAUSCHBETRAGS VEREINBAREN.,"member, commission, opinion, competent",1.0000000000000004,0.9999814814814815,0.8889893293380737,commission
"On application by a Member State, by the Commission or by an organisation set up at Community level and registered by the Commission, a compulsory licence may be granted, either to a category of persons satisfying specific requirements, or to anyone in one or more Member States or throughout the Community.","Auf Antrag eines Mitgliedstaats, der Kommission oder einer auf Gemeinschaftsebene arbeitenden Organisation, die von der Kommission registriert ist, kann eine Zwangslizenz entweder einer Gruppe von Personen, die bestimmte Voraussetzungen erfüllen, oder einem Einzelnen innerhalb eines oder mehrerer Mitgliedstaaten oder gemeinschaftsweit gewährt werden.","Auf Antrag eines Mitgliedstaats, der Kommission oder einer auf Gemeinschaftsebene arbeitenden Organisation, die von der Kommission registriert ist, kann eine Zwangslizenz entweder einer Gruppe von Personen, die bestimmte Voraussetzungen erfuellen, oder einem Einzelnen innerhalb eines oder mehrerer Mitgliedstaaten oder gemeinschaftsweit gewährt werden.","member, set, commission, state",0.9452861848260069,0.9791289422061265,0.9197881817817688,commission
Persons heard by the Commission may be assisted by their lawyers or other qualified and duly authorised persons admitted by the Hearing Officer.,Die von der Kommission anzuhörenden Personen können ihre Rechtsberater oder andere vom Anhörungsbeauftragten zugelassene qualifizierte und mit ordnungsgemäßer Vollmacht versehene Personen hinzuziehen.,Die von der Kommission anzuhörenden Personen können ihre Rechtsberater oder andere vom Anhörungsbeauftragten zugelassene qualifizierte und mit ordnungsgemäßer Vollmacht versehene Personen hinzuziehen.,"commission, officer, hearing",1.0000000000000004,0.999958905235473,0.9400660991668701,hearing
"Where the Commission intends to take a decision pursuant to Article 6(3) or Article 8(2) to (6) of Regulation (EC) No 139/2004, it shall afford the notifying parties who have so requested in their written comments the opportunity to develop their arguments in a formal oral hearing.","Vor Erlass einer Entscheidung gemäß Artikel 6 Absatz 3 oder Artikel 8 Absätze 2 bis 6 der Verordnung (EG) Nr. 139/2004 gibt sie den Anmeldern, die dies in ihren schriftlichen Stellungnahmen beantragt haben, die Gelegenheit, ihre Argumente in einer förmlichen mündlichen Anhörung vorzutragen.","Vor Erlass einer Entscheidung gemäß Artikel 6 Absatz 3 oder Artikel 8 Absätze 2 bis 6 der Verordnung (EG) Nr. 139/2004 gibt sie den Anmeldern, die dies in ihren schriftlichen Stellungnahmen beantragt haben, die Gelegenheit, ihre Argumente in einer förmlichen mündlichen Anhörung vorzutragen.","regulation, article, hearing, commission, decision",1.0000000000000004,0.999996,0.9304959774017334,hearing
Hearing of the parties and of third persons,Anhörung der Beteiligten und Dritter,Anhörung Beteiligter und Dritter,hearing,0.23643540225079385,0.6233062330623306,0.9347770810127258,hearing
The European Parliament or the Council may also ask at any time for a hearing with the Executive Director on any subject related to the Agency's activities.,Ferner können das Europäische Parlament oder der Rat jederzeit eine Anhörung mit dem Exekutivdirektor zu jedem Thema im Zusammenhang mit den Aktivitäten der Agentur anfordern.,Ferner können das Europäische Parlament oder der Rat den Direktor jederzeit zu jedem Thema im Zusammenhang mit der Tätigkeit der Agentur befragen.,"hearing, director, agency",0.48443289567315256,0.7850153959554408,0.9049938321113586,hearing
"All interested parties who requested a hearing within the time limit set, and who indicated that they were likely to be affected by the result of the proceeding and that there were particular reasons why they should be heard, were granted such a hearing.","Alle interessierten Parteien, die fristgemäß eine Anhörung beantragten und angaben, dass sie wahrscheinlich vom Ergebnis des Verfahrens betroffen sein würden und dass besondere Gründe vorlagen, weshalb sie gehört werden sollten, wurde eine solche Anhörung gewährt.","Alle interessierten Parteien, die fristgemäß eine Anhörung beantragten und nachwiesen, dass sie wahrscheinlich vom Ergebnis des Verfahrens betroffen sein würden und dass besondere Gründe für ihre Anhörung sprachen, wurden gehört.","set, hearing, proceeding",0.5901972786065401,0.8003993319266217,0.8907042741775513,hearing
"The authorising officer shall report to the management board on the performance of his/her duties in the form of an annual activity report (hereinafter ""authorising officer's report""), together with financial and management information.","Der Anweisungsbefugte legt dem Verwaltungsrat alljährlich einen Jahrestätigkeitsbericht (im Folgenden ""Bericht des Anweisungsbefugten"") vor, dem Finanz- und Verwaltungsinformationen beigefügt sind.","Der Anweisungsbefugte legt dem Verwaltungsrat alljährlich einen Jahrestätigkeitsbericht (im Folgenden "" Bericht des Anweisungsbefugten "") vor, dem Finanz- und Verwaltungsinformationen beigefügt sind.","information, officer, performance",1.0000000000000004,0.9595692307692307,0.9290270805358887,officer
The supporting documents shall be kept by the authorising officer responsible in accordance with Articles 48 and 49.,Die Belege werden vom zuständigen Anweisungsbefugten gemäß Artikel 48 und 49 aufbewahrt.,Die Belege werden vom zuständigen Anweisungsbefugten gemäß Artikel 48 und 49 aufbewahrt.,"responsible, officer",1.0000000000000004,0.9997724169321802,0.9663031101226807,officer
"The amount of each individual legal commitment adopted following a global commitment shall, prior to signature, be registered by the authorising officer responsible in the budgetary accounts and booked to the global commitment.","Der Betrag jeder rechtlichen Einzelverpflichtung, die sich aus einer globalen Mittelbindung ergibt, wird durch den zuständigen Anweisungsbefugten in den Haushaltskonten erfasst und der globalen Mittelbindung zugeordnet, bevor er sie unterzeichnet.","Der Betrag jeder rechtlichen Einzelverpflichtung, die sich aus einer globalen Mittelbindung ergibt, wird durch den zuständigen Anweisungsbefugten zulasten der entsprechenden globalen Mittelbindung erfasst, bevor er sie unterzeichnet.","commitment, responsible, officer",0.7067558330951775,0.9200024313061053,0.8431717753410339,officer
Establishment of an amount receivable is the act by which the authorising officer or authorising officer by delegation:,"Die Feststellung einer Forderung ist die Handlung, durch die der Anweisungsbefugte oder bevollmächtigte Anweisungsbefugte:","Die Feststellung einer Forderung ist die Handlung, durch die der Anweisungsbefugte oder bevollmächtigte Anweisungsbefugte","officer, act",0.9306048591020994,0.9932303164091245,0.8529999256134033,officer
"The creation of an imprest account and the appointment of an imprest administrator shall be the subject of a decision by the accounting officer, on a duly substantiated proposal from the authorising officer responsible.",Die Einrichtung einer Zahlstelle und die Benennung eines Zahlstellenverwalters werden vom Rechnungsführer auf ordnungsgemäß begründeten Vorschlag des zuständigen Anweisungsbefugten beschlossen.,Die Einrichtung einer Zahlstelle und die Benennung eines Zahlstellenverwalters werden vom Rechnungsführer auf ordnungsgemäß begründeten Vorschlag des zuständigen Anweisungsbefugten beschlossen.,"accounting, officer, administrator, responsible, decision, account",1.0000000000000004,0.9999460101500918,0.9422881007194519,officer
The Agency should act in support of the Community mechanism in the field of civil protection.,Die Agentur sollte das Gemeinschaftsverfahren im Bereich des Katastrophenschutzes unterstützen.,Die Agentur sollte das Gemeinschaftsverfahren im Bereich des Katastrophenschutzes unterstützen.,"act, civil, agency",1.0000000000000004,0.9996243425995492,0.9666032195091248,agency
"The Agency may cooperate with the aeronautical authorities of third countries and the international organisations competent in matters covered by this Regulation in the framework of working arrangements concluded with those bodies, in accordance with the relevant provisions of the Treaty.","Die Agentur kann mit den Luftfahrtbehörden von Drittländern und den internationalen Organisationen, die für von dieser Verordnung erfasste Bereiche zuständig sind, im Rahmen von Arbeitsvereinbarungen mit diesen Stellen im Einklang mit den einschlägigen Bestimmungen des Vertrags zusammenarbeiten.","Die Agentur kann mit den Luftfahrtbehörden von Drittländern und den internationalen Organisationen, die für von dieser Verordnung erfasste Bereiche zuständig sind, im Rahmen von Arbeitsvereinbarungen mit diesen Stellen im Einklang mit den einschlägigen Bestimmungen des Vertrags zusammenarbeiten.","treaty, regulation, agency, competent, relevant",1.0000000000000004,0.9999921875,0.9357160925865173,agency
Competence of the European Agency for the Evaluation of Medicinal Products,Zuständigkeit der Europäischen Agentur für die Beurteilung von Arzneimitteln,Zuständigkeit der Europäischen Agentur für die Beurteilung von Arzneimitteln,"competence, agency",1.0000000000000004,0.9993141289437586,0.9723523259162903,agency
The Agency is hereby established for a period beginning on 1 January 2004 and ending on 31 December 2008.,Die Agentur wird für den Zeitraum vom 1. Januar 2004 bis zum 31. Dezember 2008 eingerichtet.,Die Agentur wird für den Zeitraum vom 1. Januar 2004 bis zum 31. Dezember 2008 eingerichtet.,agency,1.0000000000000004,0.9999271030762502,0.9786279201507568,agency
"One of the tasks assigned to the European Maritime Safety Agency (the Agency) is to assist the Commission in the performance of any task assigned to it by Community legislation applicable to training, certification and watchkeeping of ships' crews.","Eine der Aufgaben der Europäischen Agentur für die Sicherheit des Seeverkehrs (die ""Agentur"") ist es, die Kommission bei allen Aufgaben zu unterstützen, die ihr durch das Gemeinschaftsrecht in Bezug auf die Ausbildung, die Erteilung von Befähigungszeugnissen und den Wachdienst von Schiffsbesatzungen übertragen wurden.","Eine der Aufgaben der Europäischen Agentur für die Sicherheit des Seeverkehrs (die ""Agentur"") ist es, die Kommission bei allen Aufgaben zu unterstützen, die ihr durch das Gemeinschaftsrecht in Bezug auf die Ausbildung, die Erteilung von Befähigungszeugnissen und den Wachdienst von Schiffsbesatzungen übertragen wurden.","commission, agency, legislation, performance",1.0000000000000004,0.9999962307106618,0.9391036629676819,agency
2.The members of the Board shall be appointed in such a way as to secure the highest standards of competence and a broad range of relevant expertise.,"(2)Die Ernennung der Mitglieder des Verwaltungsrats erfolgt so, dass die höchsten Standards der Fachkompetenz und ein breites Spektrum an einschlägigem Fachwissen gewährleistet sind.","(2)Die Ernennung der Mitglieder des Verwaltungsrats erfolgt so, dass die höchste fachliche Qualifikation und ein breites Spektrum an einschlägigem Fachwissen gewährleistet sind.","competence, relevant",0.7886336751695258,0.8835588355883559,0.933237612247467,competence
Participants shall have the knowledge and technical competence needed to carry out the activity.,Die Teilnehmer müssen über die für die Durchführung der Maßnahme notwendigen Kenntnisse und fachlichen Fähigkeiten verfügen.,Die Teilnehmer müssen über die für die Durchführung der Maßnahme notwendigen Kenntnisse und fachlichen Fähigkeiten verfügen.,competence,1.0000000000000004,0.999898229187869,0.9714962840080261,competence
The members of each Scientific Committee shall be scientific experts in one or more of the fields of competence of that Committee and shall collectively cover the widest possible range of disciplines.,"Die Mitglieder der Wissenschaftlichen Ausschüsse sind wissenschaftliche Sachverständige in einem oder mehreren Zuständigkeitsbereichen des jeweiligen Ausschusses, so dass insgesamt das größtmögliche Spektrum wissenschaftlicher Disziplinen abgedeckt wird.","Die Mitglieder der Wissenschaftlichen Ausschüsse sind wissenschaftliche Sachverständige in einem oder mehreren Zuständigkeitsbereichen des jeweiligen Ausschusses, so dass insgesamt das größtmögliche Spektrum wissenschaftlicher Disziplinen abgedeckt wird.",competence,1.0000000000000004,0.9999772230320699,0.9466641545295715,competence
"technical and operational competence and suitability,",technische und betriebliche Fähigkeiten und Eignung;,technische und betriebliche Fähigkeiten und Eignung;,competence,1.0000000000000004,0.9985422740524781,0.9702618718147278,competence
"The applicant shall ensure that, before the detailed summaries referred to in the last subparagraph of Article 8(3) are submitted to the competent authorities, they have been drawn up and signed by experts with the necessary technical or professional qualifications, which shall be set out in a brief curriculum vitae.","Der Antragsteller stellt sicher, dass die in Artikel 8 Absatz 3 letzter Unterabsatz genannten detaillierten Zusammenfassungen vor der Vorlage bei den zuständigen Behörden von Sachverständigen erstellt und unterzeichnet werden, die über die erforderlichen fachlichen oder beruflichen Qualifikationen verfügen, die in einem kurzen Lebenslauf dargestellt werden.","Der Antragsteller stellt sicher, dass die in Artikel 8 Absatz 3 letzter Unterabsatz genannten detaillierten Zusammenfassungen vor der Vorlage bei den zuständigen Behörden von Sachverständigen erstellt und unterzeichnet werden, die über die erforderlichen fachlichen oder beruflichen Qualifikationen verfügen, die in einem kurzen Lebenslauf dargestellt werden.","brief, article, competent, set",1.0000000000000004,0.9999957500701239,0.9093909859657288,competence
"Two Member States or their competent authorities may, by mutual agreement and having received the Opinion of the Administrative Commission, adopt simplified forms for use between them.",ZWEI MITGLIEDSTAATEN ODER DEREN ZUSTÄNDIGE BEHÖRDEN KÖNNEN NACH EINVERNEHMEN UND NACH ERHALT DER STELLUNGNAHME DER VERWALTUNGSKOMMISSION VEREINFACHTE FORMBLÄTTER FÜR IHRE GEGENSEITIGEN BEZIEHUNGEN ADOPTIEREN.,ZWEI MITGLIEDSTAATEN ODER DEREN ZUSTÄNDIGE BEHÖRDEN KÖNNEN NACH STELLUNGNAHME DER VERWALTUNGSKOMMISSION VEREINFACHTE FORMBLÄTTER FÜR IHRE GEGENSEITIGEN BEZIEHUNGEN VEREINBAREN.,"opinion, use, mutual, member, adopt, agreement, commission, competent",0.6237774736059613,0.9180120291231402,0.8949611783027649,agreement
Member States shall allow the investment firm to obtain this confirmation either in the form of a general agreement or in respect of each individual transaction.,"Die Mitgliedstaaten gestatten der Wertpapierfirma, diese Bestätigung entweder in Form einer allgemeinen Vereinbarung oder für jedes einzelne Geschäft einzuholen.","Die Mitgliedstaaten gestatten der Wertpapierfirma, diese Zustimmung entweder in Form einer allgemeinen Vereinbarung oder für jedes einzelne Geschäft einzuholen.","member, transaction, agreement, investment",0.8656030552541704,0.9519047619047619,0.9415971636772156,agreement
"This Agreement was signed, on behalf of the Community, on 23 September 2002 in Brussels, subject to a possible conclusion at a later date.",Dieses Abkommen wurde im Namen der Gemeinschaft am 23. September 2002 in Brüssel vorbehaltlich seines Abschlusses zu einem späteren Zeitpunkt unterzeichnet.,Dieses Abkommen wurde im Namen der Gemeinschaft am 23. September 2002 in Brüssel vorbehaltlich seines Abschlusses zu einem späteren Zeitpunkt unterzeichnet.,"conclusion, agreement",1.0000000000000004,0.999958905235473,0.956515908241272,agreement
