source,reference,category,detected_terms,definitions_used,examples_retrieved,translation,BLEU,METEOR,COMET
Member States shall transmit to the Commission a succinct yearly report on the implementation of this Regulation.,Die Mitgliedstaaten übermitteln der Kommission jährlich einen Kurzbericht über die Anwendung dieser Verordnung.,Administrative Law,"['commission', 'regulation']","{'commission': 'A commission is a fee or remuneration paid in return for services rendered. \xa0Commission is often calculated as a percentage of the total transaction ; a commission can be separate and in addition to fixed wages , or it can be the sole form of compensation , known as straight commission.', 'regulation': 'A regulation is a rule made and maintained by an authority , typically a governmental agency , to control or govern conduct within its jurisdiction .'}",3,Die Mitgliedstaaten übermitteln der Kommission einen kurzen Jahresbericht über die Umsetzung dieser Verordnung.,0.4001601601922499,0.7668240850059032,0.9487574696540833
"All the abovementioned methods, taken from Council Directive 67/548/EEC, can also be found in the publication ""Classification, Packaging and Labelling of Dangerous Substances in the European Union"", Part 2: ""Testing Methods"".","Alle vorstehend aufgeführten Methoden aus der Richtlinie 67/548/EWG des Rates sind ebenfalls zu finden in der Veröffentlichung ""Einstufung, Verpackung und Kennzeichnung gefährlicher Stoffe in der Europäischen Union"", Teil 2: ""Prüfmethoden"".",Administrative Law,['publication'],{'publication': 'A publication\xa0is\xa0the act of\xa0making something known to the public at large to inspect or scrutinize. This is done to\xa0convey knowledge or\xa0give notice .'},3,"Alle vorerwähnten Methoden, die der Richtlinie 67/548/EWG des Rates entnommen sind, finden sich auch in der Veröffentlichung ""Einstufung, Verpackung und Kennzeichnung gefährlicher Stoffe in der Europäischen Union"", Teil 2: ""Prüfmethoden"".",0.6951986297235296,0.8612781792220155,0.9093801975250244
"Done at Brussels, 27 August 2002.","Brüssel, den 27. August 2002",Administrative Law,[],{},3,"Brüssel, den 27. August 2002",1.0,0.9976851851851852,0.9902327656745911
"Member States shall notify to the producers each new allocation or modification of their individual reference quantity by the means they consider the most appropriate, provided that it ensures that the producers have an effective knowledge of the reference quantity allocated.","Die Mitgliedstaaten teilen den Erzeugern jede neue Zuteilung oder Änderung ihrer einzelbetrieblichen Referenzmenge auf die Art und Weise mit, die ihnen am besten geeignet erscheint, sofern sie gewährleistet, dass der Erzeuger tatsächlich über die zugeteilte Referenzmenge unterrichtet wird.",Administrative Law,['modification'],"{'modification': 'In a legal context, the term ""modification"" generally refers to the act of changing, altering, or amending something that is already established, such as a contract , statute , court order , or legal document. It involves making revisions or adjustments to the existing terms , provisions, conditions , or language.'}",3,"Die Mitgliedstaaten teilen den Erzeugern jede neue Zuweisung oder Änderung ihrer individuellen Referenzmenge mit den Mitteln mit, die sie für am geeignetsten erachten, vorausgesetzt, dass dadurch sichergestellt ist, dass die Erzeuger effektives Wissen über die zugeteilte Referenzmenge haben.",0.272701844762718,0.545615539220509,0.8387210965156555
The group shall adopt its own rules of procedure on the basis of proposals made by the Commission.,Die Gruppe gibt sich auf Vorschlag der Kommission eine Geschäftsordnung.,Administrative Law,"['commission', 'procedure', 'adopt', 'basis', 'rules']","{'commission': 'A commission is a fee or remuneration paid in return for services rendered. \xa0Commission is often calculated as a percentage of the total transaction ; a commission can be separate and in addition to fixed wages , or it can be the sole form of compensation , known as straight commission.', 'procedure': 'See procedural law .', 'adopt': 'To adopt is to accept, to bring, to choose to take up, to follow, or to use a plan or technique. To adopt is to assume a report or position, attitude, or law, as to apply them.', 'basis': ""Basis is the value assigned to an asset , usually its purchase cost, and reflects the owner's investment. It generally includes the amount paid in cash, debt , services, or property, along with related costs such as commissions , taxes , transportation, and legal or transfer fees. This value may increase due to improvements or decrease through deductions like depreciation , resulting in an adjusted basis over time."", 'rules': 'In general, rules are any standard, principle, or norm that guides conduct. Thus, any factual situation calling for a decision might be thought of as raising two questions: first, what rules apply to these facts; second, what decision should be made if those rules are to be followed?'}",3,Die Gruppe gibt sich ihre eigene Geschäftsordnung auf der Grundlage von Vorschlägen der Kommission.,0.21651956746181059,0.7217890405024908,0.8758609294891357
cardSlotNumber is the slot in which the card is inserted.,"cardSlotNumber - Steckplatz, in dem die Karte eingesteckt ist.",Administrative Law,[],{},3,"cardSlotNumber ist der Steckplatz, in dem die Karte eingesetzt wird.",0.4617366309441026,0.775219664108553,0.8873506188392639
"""This permit is issued pursuant to Regulation (EEC) No 1612/68 of the Council of the European Communities of 15 October 1968 and to the measures taken in implementation of the Council Directive of 15 October 1968.","""Diese Aufenthaltserlaubnis wird auf Grund der Verordnung (EWG) Nr. 1612/68 des Rates der Europäischen Gemeinschaften vom 15. Oktober 1968 und der zur Durchführung der Richtlinie des Rates vom 15. Oktober 1968 erlassenen Vorschriften ausgestellt.",Administrative Law,"['regulation', 'permit']","{'regulation': 'A regulation is a rule made and maintained by an authority , typically a governmental agency , to control or govern conduct within its jurisdiction .', 'permit': 'A permit, sometimes referred to as a license , is an official written statement that someone is allowed to do something. A permit is usually granted by a state or city in return for a fee . For example, a firearms permit or license allows the holder of the permit to buy, own, possess , or carry a firearm subject to conditions.'}",3,"Diese Erlaubnis wird gemäß der Verordnung (EWG) Nr. 1612/68 des Rates der Europäischen Gemeinschaften vom 15. Oktober 1968 und den Maßnahmen, die zur Durchführung der Richtlinie des Rates vom 15. Oktober 1968 getroffen wurden, erteilt.",0.6468733035162956,0.7840206842362336,0.8753953576087952
WF Wallis and Futuna,WF Wallis und Futuna,Administrative Law,[],{},0,WF Wallis und Futuna,1.0,0.9921875,0.967454195022583
"Having regard to Regulation (EC) No 999/2001 of the European Parliament and of the Council of 22 May 2001 laying down rules for the prevention, control and eradication of certain transmissible spongiform encephalopathies(1), and in particular the first paragraph of Article 23 thereof,","gestützt auf die Verordnung (EG) Nr. 999/2001 des Europäischen Parlaments und des Rates vom 22. Mai 2001 mit Vorschriften zur Verhütung, Kontrolle und Tilgung bestimmter transmissibler spongiformer Enzephalopathien(1), insbesondere auf Artikel 23 Absatz 1,",Administrative Law,"['regulation', 'article', 'control', 'rules', 'may']","{'regulation': 'A regulation is a rule made and maintained by an authority , typically a governmental agency , to control or govern conduct within its jurisdiction .', 'article': ""An article is a legal rule that can be set out under a statute , a code , or a paragraph in a legal document. Articles usually refer to matters that have been agreed upon by the supervising authority. For example, in contracts , an article under the UCC can set out a list of contractual obligations between parties. It can regulate the parties' conduct, duties, expectations, measure of damages in breach cases, and how to resolve conflicts. Under the Constitution of the United States , there are seven articles which describe the way the government is structured and how it operates. These articles establish the relationship of the states in rapport to the Federal Government and hold that the Constitution is the supreme law of the land."", 'control': 'Control as a verb is to exercise one’s power or authority over something or someone, to regulate or govern, or to have a controlling interest in. Control as a noun is the power to govern, manage, direct, or oversee something or someone.', 'rules': 'In general, rules are any standard, principle, or norm that guides conduct. Thus, any factual situation calling for a decision might be thought of as raising two questions: first, what rules apply to these facts; second, what decision should be made if those rules are to be followed?', 'may': 'The word “may” is an expression of possibility, a permissive choice to act or not, and ordinarily implies some degree of discretion . This contrasts with the word “ shall ,” which is generally used to indicate a mandatory provision. As explained in this case from Texas , the word “may” in a written instrument is generally construed as permissive, but it can be interpreted as mandatory depending on the context in which it is used. Usually, only where it is necessary to give effect to the clear intention of the legislature that it can be construed in a mandatory sense.'}",3,"gestützt auf die Verordnung (EG) Nr. 999/2001 des Europäischen Parlaments und des Rates vom 22. Mai 2001 mit Vorschriften zur Verhütung, Kontrolle und Tilgung bestimmter transmissibler spongiformer Enzephalopathien(1), und insbesondere den ersten Absatz des Artikels 23,",0.8141126238640783,0.9208721660387337,0.91065913438797
Adaptation of the framework,Anpassung des Rahmens,Administrative Law,[],{},0,Anpassung des Rahmens,0.5623413251903491,0.9814814814814815,0.9841263890266418
