legal_term,category
adjuster,Legal Theory & Latin Terms
adjustment,Legal Theory & Latin Terms
adjustment date,Legal Theory & Latin Terms
adjustment of status,Legal Theory & Latin Terms
adjustment period,Legal Theory & Latin Terms
administer,Legal Theory & Latin Terms
administration (of an estate),Family Law & Estates/Trusts
administrative agency,Administrative Law
administrative expenses,Administrative Law
administrative forfeiture,Administrative Law
administrative hearing,Administrative Law
administrative law,Administrative Law
administrative law judge (ALJ),Administrative Law
Administrative Office of the United States Courts,Civil Procedure & Litigation
Administrative Procedure Act,Administrative Law
Administrative Procedure Act (APA),Administrative Law
administrative warrant,Administrative Law
administrator,Legal Theory & Latin Terms
administrator ad litem,Legal Theory & Latin Terms
administrator ad prosequendum,Legal Theory & Latin Terms
administrator cum testamento annexo,Family Law & Estates/Trusts
administrator de bonis non,Legal Theory & Latin Terms
administrator de bonis non cum testamento annexo,Family Law & Estates/Trusts
administrator pendente lite,Legal Theory & Latin Terms
administrator with will annexed,Family Law & Estates/Trusts
administratrix,Legal Theory & Latin Terms
admiralty,Tax & Financial Regulation
admiralty and maritime power,Tax & Financial Regulation
admiralty court,Civil Procedure & Litigation
admiralty law,Tax & Financial Regulation
admissible evidence,Evidence Law
admission,Legal Theory & Latin Terms
admission against interest,Legal Theory & Latin Terms
admission of guilt,Legal Theory & Latin Terms
admission to practice,Immigration & Naturalization Law
admit,Legal Theory & Latin Terms
adopt,Family Law & Estates/Trusts
adopted child,Family Law & Estates/Trusts
adoption,Family Law & Estates/Trusts
Adoption Taxpayer Identification Number (ATIN),Family Law & Estates/Trusts
adoptive parent,Legal Theory & Latin Terms
ADR,Legal Theory & Latin Terms
ADR service,Immigration & Naturalization Law
adult,Legal Theory & Latin Terms
adultery,Legal Theory & Latin Terms
advance,Legal Theory & Latin Terms
advance directive,Legal Theory & Latin Terms
advance parole,Criminal Law & Procedure
advance sheets,Legal Theory & Latin Terms
advancement,Legal Theory & Latin Terms
adversary proceeding,Legal Theory & Latin Terms
adverse,Property & Real Estate Law
adverse interest,Legal Theory & Latin Terms
adverse party,Legal Theory & Latin Terms
adverse possession,Property & Real Estate Law
adverse witness,Criminal Law & Procedure
advisory opinion,Legal Theory & Latin Terms
advocacy of illegal action,Legal Theory & Latin Terms
advocate,Legal Theory & Latin Terms
affiant,Legal Theory & Latin Terms
affidavit,Legal Theory & Latin Terms
affirm,Appellate & Supreme Court
affirmative action,Legal Theory & Latin Terms
affirmative defense,Legal Theory & Latin Terms
affirmative waste,Legal Theory & Latin Terms
affix,Legal Theory & Latin Terms
affray,Legal Theory & Latin Terms
after-acquired evidence,Evidence Law
after-acquired property,Property & Real Estate Law
after-acquired title,Property & Real Estate Law
after-discovered evidence,Evidence Law
age discrimination,Employment & Labor Law
Age Discrimination in Employment Act (ADEA),Employment & Labor Law
age of consent,Legal Theory & Latin Terms
age of majority,Legal Theory & Latin Terms
agency,Administrative Law
agency shop,Administrative Law
agent,Legal Theory & Latin Terms
agent for acceptance of service,Contract Law
agent for service of process,Immigration & Naturalization Law
aggravate,Legal Theory & Latin Terms
aggravated,Legal Theory & Latin Terms
aggravated assault,Criminal Law & Procedure
aggravated battery,Criminal Law & Procedure
aggravating circumstances,Criminal Law & Procedure
aggravating factor,Criminal Law & Procedure
aggregation of jurisdictional amount,Civil Procedure & Litigation
AGI,Intellectual Property (IP)
agreed statement of facts,Legal Theory & Latin Terms
agreement,Contract Law
agricultural lien,Contract Law
agriculture,Legal Theory & Latin Terms
Aguilar-Spinelli test,Legal Theory & Latin Terms
AI washing,Legal Theory & Latin Terms
aid and abet,Criminal Law & Procedure
alcohol,Legal Theory & Latin Terms
aleatory,Legal Theory & Latin Terms
Alford plea,Criminal Law & Procedure
algorithm,Legal Theory & Latin Terms
algorithmic pricing,Legal Theory & Latin Terms
alias,Legal Theory & Latin Terms
alibi,Legal Theory & Latin Terms
alibi witness,Criminal Law & Procedure
alien,Immigration & Naturalization Law
Alien Registration Card (ARC),Contract Law
Alien Tort Statute,Contract Law
alienable,Contract Law
alienation,Contract Law
alienation of affection,Contract Law
alimony,Family Law & Estates/Trusts
aliquot,Legal Theory & Latin Terms
ALJ,Legal Theory & Latin Terms
allegation,Legal Theory & Latin Terms
allege,Legal Theory & Latin Terms
Allen charge,Legal Theory & Latin Terms
allocution,Legal Theory & Latin Terms
alluviation,Legal Theory & Latin Terms
alluvion,Legal Theory & Latin Terms
ALR,Legal Theory & Latin Terms
alter ego,Legal Theory & Latin Terms
alternate beneficiary,Family Law & Estates/Trusts
alternative contingent remainder,Property & Real Estate Law
alternative dispute resolution,Legal Theory & Latin Terms
alternative dispute resolution service,Immigration & Naturalization Law
alternative minimum tax (AMT),Tax & Financial Regulation
alternative pleading,Criminal Law & Procedure
alternative reproductive technology (ART),Legal Theory & Latin Terms
alternative writ of mandate (mandamus),Legal Theory & Latin Terms
ambassador,Legal Theory & Latin Terms
ambiguity,Legal Theory & Latin Terms
ameliorative waste,Legal Theory & Latin Terms
amend,Constitutional Law
amended complaint,Civil Procedure & Litigation
amended pleading,Criminal Law & Procedure
amended tax return,Tax & Financial Regulation
American Bar Association (ABA),Legal Theory & Latin Terms
American Civil Liberties Union,Civil Procedure & Litigation
American Clean Energy and Security Act of 2009,Tax & Financial Regulation
American Indian law,Legal Theory & Latin Terms
American law perspective,Legal Theory & Latin Terms
American Recovery and Reinvestment Act of 2009,Legal Theory & Latin Terms
Americans with Disabilities Act (ADA),Employment & Labor Law
amicus,Legal Theory & Latin Terms
amicus curiae,Legal Theory & Latin Terms
amnesty,Legal Theory & Latin Terms
amortization,Tax & Financial Regulation
amount in controversy,Legal Theory & Latin Terms
AMT,Legal Theory & Latin Terms
ancestor,Legal Theory & Latin Terms
anchor,Legal Theory & Latin Terms
anchoring,Legal Theory & Latin Terms
ancient document rule,Administrative Law
ancillary administration,Legal Theory & Latin Terms
ancillary jurisdiction,Civil Procedure & Litigation
ancillary probate,Family Law & Estates/Trusts
angel investor,Legal Theory & Latin Terms
animal testing,Legal Theory & Latin Terms
annual exclusion amount,Legal Theory & Latin Terms
annual exclusion gift,Legal Theory & Latin Terms
annual meeting,Legal Theory & Latin Terms
annual percentage rate (APR),Legal Theory & Latin Terms
annuitant,Legal Theory & Latin Terms
annuity,Legal Theory & Latin Terms
annulment,Family Law & Estates/Trusts
answer,Civil Procedure & Litigation
antenuptial agreement,Contract Law
anti-contact rule,Administrative Law
anti-contest clause,Legal Theory & Latin Terms
anti-greenmail provision,Legal Theory & Latin Terms
anti-lapse statute,Legal Theory & Latin Terms
anticipation,Intellectual Property (IP)
anticipatory breach,Contract Law
anticipatory warrant,Intellectual Property (IP)
antilapse statute,Legal Theory & Latin Terms
antique firearm,Legal Theory & Latin Terms
Antiterrorism and Effective Death Penalty Act of 1996 (AEDPA),Criminal Law & Procedure
antitransfer Laws,Legal Theory & Latin Terms
antitrust,Family Law & Estates/Trusts
antitrust laws,Family Law & Estates/Trusts
antitrust violations,Family Law & Estates/Trusts
apartheid,Administrative Law
APN,Legal Theory & Latin Terms
apparent authority,Intellectual Property (IP)
appeal,Appellate & Supreme Court
appear,Legal Theory & Latin Terms
appearance,Legal Theory & Latin Terms
appellant,Legal Theory & Latin Terms
appellate court,Appellate & Supreme Court
appellate jurisdiction,Appellate & Supreme Court
appellate procedure,Civil Procedure & Litigation
appellee,Legal Theory & Latin Terms
applicable exclusion amount,Legal Theory & Latin Terms
appointees,Legal Theory & Latin Terms
appointive assets,Legal Theory & Latin Terms
appraisal,Legal Theory & Latin Terms
appraise,Legal Theory & Latin Terms
appraiser,Legal Theory & Latin Terms
appreciate,Legal Theory & Latin Terms
appreciation,Legal Theory & Latin Terms
approach,Legal Theory & Latin Terms
approach the witness,Criminal Law & Procedure
appropriation,Torts
appropriations bill,Legal Theory & Latin Terms
appurtenance,Legal Theory & Latin Terms
appurtenant,Property & Real Estate Law
APR,Administrative Law
arbiter,Legal Theory & Latin Terms
arbitrary,Intellectual Property (IP)
arbitration,International Law
arbitrator,Legal Theory & Latin Terms
arguendo,Legal Theory & Latin Terms
argument,Legal Theory & Latin Terms
ARM,Civil Procedure & Litigation
arm's length,Legal Theory & Latin Terms
Armed Career Criminal Act (1984),Criminal Law & Procedure
armed conflict,Legal Theory & Latin Terms
Arms Export Control Act (1976),Legal Theory & Latin Terms
arraignment,Criminal Law & Procedure
arrearages,Legal Theory & Latin Terms
arrears,Legal Theory & Latin Terms
arrest,Criminal Law & Procedure
arrest warrant,Criminal Law & Procedure
arson,Criminal Law & Procedure
arson with intent to defraud an insurer,Criminal Law & Procedure
ART,Constitutional Law
article,Legal Theory & Latin Terms
Article III,Legal Theory & Latin Terms
Articles of Impeachment,Evidence Law
articles of incorporation,Securities & Corporate Law
articles of organization,Legal Theory & Latin Terms
artificial intelligence (AI),Legal Theory & Latin Terms
artificial person,Legal Theory & Latin Terms
artisan's lien,Contract Law
as is,Legal Theory & Latin Terms
ascertained,Legal Theory & Latin Terms
assault,Criminal Law & Procedure
assault and battery,Criminal Law & Procedure
assess,Environmental Law
assessed value,Legal Theory & Latin Terms
assessor,Legal Theory & Latin Terms
assessor's parcel number,Legal Theory & Latin Terms
asset,Legal Theory & Latin Terms
asset protection trust,Family Law & Estates/Trusts
asset purchase agreement,Contract Law
assign,Contract Law
assigned risk,Legal Theory & Latin Terms
assignee,Legal Theory & Latin Terms
assignment,Contract Law
assignment for benefit of creditors,Contract Law
assisted suicide,Legal Theory & Latin Terms
associate,Legal Theory & Latin Terms
associate justice,Immigration & Naturalization Law
association,Legal Theory & Latin Terms
assumable mortgage,Property & Real Estate Law
assume,Legal Theory & Latin Terms
assumption,Legal Theory & Latin Terms
assumption of risk,Legal Theory & Latin Terms
assured,Legal Theory & Latin Terms
asylum,Immigration & Naturalization Law
at issue memorandum,Legal Theory & Latin Terms
at-will employment,Employment & Labor Law
attached,Legal Theory & Latin Terms
attachment,Legal Theory & Latin Terms
attempt,Legal Theory & Latin Terms
attest,Legal Theory & Latin Terms
attestation,Legal Theory & Latin Terms
attestation clause,Legal Theory & Latin Terms
attestator,Family Law & Estates/Trusts
attorney,Evidence Law
attorney at law (or attorney-at-law),Legal Theory & Latin Terms
attorney fees,Legal Theory & Latin Terms
attorney general,Legal Theory & Latin Terms
attorney in fact,Legal Theory & Latin Terms
attorney of record,Legal Theory & Latin Terms
attorney work product,Legal Theory & Latin Terms
attorney work product privilege,Evidence Law
attorney's duty of confidentiality,Healthcare Law
attorney's fees (or attorneys' fees),Legal Theory & Latin Terms
attorney's lien,Contract Law
attorney-client privilege,Evidence Law
attorney-in-fact,Legal Theory & Latin Terms
attractive nuisance,Torts
attractive nuisance doctrine,Torts
audit,Tax & Financial Regulation
audit committee,Tax & Financial Regulation
auditor,Tax & Financial Regulation
augmented estate,Family Law & Estates/Trusts
authenticate,Legal Theory & Latin Terms
authentication,Legal Theory & Latin Terms
author,Intellectual Property (IP)
authority,Intellectual Property (IP)
authorize,Intellectual Property (IP)
autocracy,Legal Theory & Latin Terms
automatic stay,Bankruptcy Law
automobile exception,Legal Theory & Latin Terms
autopsy,Legal Theory & Latin Terms
autopsy rights,Legal Theory & Latin Terms
avails,Legal Theory & Latin Terms
aviation,Legal Theory & Latin Terms
avowal,Legal Theory & Latin Terms
avulsion,Legal Theory & Latin Terms
award,Family Law & Estates/Trusts
aye,Legal Theory & Latin Terms
Bachelor of Laws,Legal Theory & Latin Terms
back pay,Legal Theory & Latin Terms
back-to-back life sentences,Criminal Law & Procedure
background fact,Legal Theory & Latin Terms
bad debt,Legal Theory & Latin Terms
bad faith,Legal Theory & Latin Terms
bad tendency,Legal Theory & Latin Terms
badgering the witness,Criminal Law & Procedure
bail,Criminal Law & Procedure
bail bond,Criminal Law & Procedure
bail bondsman,Criminal Law & Procedure
bailee,Criminal Law & Procedure
bailee (custodian),Criminal Law & Procedure
bailiff,Criminal Law & Procedure
bailment,Criminal Law & Procedure
bailor,Criminal Law & Procedure
bailout,Criminal Law & Procedure
bait and switch,Legal Theory & Latin Terms
Baker v. Carr (1962),Legal Theory & Latin Terms
balance due,Legal Theory & Latin Terms
balance sheet,Legal Theory & Latin Terms
balancing test,Legal Theory & Latin Terms
balloon mortgage,Property & Real Estate Law
balloon payment,Legal Theory & Latin Terms
ballot,Legal Theory & Latin Terms
bank,Bankruptcy Law
banking,Tax & Financial Regulation
Banking Act of 1933 (Glass-Steagall),Tax & Financial Regulation
bankruptcy,Bankruptcy Law
bankruptcy court,Bankruptcy Law
bankruptcy discharge,Bankruptcy Law
bankruptcy estate,Family Law & Estates/Trusts
bankruptcy fraud,Criminal Law & Procedure
bankruptcy petition preparer,Bankruptcy Law
bankruptcy power,Bankruptcy Law
bankruptcy proceedings,Bankruptcy Law
bankruptcy trustee,Family Law & Estates/Trusts
bar,Employment & Labor Law
bar association,Legal Theory & Latin Terms
bar examination,Civil Procedure & Litigation
bargain,Employment & Labor Law
bargaining unit,Legal Theory & Latin Terms
barratry,Legal Theory & Latin Terms
barrister,Legal Theory & Latin Terms
basis,Constitutional Law
basis of the bargain test,Legal Theory & Latin Terms
basis point,Legal Theory & Latin Terms
Batson challenge,Legal Theory & Latin Terms
Batson objection,Legal Theory & Latin Terms
battery,Criminal Law & Procedure
Battle & Sons Funeral Home v. Chambers,Legal Theory & Latin Terms
BCRA,Legal Theory & Latin Terms
beach bum trust provision,Family Law & Estates/Trusts
bearer,Legal Theory & Latin Terms
bearer paper,Legal Theory & Latin Terms
beg the question,Legal Theory & Latin Terms
belief,Legal Theory & Latin Terms
bench,Legal Theory & Latin Terms
bench trial,Civil Procedure & Litigation
bench warrant,Securities & Corporate Law
beneficial interest,Legal Theory & Latin Terms
beneficial owner,Legal Theory & Latin Terms
beneficial ownership,Intellectual Property (IP)
beneficial use,Legal Theory & Latin Terms
beneficiary,Family Law & Estates/Trusts
beneficiary deed,Property & Real Estate Law
benefit,Legal Theory & Latin Terms
benefit of counsel,Legal Theory & Latin Terms
benevolent society benefits,Legal Theory & Latin Terms
bequeath,Legal Theory & Latin Terms
bequest,Legal Theory & Latin Terms
Berne Convention,International Law
best evidence rule,Evidence Law
best interests (of the child),Family Law & Estates/Trusts
best interests of the child,Family Law & Estates/Trusts
bestiality,Legal Theory & Latin Terms
beyond a reasonable doubt,Legal Theory & Latin Terms
BFOQ,Legal Theory & Latin Terms
BFP,Legal Theory & Latin Terms
bias,Legal Theory & Latin Terms
biased assimilation,Legal Theory & Latin Terms
bid,Legal Theory & Latin Terms
bifurcate,Legal Theory & Latin Terms
bifurcated trial,Civil Procedure & Litigation
bigamy,Legal Theory & Latin Terms
bilateral,International Law
bilateral contract,Contract Law
bilateral divorce,Family Law & Estates/Trusts
bilateral investment treaty,International Law
bill,Constitutional Law
bill of attainder,Legal Theory & Latin Terms
bill of exceptions,Legal Theory & Latin Terms
bill of exchange,Legal Theory & Latin Terms
bill of lading,Legal Theory & Latin Terms
bill of particulars,Legal Theory & Latin Terms
Bill of Rights,Constitutional Law
bill of sale,Legal Theory & Latin Terms
bill quia timet,Legal Theory & Latin Terms
binder,Legal Theory & Latin Terms
binding precedent,Legal Theory & Latin Terms
BIOCOB,Legal Theory & Latin Terms
biological experiments,Legal Theory & Latin Terms
Bipartisan Campaign Reform Act of 2002,Intellectual Property (IP)
bird-nesting,Legal Theory & Latin Terms
birthright citizenship,Intellectual Property (IP)
biweekly mortgage,Property & Real Estate Law
black letter law,Legal Theory & Latin Terms
blackacre,Legal Theory & Latin Terms
blackletter law,Legal Theory & Latin Terms
blackmail,Criminal Law & Procedure
blank endorsement,Legal Theory & Latin Terms
blanket search warrant,Securities & Corporate Law
blanket security lien,Contract Law
blawg,Legal Theory & Latin Terms
blind pig,Legal Theory & Latin Terms
blind tiger,Legal Theory & Latin Terms
blind trust,Family Law & Estates/Trusts
blockchain,Legal Theory & Latin Terms
blog,Legal Theory & Latin Terms
blood-alcohol content (BAC),Legal Theory & Latin Terms
blue flu,Legal Theory & Latin Terms
blue law,Legal Theory & Latin Terms
blue ribbon jury,Legal Theory & Latin Terms
blue sky law,Legal Theory & Latin Terms
blue-chip stocks,Intellectual Property (IP)
Bluebook,Legal Theory & Latin Terms
bluebooking,Legal Theory & Latin Terms
board of directors,Securities & Corporate Law
Board of Education v. Earls (2002),Legal Theory & Latin Terms
Board of Veterans’ Appeals (BVA),Civil Procedure & Litigation
body of laws,Legal Theory & Latin Terms
boiler room,Legal Theory & Latin Terms
boilerplate,Legal Theory & Latin Terms
bona fide,Legal Theory & Latin Terms
bona fide occupational qualification (BFOQ),Employment & Labor Law
bona fide purchaser,Legal Theory & Latin Terms
bond,Criminal Law & Procedure
bondsman,Criminal Law & Procedure
book account,Legal Theory & Latin Terms
book value,Legal Theory & Latin Terms
booking,Legal Theory & Latin Terms
bookkeeper,Legal Theory & Latin Terms
bookkeeping fraud,Criminal Law & Procedure
books,Legal Theory & Latin Terms
boot,Legal Theory & Latin Terms
border patrol,Immigration & Naturalization Law
bottomry,Legal Theory & Latin Terms
bounty hunter,Legal Theory & Latin Terms
Bowers v. Hardwick (1986),Legal Theory & Latin Terms
Boy Scouts of America v. Dale (2000),Legal Theory & Latin Terms
boycott,Legal Theory & Latin Terms
Brady material,Legal Theory & Latin Terms
Brady rule,Administrative Law
Brandenburg test,Legal Theory & Latin Terms
breach,Contract Law
breach of contract,Contract Law
breach of promise,Contract Law
breach of the peace,Contract Law
breach of trust,Contract Law
breach of warranty,Contract Law
breaking and entering,Legal Theory & Latin Terms
breathalyzer,Legal Theory & Latin Terms
bribery,Legal Theory & Latin Terms
brief,Legal Theory & Latin Terms
bright-line rule,Administrative Law
broker,Legal Theory & Latin Terms
broker-dealer,Legal Theory & Latin Terms
Brown v. Board of Education (1954),Legal Theory & Latin Terms
brownfield,Legal Theory & Latin Terms
bucket shop,Legal Theory & Latin Terms
building and loan association,Legal Theory & Latin Terms
bulk sale,Legal Theory & Latin Terms
bulk sales law,Legal Theory & Latin Terms
bulk transfer,Legal Theory & Latin Terms
burden,Legal Theory & Latin Terms
burden of allegation,Legal Theory & Latin Terms
burden of persuasion,Legal Theory & Latin Terms
burden of production,Legal Theory & Latin Terms
burden of proof,Legal Theory & Latin Terms
"Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF)",Legal Theory & Latin Terms
bureaucracy,Legal Theory & Latin Terms
burglary,Criminal Law & Procedure
burial,Legal Theory & Latin Terms
burial insurance,Legal Theory & Latin Terms
burial permit,Legal Theory & Latin Terms
burial policy,Legal Theory & Latin Terms
burial transit permit,Legal Theory & Latin Terms
Bush v. Gore (2000),Legal Theory & Latin Terms
business,Legal Theory & Latin Terms
business expense,Legal Theory & Latin Terms
business invitee,Legal Theory & Latin Terms
business judgment rule,Civil Procedure & Litigation
business license,Intellectual Property (IP)
business record exception,Legal Theory & Latin Terms
business records exception,Legal Theory & Latin Terms
but cf.,Legal Theory & Latin Terms
but see,Legal Theory & Latin Terms
but-for cause,Legal Theory & Latin Terms
but-for test,Legal Theory & Latin Terms
buy-sell agreement,Contract Law
buyback,Legal Theory & Latin Terms
buyer,Legal Theory & Latin Terms
buyout agreement,Contract Law
bylaw,Legal Theory & Latin Terms
bylaws,Legal Theory & Latin Terms
bypass trust,Family Law & Estates/Trusts
C corporation,Securities & Corporate Law
cabinet,Legal Theory & Latin Terms
cafeteria plan,Legal Theory & Latin Terms
calendar,Legal Theory & Latin Terms
calendar call,Legal Theory & Latin Terms
calendar year accounting period,Legal Theory & Latin Terms
CALI,Legal Theory & Latin Terms
call,Legal Theory & Latin Terms
call option,Legal Theory & Latin Terms
calumny,Legal Theory & Latin Terms
campaign finance law,Legal Theory & Latin Terms
cancel,Legal Theory & Latin Terms
cancellation,Legal Theory & Latin Terms
cancellation of removal,Immigration & Naturalization Law
caning,Legal Theory & Latin Terms
cannabidiol,Legal Theory & Latin Terms
cannabis,Legal Theory & Latin Terms
cannabis-derived product,Legal Theory & Latin Terms
cannibalism,Legal Theory & Latin Terms
canon law,Legal Theory & Latin Terms
canons of construction,Legal Theory & Latin Terms
cap,Criminal Law & Procedure
cap and trade,Legal Theory & Latin Terms
cap-and-trade,Legal Theory & Latin Terms
capacity,Administrative Law
capital,Criminal Law & Procedure
capital account,Legal Theory & Latin Terms
capital asset,Legal Theory & Latin Terms
capital case,Legal Theory & Latin Terms
capital expenditure,Legal Theory & Latin Terms
capital gains,Tax & Financial Regulation
capital investment,Legal Theory & Latin Terms
capital offense,Legal Theory & Latin Terms
capital punishment,Criminal Law & Procedure
capital stock,Tax & Financial Regulation
capitalization,Legal Theory & Latin Terms
capitalized expenditure,Legal Theory & Latin Terms
capitalized interest,Legal Theory & Latin Terms
capitalized value,Legal Theory & Latin Terms
capricious,Administrative Law
caption,Legal Theory & Latin Terms
captive audience,Legal Theory & Latin Terms
capture doctrine: trusts,Family Law & Estates/Trusts
carbon capture,Legal Theory & Latin Terms
carbon offset,Legal Theory & Latin Terms
carbon offsets,Legal Theory & Latin Terms
care,Healthcare Law
careless,Legal Theory & Latin Terms
cargo insurance,Legal Theory & Latin Terms
carnal knowledge,Legal Theory & Latin Terms
carrier,Legal Theory & Latin Terms
carrier's lien,Contract Law
carryback,Legal Theory & Latin Terms
carrying for hire,Legal Theory & Latin Terms
carrying on business,Legal Theory & Latin Terms
carryover,Legal Theory & Latin Terms
carryover basis,Legal Theory & Latin Terms
cartel,Legal Theory & Latin Terms
case,Legal Theory & Latin Terms
case law,Legal Theory & Latin Terms
case of first impression,Tax & Financial Regulation
case system,Legal Theory & Latin Terms
cash flow statement,Legal Theory & Latin Terms
cash method of accounting,Legal Theory & Latin Terms
cash surrender value,Legal Theory & Latin Terms
cashier's check,Legal Theory & Latin Terms
castle doctrine,Legal Theory & Latin Terms
casual labor,Employment & Labor Law
casualty,Legal Theory & Latin Terms
casualty loss,Legal Theory & Latin Terms
categorizing,Legal Theory & Latin Terms
"Catholic Social Services, Inc. v. Reno",Immigration & Naturalization Law
causa mortis,Legal Theory & Latin Terms
cause,Legal Theory & Latin Terms
cause of action,Legal Theory & Latin Terms
cause of death,Legal Theory & Latin Terms
cause-in-fact,Legal Theory & Latin Terms
caveat,Legal Theory & Latin Terms
caveat emptor,Legal Theory & Latin Terms
CC&Rs,Legal Theory & Latin Terms
CCCS,Legal Theory & Latin Terms
CDA claims,Legal Theory & Latin Terms
cease and desist letter,Legal Theory & Latin Terms
cease and desist order,Legal Theory & Latin Terms
ceiling,Legal Theory & Latin Terms
cemetery corporation,Securities & Corporate Law
census,Legal Theory & Latin Terms
certainty effect,Legal Theory & Latin Terms
Certificate of Citizenship,Intellectual Property (IP)
certificate of death,Legal Theory & Latin Terms
certificate of deposit (CD),Legal Theory & Latin Terms
certificate of formation,Legal Theory & Latin Terms
certificate of incorporation,Securities & Corporate Law
certificate of interest,Legal Theory & Latin Terms
