legal_term,legal_category,defination,root_word
abscond,Criminal Law & Procedure,"Abscond means leaving a jurisdiction secretly or suddenly, e.g. to avoid service of process , arrest , or prosecution ; or leaving with another person's money or property . Absconding is generally a criminal offense which may lead to imprisonment in jail.",abscond
absentee ballot,Legal Theory & Latin Terms,"Absentee ballots, also known as absentee votes or mail-in votes, are paper ballots that are submitted before Election Day, usually by mail, by voters who are unable to vote in person at their designated polling place. The specific requirements a registered voter must meet to use an absentee ballot differ significantly by state and jurisdiction . Since COVID-19 , the law of absentee voting has undergone rapid and significant change across the United States.",absentee ballot
absolute,Legal Theory & Latin Terms,Absolute is used commonly in property law and in divorce law meaning final or without limitations.,absolute
absolute disparity,Legal Theory & Latin Terms,"Absolute disparity is a calculation used to analyze a claim that a jury pool did not represent a fair cross-section of the community; for instance, a jury pool that is composed of only white jurors in a community that is predominantly Black. It is calculated by subtracting the percentage of a group in the jury pool from the percentage of that group in the general population.",absolute disparity
absolute privilege,Evidence Law,Absolute privilege in a defamation case is a complete immunity from liability for statements that would otherwise be considered defamatory.,absolute privilege
absolute-bar rule,Administrative Law,The absolute-bar rule prevents a creditor from obtaining a deficiency judgment if collateral was disposed of in a commercially unreasonable manner.,absolute-bar rule
abstention,Legal Theory & Latin Terms,"The abstention doctrine is an authority that precludes federal courts from hearing cases within their jurisdictions ; instead, giving state courts authority over the case. The policy behind this doctrine is rooted in federalism , and the interest in allowing state courts to adjudicate matters that are of particular significance to the state or its laws. Conflicts surrounding abstention commonly arise out of constitutional challenges to state laws.",abstention
abstention doctrine,Legal Theory & Latin Terms,"The abstention doctrine is an authority that precludes federal courts from hearing cases within its jurisdictions , instead, giving state courts authority over the case. The policy behind this doctrine is rooted in federalism , and the interest of allowing state courts to adjudicate matters that are particular significance to the state or its laws. Conflicts surrounding abstention commonly arise out of constitutional challenges to state laws.",abstention doctrine
abstract,Legal Theory & Latin Terms,Abstract refers to an abbreviated history of an official record . Some common usages of the term “abstract” in a legal sense include:,abstract
abstract of judgment,Civil Procedure & Litigation,Abstract of judgment refers to a copy or summary of a court’s judgment . Some common uses of the term “abstract of judgment” include:,abstract of judgment
abstract of record,Legal Theory & Latin Terms,"An abstract of record is a summary of a trial that offers the key details for the appellate court to consider, such as the facts , all proceedings in the case to date, the trial court 's decision, and the legal issues to be determined. To assess whether the issues presented for review on appeal were properly preserved in the lower court, an appellate court must examine the history of the trial court's proceedings.",abstract of record
abstract of title,Property & Real Estate Law,"An abstract of title is a summary of recorded facts used as evidence of ownership of real property . It lists significant actions affecting the title , such as the filing of liens and other encumbrances , conveyances , transfers , assignments , and other matters relevant to the claimant’s ownership.",abstract of title
abstract of trust,Family Law & Estates/Trusts,"Abstract of trust is a brief version of the trust document that allows certain details of the trust (such as the names of the beneficiaries ) that you want to keep confidential to be omitted. It is often used to provide proof of trust formation to financial organizations or other institutions without making certain key terms public. This condensed version of the trust is widely accepted in lieu of the entire trust document, as long as certain requirements are met. Also termed certificate of trust , certification of trust , or memorandum of trust.",abstract of trust
abstracter,Legal Theory & Latin Terms,An abstracter is someone who collects or researches information or summarizes such information in order to maintain data or records .,abstracter
abuse,Civil Procedure & Litigation,"Abuse is an action that intentionally causes harm or injures another person. This can refer to physical abuse, psychological abuse, mental abuse, or child abuse (see below).",abuse
abuse excuse,Criminal Law & Procedure,"Abuse excuse is defined as a self-defense claim which is usually used in criminal cases , stating that a defendant is incapable of distinguishing between right and wrong or controlling their impulses because of being subjected to prolonged abuse ; i.e. inter alia , battered-child syndrome or battered-person syndrome.",abuse excuse
abuse of discretion,Civil Procedure & Litigation,Abuse of discretion is a standard of review used by appellate courts to review decisions of lower courts . The appellate court will typically find that the decision was an abuse of discretion if the discretionary decision was made in plain error .,abuse of discretion
abuse of process,Criminal Law & Procedure,"Abuse of process is a common law tort that involves the misuse of legal process(es) for an ulterior purpose. Abuse of process is one of several actionable offenses aimed at discouraging bad-faith litigation attempts. Indeed, courts hold the authority to sanction parties for bringing frivolous action , and parties also have a right to action under the claim of malicious prosecution .",abuse of process
abusive discharge,Bankruptcy Law,"Abusive discharge is a terminated employee’s claim that their termination breached some public policy of the state.  Abusive discharge claims are often brought when no claim for breach of contract or violation of a statute can be alleged . Thus, the employee attempts to show that the termination violated a general public policy espoused by the state.",abusive discharge
abut,Legal Theory & Latin Terms,Abut means to directly border. Property law frequently concerns the rights of abutting landowners.,abut
accelerated depreciation,Tax & Financial Regulation,"Depreciation is the reduced value of something over time. Accelerated depreciation is any loss of value where the business depreciates (i.e., accounts for the value loss of a fixed asset in tax filings) at a greater proportion of an asset’s expected lifetime value loss earlier in its life.",accelerated depreciation
accelerated filer,Legal Theory & Latin Terms,Accelerated filer is a class of reporting company which has shorter deadlines to file their periodic reports .,accelerated filer
acceleration,Legal Theory & Latin Terms,"Acceleration is the advancing of a loan agreement 's maturity date so that payment of the entire debt is due immediately. It “changes the date of maturity from some point in the future to an earlier date based on the debtor's default under the contract.” Analytical Surveys Inc. v. Tonga Partners, L.P. , 684 F.3d 36, 44 (2nd Cir. 2012).",acceleration
acceleration clause,Legal Theory & Latin Terms,An acceleration clause is a term in a contract (typically a loan agreement ) that requires a party to make all payments due under the contract if certain conditions occur. An acceleration clause is typically invoked when a borrower materially breaches a loan agreement.,acceleration clause
acceleration theory,Legal Theory & Latin Terms,"Acceleration theory is a subsection of causation in criminal law in which a third party’s action, or a second defendant ’s actions, speed up the effects of a primary defendant’s actions. For example, defendant A shoots the victim, which would cause the victim to bleed out in one hour; however, defendant B also stabs the victim, causing the victim to now bleed out in 30 minutes. Defendant B accelerated defendant A’s actions by causing the victim to die sooner.",acceleration theory
accept,Contract Law,"To accept means to receive something with approval ( i.e., consent ). This usually arises in the context of accepting a payment that is late or not complete, or accepting delivery of legal papers ( acceptance of service ).",accept
acceptance,Contract Law,Acceptance means to assent to the terms of an offer . Some common uses of the term “acceptance” in a legal sense include:,acceptance
acceptance of service,Contract Law,"Acceptance of service is defined as an agreement by the defendant (or the defendant's attorney ) to accept papers or a complaint without having the papers served by a process server or a sheriff.  Acceptance of service is accomplished by signing a "" receipt and acknowledgment of acceptance of service"" (or similarly titled instrument) .  This satisfies the notice requirement of due process . This is a cost-reducing device adopted in many U.S. jurisdictions .  The defendant may refuse to accept service, but if so, the defendant will be liable for the costs of having the papers/complaint served .",acceptance of service
access,Criminal Law & Procedure,"Access is the right to use , communicate, or approach something or someone. Some common usages of the term “access” in a legal sense include:",access
accession,Legal Theory & Latin Terms,Accession has several specialized meanings in legal contexts.,accession
accessory,Criminal Law & Procedure,"An accessory is someone who aided or contributed to the commission or concealment of a crime . There are two categories of accessories: accessory before-the-fact and accessory after-the-fact . Unlike an accomplice , an accessory does not need to have been actually or constructively present during the commission or concealment of the crime.",accessory
accessory after the fact,Criminal Law & Procedure,"An accessory-after-the-fact is someone who assists 1) someone who has committed a crime , 2) after the person has committed the crime, 3) with knowledge that the person committed the crime, and 4) with the intent to help the person avoid arrest or punishment. An accessory after the fact may be held liable for, among other things, obstruction of justice .",accessory after the fact
accessory before the fact,Criminal Law & Procedure,"An accessory before-the-fact is a person who aids and abets , or encourages another to commit a crime but who is not present at the scene. An accessory before the fact, like an accomplice may be held criminally liable to the same extent as the principal . Many jurisdictions refer to an accessory before the fact as an accomplice.",accessory before the fact
accommodation,Legal Theory & Latin Terms,"An accommodation originally meant a loan or other financial favor. An accommodation more commonly means providing assistance or convenience for a person, and the practice of modifying objects and situations to their benefit or needs. An accommodation can be an arrangement to make an adaptation or adjustment; for example, a reasonable accommodation would mean an alternate working environment to allow a person with a disability to work without an undue burden or hardship. Furthermore, it also considers an employee's religious beliefs or practices without imposing undue hardship on the party taking the action. Under the Americans with Disabilities Act , employers must provide accommodations to account for their employees' disabilities.",accommodation
accompanying relative,Legal Theory & Latin Terms,"An accompanying relative, or immediate relative , is a family member of a person who has immigrated to the United States. An example of an accompanying relative could be the children of an immigrant who have not reached the age of majority , as well as unmarried partners of an individual who has immigrated to the United States. Individuals who are legally permitted to immigrate to the United States are eligible for Visa applications and/ or Green Card . Their accompanying relatives, by association, would also be eligible for such status.",accompanying relative
accomplice,Criminal Law & Procedure,"An accomplice is defined as a person who knowingly, voluntarily, or intentionally gives assistance to another in (or in some cases fails to prevent another from) the commission of a crime . An accomplice is criminally liable to the same extent as the principal. An accomplice, unlike an accessory , is typically present when the crime is committed.",accomplice
accomplice witness,Criminal Law & Procedure,"An “accomplice witness” is someone who is both a witness to a crime and an accomplice in that same crime; one who participates with the defendant before, during, or after the commission of the crime . The participation must involve an affirmative act or commission by the accomplice witness to promote the commission of the offense . However, a witness is not an accomplice witness simply because they knew of the offense and did not disclose it, or even concealed it.",accomplice witness
accord,Legal Theory & Latin Terms,Accord broadly means agreement but has several specific legal uses.,accord
accord and satisfaction,Legal Theory & Latin Terms,"Accord and satisfaction occurs when there is an agreement ( accord ) between two parties (an obligor and an obligee ) for alternative performance to discharge a pre-existing duty , and the obligor subsequently completes such performance ( satisfaction ). Accord and satisfaction is an affirmative defense . See, e.g., Rose Inn of Ithaca, Inc. v. Great American Ins. Co. , 75 A.D.3d 737 (N.Y. App. Div. 2010) .",accord and satisfaction
account,Healthcare Law,"Generally, an account is a record, history, or report of something.",account
account debtor,Bankruptcy Law,"In the context of secured transactions , an account debtor is a person or entity who owes an obligation to a creditor for goods or services by virtue of an account , chattel paper , or general intangible , according to UCC § 9-102(a)(3) . However, it excludes persons obligated to pay a negotiable instrument, even if the instrument constitutes part of chattel paper (see: UCC § 9-102(a)(3) ). An account debtor is an important part of an accounts receivable financing arrangement. For example, when a creditor offers services or sells goods to the account debtor, the creditor could allow the payment to happen at a mutually agreed later time based on the terms in the agreement or invoice.",account debtor
account receivable,Legal Theory & Latin Terms,An account receivable (abbreviated A/R ) is the money owed to a business by other entities in exchange for property or services that were provided on credit (listed under current assets on balance sheets). The settlement of an account receivable begins by sending an invoice to the client.,account receivable
account stated,Legal Theory & Latin Terms,"An account stated is a document summarizing the amount of money a debtor owes a creditor . Account stated is also a cause of action in many states that allows a creditor to sue for payment. In many business contexts, creditors and debtors have several transactions occurring that involve frequent billing, and in these cases, the parties agree to credit and bill the other instead of signing contracts for each transaction. The creditor often sends the debtor an account stated, summarizing the amount that creditor claims the debtor owes at a point in time. If an account-stated relationship has been established, the debtor must either pay the debt or challenge the charges within a reasonable time.",account stated
accountant,Legal Theory & Latin Terms,"An accountant is a trained professional who has satisfied the statutory and administrative requirements under applicable law to practice as a licensed public accountant. These requirements vary from state to state. The accountant is responsible for performing the accounting of a business . Certain accounting regulated services are restricted to licensed accountants who are either owners or employees of registered public accounting firms. In general terms, the main duty of an accountant is to prepare, evaluate, and attest to the accuracy and completeness of financial statements .  Other duties include:",accountant
accounting,Legal Theory & Latin Terms,"Accounting is the practice of accurately and timely recording , analyzing, summarizing, and classifying financial transactions of a business . Commonly, those financial transactions are recorded in a set of financial records called financial statements .",accounting
accounts payable,Legal Theory & Latin Terms,"Accounts payable is an accounting term that describes the short-term debt that a company owes to its suppliers or vendors for products or services received before a payment is made, typically less than a year, such as within 30 or 60 days. Accounts payable may be abbreviated to “AP” or “A/P.” Accounts payable may also refer to a business department of a company responsible for organizing payments on such accounts to suppliers. To avoid default, a business must pay off accounts payable within a specific period of time. An increase in accounts payable shows an increase in the goods and/or services purchased using credits rather than cash. As such, adequately managing accounts payable is an important part of a business’ internal control as it is directly relevant to the management of the cash flow of a business entity.",account payable
accounts receivable,Legal Theory & Latin Terms,"Accounts receivable (abbreviated AR or A/R ) is an accounting term, which refers to the money owed to a business by another business or individual in exchange for property or services that were provided on credit . In other words, accounts receivable stands for the money that have not been paid to a business. This is because when offering services or selling goods, a business could allow its customer to defer payment. In a business’s balance sheet or general ledger, accounts receivable is typically under the category of current assets because they offer value. Yet, accounts receivable may not qualify as a revenue. The settlement of an account receivable begins by sending an invoice to the customer.",account receivable
accredited investor,Legal Theory & Latin Terms,"Under federal law, an accredited investor is a special kind of investor that due to certain special circumstances or qualities—as the ones indicated in Rule 501 of Regulation D —is allowed to purchase or be offered to purchase unregistered securities . This is an exemption, as under federal securities law , no securities may be sold or offered for sale unless they are registered or unless there is an exemption.",accredited investor
accretion,Legal Theory & Latin Terms,"Accretion from natural causes (also referred to as alluvion ) adds soil, sand, and other types of earth to the part of a person’s property that borders water. While this occurs very slowly, a piece of property may grow a lot over time and increase its value. Any addition to one’s property by accretion becomes that person’s legal property. This is in contrast with avulsion , where the original owner of the moved earth continues to own it. Avulsion occurs when large parts of a person's property suddenly move away due to natural events such as flooding.",accretion
accrual method of accounting,Legal Theory & Latin Terms,"The accrual method of accounting includes accounts payable and accounts receivable instead of ignoring those pending payments. Therefore, unlike cash method of accounting , accrual method of accounting does not mislead a business’s stakeholders, thereby providing the full picture of a business’s financial health, potential risks, and profitability. The shortcoming of the accrual method of accounting lies in its complexity; because it involves both pending and settled payments, complex accounting knowledge would be necessary to accurately manage a business’s account practice under accrual method of accounting.",accrual method of accounting
accrue,Legal Theory & Latin Terms,Accrue has two common definitions:,accrue
accumulated earnings,Legal Theory & Latin Terms,"Accumulated earnings represent a company’s net profit after having distributed dividends to the stockholders . It is often used in accounting to determine how much net profits a company has left after having paid dividends. To calculate accumulated earnings, one must add the sum of the accumulated earnings at the beginning of the year to the current accumulated earnings, minus any dividend paid to stockholders. Most corporations use accumulated earning calculations to make tax determinations and to calculate the value of a tax treatment for a particular transaction.",accumulated earnings
accumulation trust,Family Law & Estates/Trusts,"Accumulation trust is a type of see-through trust that allows withdrawals to be made or kept within the trust . See-through trusts are established by people with individual retirement accounts (IRA) so that the assets in their IRAs are transferred into a trust should they die before withdrawing all of the assets. This allows the trustor to specify how the beneficiaries receive the money while allowing the assets to still keep the tax-deferral benefits of the IRA. To establish the trust, the person must meet all the requirements for a legal trust, name specific beneficiaries, make the trust be irrevocable when they die, and provide the documentation to the custodian of the IRA. The trust is subject to required minimum distributions (RMD) as given in the SECURE Act of 2020. Beneficiaries of an inherited IRA trust must distribute all of the assets within 10 years, and they must distribute at least a tenth of their share each year. There are a couple exceptions for spouses, disabled, minors, and other individuals that may be able to extend the distribution period for much longer. The reason for the 10 year distribution period imposed by the SECURE Act is to keep the beneficiaries from abusing the tax-deferral of the IRA. For accumulation trusts, the RMDs can be reinvested in the trust, but the profits they produce will be taxed. This is in contrast to conduit see-through trusts that require the beneficiaries be paid their distributions.",accumulation trust
accusation,Legal Theory & Latin Terms,An accusation is informally stating that a person has committed an illegal or immoral act.  An accusation is also formally charging a person with a crime either by a prosecuting attorney filing charges against or through a grand jury indictment of that person.,accusation
accusatory instrument,Legal Theory & Latin Terms,"An accusatory instrument, similar to a criminal complaint , is a document which formally accuses a defendant of a criminal offense . Generally, this document must be signed by a party who has knowledge that the alleged criminal conduct took place. Failure to properly give the potential defendant an accusatory instrument can result in the case’s dismissal.",accusatory instrument
accused,Legal Theory & Latin Terms,"A person who has been arrested for or formally charged with a crime is referred to as ""the accused."" It is another name for the defendant in a criminal case .",accused
acknowledge,Legal Theory & Latin Terms,To acknowledge means to:,acknowledge
acknowledged father,Legal Theory & Latin Terms,"The acknowledged father is the admitted biological father of a child born to an unmarried couple. It refers to the person who has admitted to being the father of the child. The admission may be made by signing a voluntary written acknowledgment of paternity, or by an agreement between them and the child's mother.",acknowledged father
acknowledgment,Legal Theory & Latin Terms,Acknowledgment refers to a formal declaration before an official that one has executed a particular legal document . Some common usages of the term “acknowledgment” in a legal sense include:,acknowledgment
acquisition,Securities & Corporate Law,"An acquisition is buying/receiving a good or asset through a business transaction or contract . Acquisition most often refers to the sale of property , such as a business . In the acquisition of a business, the buyer, another business entity, will purchase controlling stock/shares or even all of the company’s shares in order to take over the company. The purchasing company becomes the parent company of the subsidiary (seller company) and can then make future business decisions without shareholder approval.",acquisition
acquisition of citizenship,Intellectual Property (IP),"Acquisition of citizenship refers to the ability of individuals born abroad to achieve U.S. citizenship because at least one of their parents is a U.S. citizen . If the child meets the complex requirements, the child “acquires” citizenship through a parent even if the child was born abroad. The laws governing acquisition of citizenship have been changed significantly, and in order to determine a child’s eligibility for acquisition, they must look to the laws applicable for their birth year.",acquisition of citizenship
acquit,Legal Theory & Latin Terms,"To acquit means to release or discharge a person from an obligation , burden , or accusation . In criminal law , it is the formal judgment of not guilty entered at the end of a trial when a jury , or a judge in a bench trial , finds that the prosecution has not proven the defendant’s guilt beyond a reasonable doubt .",acquit
acquittal,Legal Theory & Latin Terms,"An acquittal is a resolution of some or all of the factual elements of the offense charged. The trier of fact , whether the jury or the court , must render a verdict of finding the defendant not guilty of the charged offense. A not guilty finding is an adjudication that proof at a prior proceeding was insufficient to overcome all reasonable doubt of guilt of the accused . One who is acquitted is judicially discharged from an accusation and is absolved . The Double Jeopardy Clause bars appeal and retrial by the prosecutor . See: U.S. Const. Amend. V.",acquittal
act,Legal Theory & Latin Terms,"In a legal context, an act refers generally to the exercise of will expressed through conduct, or a formal expression of law . The term is used in both criminal law and legislative contexts.",act
Act of Congress,Legal Theory & Latin Terms,"An Act of Congress occurs when both houses of Congress (the House of Representatives and the Senate ) pass an identical bill with a majority and the president signs the bill, and that bill becomes a law . If the president does not sign the bill, there are two other ways in which a bill can become a law:",act of congress
act of God,Legal Theory & Latin Terms,"An act of God refers to a severe, unanticipated natural event for which no human is responsible. Despite its facial religious connections, the phrase “act of God” is frequently used in otherwise secular statutory and case law .",act of god
act of nature,Legal Theory & Latin Terms,"Act of nature, also known as act of God , is an event that is caused solely by the forces of nature without human intervention. Any accident that is not under human control, influence, or human involvement, and is caused purely by the direct, individual action of natural forces, and could not have been avoided by foresight, an appropriate degree of care or effort, or the use of any instrument, is considered to be due to act of nature. It may also refer to an accident caused by an uncontrollable physical cause, such as lightning, tornado, blizzard, earthquake, sea hazard, etc.",act of nature
action,Legal Theory & Latin Terms,"An action refers to a judicial proceeding . If a party brings a civil or criminal case against you, an action has been brought against you. The party bringing the action is the plaintiff / prosecution respectively.",action
actionable,Legal Theory & Latin Terms,"A claim is actionable if there exist sufficient circumstances to meet the requirements of a cause of action . For example, a claim for the tort of battery is actionable if a person intentionally and without your consent made contact with you and you suffered harm from that contact. Furthermore, a claim for which the statute of limitations has run is not actionable even if it otherwise would be.",actionable
actual authority,Intellectual Property (IP),Actual authority is an agent's power to act on behalf of a principal because such power was expressly or impliedly conferred. Express actual authority is when a principal directly tells the agent that they have the authority to take certain action. Implied actual authority is the authority that is based on the agent’s reasonable understanding of the principal’s instructions.,actual authority
actual cause,Legal Theory & Latin Terms,"Actual cause is a necessary element for both liability in civil cases and a guilty verdict under much of criminal law . In both civil and criminal cases, actual cause is determined by the but-for cause test ; however, some jurisdictions also allow proving actual cause through alternative theories in criminal cases.",actual cause
actual controversy,Legal Theory & Latin Terms,"Actual controversy is a constitutional requirement for courts to issue a declaratory judgment . The requirement stems from the Declaratory Judgment Act, 28 U.S.C. § 2201 , which allows federal courts to issue declaratory judgments in the case of “actual controversy.” This statutory requirement in turn stems from the fact that Article III of the U.S. Constitution only provides for the judiciary to adjudicate “cases” and “controversies.” This requirement prevents the judiciary from ruling on moot disputes or issuing advisory opinions .",actual controversy
actual custody of the body,Family Law & Estates/Trusts,"In mortuary law , actual custody of the body is the physical possession or control of a human body. Actual custody is distinct from the legal authority to decide how the body will be disposed of, such as burial, cremation, or donation for medical research. That legal authority is referred to in different contexts as constructive custody , the right of disposition , or the right of sepulcher .",actual custody of the body
actual damages,Contract Law,"In tort law , actual damages, also known as compensatory damages , are damages awarded by a court equivalent to the loss a party suffered. If a party’s right was technically violated but they suffered no harm or losses, a court may instead grant nominal damages .",actual damage
actual innocence,Legal Theory & Latin Terms,Actual innocence refers to a failure of proof defense arguing that the prosecution failed to prove all relevant elements of a charged crime beyond a reasonable doubt .,actual innocence
actual notice,Immigration & Naturalization Law,"Actual notice is a notice that is given directly to a party or is personally received by a party informing them of a case that could affect their interests. Actual notice is served in person , as opposed to constructive notice , where although that person did not receive notice in fact, the law will consider them to have received notice.",actual notice
actuarial tables,Legal Theory & Latin Terms,"Actuarial tables (also called life expectancy tables, mortality tables, and life tables) are statistical tools used by companies, scientists, courts, and government agencies to predict the life expectancy of a person by their age, gender, and other factors. The tables most often give life expectancy based by year and gender. For example, the life expectancy for women may be 9.9 years at age 75, 9.5 at age 76, etc. Actuarial tables serve many useful purposes such as creating insurance prices or establishing in court the life expectancy of someone. Many government agencies use actuarial tables to regulate such as the Internal Revenue Service (IRS) for 401k distributions.",actuarial table
actus reus,Criminal Law & Procedure,"Actus reus refers to the act or omission that comprise the physical elements of a crime as required by statute . Actus reus includes only a voluntary affirmative act , or an omission (failure to act), causing a criminally proscribed result.",actus reus
ad hoc,Legal Theory & Latin Terms,"Ad hoc is Latin for ""to this"" and means “for this purpose only.”",ad hoc
ad litem,Legal Theory & Latin Terms,"The Latin translation of ad litem is "" f or the suit .""",ad litem
ad seriatim,Legal Theory & Latin Terms,Ad seriatim refers to following a specific order or sequence. It is a Latin word meaning “ one after another or in a series .”,ad seriatim
ad valorem,Legal Theory & Latin Terms,"Ad valorem translated directly from Latin, means ""according to [the] value [of something].” In practical use, the term is used in taxation to designate taxes levied against property , real or personal, at a certain rate based upon the property's value.",ad valorem
