source,target,language_pair,Legal_Category
Member States may make authorisations to construct a direct line subject either to the refusal of system access on the basis of Article 21 or to the opening of a dispute settlement procedure under Article 25.,Die Mitgliedstaaten können die Genehmigung zur Errichtung einer Direktleitung entweder von der Verweigerung des Netzzugangs auf der Grundlage des Artikels 21 oder von der Einleitung eines Streitbeilegungsverfahrens gemäß Artikel 25 abhängig machen.,en-de,Civil Law
selecting and applying accounting policies in accordance with paragraph 20;,die Auswahl und die Anwendung von Bilanzierungs- und Bewertungsmethoden in Übereinstimmung mit Paragraph 20;,en-de,General Legal
call for tenders); (b) Reference of publication of the notice in the Official Journal of the European Union;,Hinweis auf die Veröffentlichung der Bekanntmachung im Amtsblatt der Europäischen Gemeinschaften,en-de,Labor Law
Whereas the detailed rules for application of the basic principles of this Regulation must be so drawn that they not only ensure effective supervision while simplifying administration as far as possible but also meet the needs of undertakings for certainty in the law;,"Die Einzelheiten der Anwendung der materiellrechtlichen Vorschriften dieser Verordnung müssen so festgelegt werden, daß sie dem Erfordernis einer wirksamen Überwachung bei möglichst einfacher Verwaltungskontrolle entsprechen. Andererseits ist das Erfordernis der rechtlichen Sicherheit der Unternehmen zu berücksichtigen.",en-de,Administrative Law
"Failure, significant malfunction or unavailability of airfield lighting.","Ausfall, erhebliche Fehlfunktion oder Nichtverfügbarkeit der Flugplatzbefeuerung.",en-de,General Legal
"If both length bytes (Lc and Le) are requested, the described command has to be split in two parts if the IFD is using protocol T=0: the IFD sends the command as described with P3=Lc + data and then sends a GET_RESPONSE (see point 3.6.6) command with P3=Le.","Werden beide Längenbytes (Lc und Le) angefordert, ist der Befehl in zwei Teile aufzuspalten, wenn das IFD das Protokoll T=0 verwendet: Das IFD sendet den Befehl wie beschrieben mit P3=Lc + Daten und sendet dann einen GET RESPONSE-Befehl (siehe Abschnitt 3.6.6) bei P3=Le.",en-de,General Legal
the application of any quantitative restriction or measure having equivalent effect.,die Anwendung von mengenmäßigen Beschränkungen oder Maßnahmen gleicher Wirkung.,en-de,General Legal
"The Commission shall be assisted by the Committee on Safe Seas and the Prevention of Pollution from Ships (COSS) created by Article 3 of Regulation (EC) No 2099/2002 of the European Parliament and of the Council of 5 November 2002 establishing a Committee on Safe Seas and the Prevention of Pollution from Ships (COSS)(21)."";","""(1) Die Kommission wird von dem durch Artikel 3 der Verordnung (EG) Nr. 2099/2002 des Europäischen Parlaments und des Rates vom 5. November 2002 zur Einsetzung eines Ausschusses für die Sicherheit im Seeverkehr und die Vermeidung von Umweltverschmutzung durch Schiffe (COSS)(21) eingesetzten Ausschuss für die Sicherheit im Seeverkehr und die Vermeidung von Umweltverschmutzung durch Schiffe (COSS) unterstützt.""",en-de,Constitutional Law
"The Challenge issued by the card is only valid for the next command, which uses a challenge, sent to the card.","Die von der Karte ausgegebene Zufallszahl ist nur für den nächsten Befehl gültig, der eine an die Karte gesendete Zufallszahl verwendet.",en-de,General Legal
"Adjustments to depreciation and amortisation, impairment charges, and other amounts, determined under paragraphs 5 and 6 of this interpretation, should be included in net profit or loss in the respective classification of income or expense presented on the face of the income statement.","Die nach Paragraphen 5 und 6 dieser Interpretation ermittelten Anpassungen der planmäßigen Abschreibungen, Wertminderungsaufwendungen und anderer Beträge sind unter den jeweiligen in der Gewinn- und Verlustrechnung ausgewiesenen Aufwands- oder Ertragsposten in das Periodenergebnis einzubeziehen.",en-de,General Legal
The nominal value of the AC voltage supply and/or the limits of DC supply.,Nennwert der Wechselspannungsversorgung und/oder Grenzwerte der Gleichspannungsversorgung.,en-de,General Legal
DEFROSTING,Entfrostung,en-de,General Legal
"Finland and Sweden shall have the option of declaring that the Convention of 6 February 1931 between Denmark, Finland, Iceland, Norway and Sweden comprising international private law provisions on marriage, adoption and guardianship, together with the Final Protocol thereto, will apply, in whole or in part, in their mutual relations, in place of the rules of this Regulation.","Finnland und Schweden können erklären, dass das Übereinkommen vom 6. Februar 1931 zwischen Dänemark, Finnland, Island, Norwegen und Schweden mit Bestimmungen des internationalen Verfahrensrechts über Ehe, Adoption und Vormundschaft einschließlich des Schlussprotokolls anstelle dieser Verordnung ganz oder teilweise auf ihre gegenseitigen Beziehungen anwendbar ist.",en-de,Family Law
