source,reference,translation,sample_size,bleu,meteor,comet,status
The authorising officer shall conserve the supporting documents relating to operations carried out for a period of five years from the date of the decision granting discharge in respect of implementation of the budget.,"Der Anweisungsbefugte bewahrt die Nachweise für die abgewickelten Vorgänge während eines Zeitraums von fünf Jahren auf, gerechnet vom Datum des Beschlusses über die Entlastung zur Ausführung des Haushaltsplans.",Der zuständige Zeichnungsbevollmächtigte hat die Unterstützungsunterlagen in Bezug auf durchgeführte Operationen für einen Zeitraum von fünf Jahren ab dem Datum der Entscheidung über die Entlastung hinsichtlich der Haushaltsausführung aufzubewahren.,10,0.0618098295883566,0.3828402366863905,0.788764476776123,FAIL
"the original reference was to Article 85(3) of the Treaty) of the Treaty to certain categories of agreements and concerted practices in the air transport sector (OJ L 374, 31.12.1987, p. 9).","ursprünglich wurde auf Artikel 85 Absatz 3 Bezug genommen.) des Vertrags auf bestimmte Gruppen von Vereinbarungen und aufeinander abgestimmten Verhaltensweisen im Luftverkehr (ABl. L 374 vom 31.12.1987, S. 9).","Der ursprüngliche Verweis bezog sich auf Artikel 85 Absatz 3 des Vertrags) des Vertrags auf bestimmte Kategorien von Vereinbarungen und abgestimmten Verhaltensweisen im Luftverkehrssektor (ABl. L 374, 31.12.1987, S. 9).",10,0.4687771240367234,0.7695637119113575,0.8584163188934326,PASS
Galicia,Galicia,Galizien,10,0.0,0.0,0.6444426774978638,FAIL
Member States may decide to update the general control plan by more detailed periodic plans.,"Die Mitgliedstaaten können beschließen, den allgemeinen Kontrollplan durch detailliertere Pläne für bestimmte Zeiträume zu aktualisieren.","Die Mitgliedstaaten können beschließen, den allgemeinen Kontrollplan durch detailliertere periodische Pläne zu aktualisieren.",10,0.6456147046129794,0.8292334791059279,0.9166805148124695,PASS
advise the Commission on research in the area of network and information security as well as on the effective use of risk prevention technologies;,Beratung der Kommission in Bezug auf Forschungsarbeiten im Bereich der Netz- und Informationssicherheit sowie hinsichtlich des effizienten Einsatzes von Technologien zur Risikovermeidung;,beraten Sie die Kommission in Bezug auf Forschung auf dem Gebiet der Netz- und Informationssicherheit sowie über die effektive Nutzung von Technologien zur Risikoprävention;,10,0.28859523083492383,0.5444042032238318,0.9294558763504028,PASS
"There could, however, be situations when a ship may pose a threat to the port facility, e.g. because, once within the port facility, it could be used as a base from which to launch an attack.","Dennoch sind Situationen vorstellbar, in denen ein Schiff eine Bedrohung für die Hafenanlage darstellen kann, beispielsweise, wenn es innerhalb der Hafenanlage als Basis benutzt wird, von der aus ein Angriff gestartet wird.","Es könnten jedoch Situationen eintreten, in denen ein Schiff eine Bedrohung für die Hafenanlage darstellen könnte, z. B. weil es innerhalb der Hafenanlage als Basis für einen Angriff genutzt werden könnte.",10,0.41095294813431815,0.5029638667061027,0.9011971354484558,PASS
"Failing a reply, the institution concerned may proceed with the planned operation under its administrative autonomy, subject to Article 282 of the EC Treaty and Article 185 of the Euratom Treaty with regard to Community representation.","Erfolgt keine Antwort, so kann das betreffende Organ die in Aussicht genommene Transaktion im Rahmen seiner Verwaltungsautonomie durchführen, und zwar vorbehaltlich des Artikels 282 EG-Vertrag und des Artikels 185 EAG-Vertrag hinsichtlich der Vertretung der Gemeinschaft.","Mangels einer Antwort kann die betreffende Einrichtung unter ihrem administrativen Autonomie das geplante Verfahren durchführen, vorbehaltlich des Artikels 282 des EG-Vertrags und des Artikels 185 des Euratom-Vertrags in Bezug auf die Vertretung der Gemeinschaft.",10,0.21249920199304864,0.4732510288065845,0.8594079613685608,FAIL
the currency of tenders;,Währung des Angebots;,Die Währung der Angebote; ,10,0.06389431042462725,0.6233062330623306,0.9185941815376282,FAIL
"2009 for ships delivered in 1983,","2009 bei Schiffen, die 1983 abgeliefert wurden,","2009 für Schiffe, die 1983 geliefert wurden, ",10,0.1561969968460128,0.625,0.856311023235321,FAIL
the benefit deriving from an interest subsidy on certain loans;,die mit der Zinsvergütung für bestimmte Darlehen verbundene Vergünstigung;,"der Vorteil, der aus einer Zinssubvention für bestimmte Kredite erwächst;",10,0.0428361950754725,0.309436274509804,0.8383864164352417,FAIL
