source,target,translation,reference,sample_size,bleu,meteor,comet
The authorising officer shall conserve the supporting documents relating to operations carried out for a period of five years from the date of the decision granting discharge in respect of implementation of the budget.,"Der Anweisungsbefugte bewahrt die Nachweise für die abgewickelten Vorgänge während eines Zeitraums von fünf Jahren auf, gerechnet vom Datum des Beschlusses über die Entlastung zur Ausführung des Haushaltsplans.","Der zur Prüfung berechtigte Beamte hat die Unterlagen, die sich auf durchgeführte Maßnahmen beziehen, für einen Zeitraum von fünf Jahren ab dem Datum der Entscheidung über die Entlastung hinsichtlich der Haushaltsausführung aufzubewahren.","Der Anweisungsbefugte bewahrt die Nachweise für die abgewickelten Vorgänge während eines Zeitraums von fünf Jahren auf, gerechnet vom Datum des Beschlusses über die Entlastung zur Ausführung des Haushaltsplans.",30,2.871548752596785e-78,0.4393570696721312,0.5184364914894104
"the original reference was to Article 85(3) of the Treaty) of the Treaty to certain categories of agreements and concerted practices in the air transport sector (OJ L 374, 31.12.1987, p. 9).","ursprünglich wurde auf Artikel 85 Absatz 3 Bezug genommen.) des Vertrags auf bestimmte Gruppen von Vereinbarungen und aufeinander abgestimmten Verhaltensweisen im Luftverkehr (ABl. L 374 vom 31.12.1987, S. 9).","Der ursprüngliche Verweis bezog sich auf Artikel 85 Absatz 3 des Vertrags) des Vertrags auf bestimmte Kategorien von Vereinbarungen und abgestimmten Verhaltensweisen im Luftverkehrssektor (ABl. L 374, 31.12.1987, S. 9).","ursprünglich wurde auf Artikel 85 Absatz 3 Bezug genommen.) des Vertrags auf bestimmte Gruppen von Vereinbarungen und aufeinander abgestimmten Verhaltensweisen im Luftverkehr (ABl. L 374 vom 31.12.1987, S. 9).",30,0.4687771240367234,0.7695637119113575,0.7323450446128845
Galicia,Galicia,Galicien,Galicia,30,0.0,0.0,-0.4491923451423645
Member States may decide to update the general control plan by more detailed periodic plans.,"Die Mitgliedstaaten können beschließen, den allgemeinen Kontrollplan durch detailliertere Pläne für bestimmte Zeiträume zu aktualisieren.","Die Mitgliedstaaten können beschließen, den allgemeinen Kontrollplan durch detailliertere periodische Pläne zu aktualisieren.","Die Mitgliedstaaten können beschließen, den allgemeinen Kontrollplan durch detailliertere Pläne für bestimmte Zeiträume zu aktualisieren.",30,0.6456147046129794,0.8292334791059279,0.7664523720741272
advise the Commission on research in the area of network and information security as well as on the effective use of risk prevention technologies;,Beratung der Kommission in Bezug auf Forschungsarbeiten im Bereich der Netz- und Informationssicherheit sowie hinsichtlich des effizienten Einsatzes von Technologien zur Risikovermeidung;,Die Kommission in Fragen der Forschung auf dem Gebiet der Netzsicherheit und der Informationsicherheit sowie in Bezug auf den wirksamen Einsatz von Technologien zur Risikoprävention beraten;,Beratung der Kommission in Bezug auf Forschungsarbeiten im Bereich der Netz- und Informationssicherheit sowie hinsichtlich des effizienten Einsatzes von Technologien zur Risikovermeidung;,30,3.5120617175106947e-78,0.4908208162646032,0.6346485018730164
"There could, however, be situations when a ship may pose a threat to the port facility, e.g. because, once within the port facility, it could be used as a base from which to launch an attack.","Dennoch sind Situationen vorstellbar, in denen ein Schiff eine Bedrohung für die Hafenanlage darstellen kann, beispielsweise, wenn es innerhalb der Hafenanlage als Basis benutzt wird, von der aus ein Angriff gestartet wird.","Es könnten jedoch Situationen eintreten, in denen ein Schiff eine Bedrohung für die Hafenanlage darstellen könnte, z. B. weil es, sobald es sich innerhalb der Hafenanlage befindet, als Basis für einen Angriff genutzt werden könnte.","Dennoch sind Situationen vorstellbar, in denen ein Schiff eine Bedrohung für die Hafenanlage darstellen kann, beispielsweise, wenn es innerhalb der Hafenanlage als Basis benutzt wird, von der aus ein Angriff gestartet wird.",30,0.3149686151223969,0.5114584070438624,0.7358010411262512
"Failing a reply, the institution concerned may proceed with the planned operation under its administrative autonomy, subject to Article 282 of the EC Treaty and Article 185 of the Euratom Treaty with regard to Community representation.","Erfolgt keine Antwort, so kann das betreffende Organ die in Aussicht genommene Transaktion im Rahmen seiner Verwaltungsautonomie durchführen, und zwar vorbehaltlich des Artikels 282 EG-Vertrag und des Artikels 185 EAG-Vertrag hinsichtlich der Vertretung der Gemeinschaft.","Gilt keine Antwort, so kann die betreffende Einrichtung unter Beachtung des Artikels 282 des EG-Vertrags und des Artikels 185 des Euratom-Vertrags in Bezug auf die Vertretung der Gemeinschaft die geplante Maßnahme unter Wahrung ihrer Verwaltung-autonomie durchführen.","Erfolgt keine Antwort, so kann das betreffende Organ die in Aussicht genommene Transaktion im Rahmen seiner Verwaltungsautonomie durchführen, und zwar vorbehaltlich des Artikels 282 EG-Vertrag und des Artikels 185 EAG-Vertrag hinsichtlich der Vertretung der Gemeinschaft.",30,0.22598079254510153,0.4707602339181287,0.4117007255554199
the currency of tenders;,Währung des Angebots;,Die Währung der Angebote;,Währung des Angebots;,30,1.4488496539373276e-231,0.6233062330623306,0.8069465756416321
"2009 for ships delivered in 1983,","2009 bei Schiffen, die 1983 abgeliefert wurden,","2009 für Schiffe, die 1983 geliefert wurden,","2009 bei Schiffen, die 1983 abgeliefert wurden,",30,5.30941411456236e-78,0.625,0.7710274457931519
the benefit deriving from an interest subsidy on certain loans;,die mit der Zinsvergütung für bestimmte Darlehen verbundene Vergünstigung;,"der Vorteil, der aus einer Zinssubvention für bestimmte Kredite erwächst;",die mit der Zinsvergütung für bestimmte Darlehen verbundene Vergünstigung;,30,6.223629500679345e-155,0.309436274509804,0.2799176871776581
